tau1,tau2,tau3
-21.906939074567,1.28884688633776,-5.71901397280967
-21.4514243243861,1.38508445325267,-5.63458148563625
-20.9947439706261,1.48054024594075,-5.54952602816332
-20.5369600637046,1.57516112882024,-5.46389457530797
-20.0781347400931,1.66889400988414,-5.37773435470015
-19.6183302025727,1.76168586821526,-5.29109281934489
-19.1576087005873,1.85348378157224,-5.20401762013463
-18.6960325107007,1.94423495403742,-5.11655657822326
-18.233663917167,2.03388674370379,-5.02875765728154
-17.7705651926251,2.12238669038622,-4.94066893565009
-17.3067985789232,2.20968254334246,-4.85233857840479
-16.8424262680813,2.29572228898353,-4.76381480935266
-16.3775103833979,2.38045417856354,-4.67514588297046
-15.9121129607145,2.46382675582504,-4.58638005630945
-15.446295929837,2.54578888458872,-4.49756556087715
-14.9801210961223,2.62628977627114,-4.40875057451214
-14.5136501222458,2.7052790173046,-4.31998319327844
-14.0469445101448,2.7827065964554,-4.2313114033828
-13.5800655831434,2.85852293202177,-4.14278305313452
-13.1130744682778,2.93267889888354,-4.05444582497645
-12.6460320788148,3.00512585539476,-3.966347207592
-12.1789990969702,3.075815670112,-3.87853446810257
-11.7120359568403,3.14470074831962,-3.79105462438668
-11.2452028275395,3.21173405834926,-3.70395441752645
-10.7785595965554,3.2768691576901,-3.61728028439226
-10.3121658533317,3.34006021884701,-3.53107833039848
-9.8460808730666,3.40126205494556,-3.44539430243626
-9.3803636007381,3.46043014506693,-3.36027356200076
-8.91507263537042,3.51752065928834,-3.2757610585331
-8.45026621452861,3.5724904834218,-3.19190130299302
-7.9860021990475,3.62529724344043,-3.10873834166889
-7.52233805800846,3.67589932956458,-3.02631573024768
-7.05933085395355,3.72425591998933,-2.94467650817494
-6.59703722834369,3.7703270042584,-2.86386317329529
-6.13551338726785,3.8140734062429,-2.78391765680568
-5.67481508739639,3.85545680672265,-2.70488129853703
-5.21499762218574,3.8944397655783,-2.62679482256229
-4.75611580833466,3.93098574354029,-2.54969831316637
-4.29822397249415,3.96505912348854,-2.4736311911904
-3.84137593823484,3.9966252313067,-2.39863219075655
-3.38562501325789,4.02565035627514,-2.3247393363842
-2.93102397686684,4.05210177097181,-2.25198992052843
-2.47762506770106,4.07594775067142,-2.18042048154682
-2.02547997171743,4.09715759225981,-2.11006678209553
-1.57463981042615,4.11570163260137,-2.0409637879884
-1.12515512939628,4.13155126636352,-1.97314564753326
-0.677075887003466,4.14467896332821,-1.90664567133492
-0.230451443436706,4.15505828513329,-1.84149631258351
0.21466945002807,4.16266390141916,-1.77772914787776
0.658238661518258,4.16747160541929,-1.71537485854655
1.10020868878379,4.16945832895149,-1.65446321250019
1.54053266916502,4.1686021567811,-1.59502304664897
1.9791643893133,4.16488234040948,-1.53708224983973
2.41605829465486,4.15827931122853,-1.48066774636976
2.8511694986021,4.14877469301949,-1.42580548008667
3.28445379150684,4.13635131381295,-1.37252039906645
3.71586764937767,4.12099321711745,-1.32083644088258
4.14536824233371,4.10268567246723,-1.27077651848727
4.57291344281923,4.08141518530443,-1.22236250670519
4.99846183357183,4.05716950621994,-1.17561522932886
5.4219727153254,4.02993763945,-1.13055444687943
5.8434061142926,3.99970985071,-1.08719884499021
6.26272278938726,3.96647767435559,-1.04556602342339
6.67988423920286,3.93023391978981,-1.00567248577419
7.09485270875771,3.89097267720087,-0.967533629805902
7.50759119598937,3.84868932259013,-0.931163738448941
7.91806345801753,3.8033805220478,-0.896575971498526
8.32623401715163,3.75504423532912,-0.863782357973165
8.73206816666617,3.70367971870115,-0.832793789159022
9.13553197635384,3.64928752704532,-0.803620012347277
9.53659229781925,3.59186951525769,-0.776269625252581
9.93521676953766,3.53142883888518,-0.750750071142489
10.3313738216953,3.46796995401453,-0.727067634659046
10.7250326807768,3.4014986164679,-0.705227438336599
11.1161633739176,3.33202188022107,-0.685233439840752
11.5047367330336,3.25954809508706,-0.667088429893189
11.8907243987042,3.18408690367458,-0.650794030912069
12.2740988238309,3.10564923758009,-0.636350696378811
12.6548332770554,3.02424731286056,-0.623757710891377
13.0329018459457,2.93989462477451,-0.613013190936756
13.4082794399519,2.85260594174866,-0.604114086386028
13.7809417931143,2.76239729863894,-0.597056182677807
14.1508654665598,2.66928598928658,-0.591834103709646
14.5180278507539,2.57329055829987,-0.588441315449069
14.8824071674985,2.47443079210423,-0.586870130251243
15.2439824717216,2.3727277093191,-0.587111711864878
15.6027336530259,2.26820355040101,-0.589156081138161
15.9586414369904,2.16088176654325,-0.592992122429488
16.3116873862467,2.05078700792305,-0.59860759069692
16.6618539013077,1.93794511121692,-0.6059891192819
17.0091242211568,1.8223830864039,-0.615122228383912
17.353482423606,1.70412910294176,-0.625991334187569
17.6949134254075,1.58321247523656,-0.638579758663901
18.0334029821197,1.45966364739829,-0.65286974006983
18.3689376877417,1.33351417740758,-0.668842444061126
18.7015049740916,1.20479672059289,-0.686477975477605
19.0310931099299,1.07354501243538,-0.705755390798096
19.3576911998566,0.939793850800851,-0.726652711171302
19.6812891829545,0.803579077504329,-0.749146936109769
20.0018778311628,0.664937559265242,-0.773214057810845
23.318222449473,3.86129595942434,0.821605832308836
26.5713804110408,7.06655234873827,2.41785533796069
26.8224730252463,6.93128333657614,2.39231654875937
27.0703042416779,6.79291295059337,2.36544695163988
27.3149051564874,6.65147763334254,2.33727000086947
27.5563076865385,6.50701501649511,2.30781001326219
27.7945445412665,6.35956390322005,2.27709215453479
28.0296491943595,6.20916424987561,2.24514242511076
28.2616558552598,6.05585714708432,2.21198764536429
28.4905994404941,5.89968480032463,2.17765544040031
