t,dp1,dp2,dp3,dv1,dv2,dv3,tau1,tau2,tau3,da1,da2,da3
0.005,1.757749,0.341456,0.0,-0.0,1e-06,0.0,-0.0,-10.583331,0.0,0.0,0.0,0.0
0.015,1.757749,0.341456,0.0,-0.0,1e-06,0.0,-0.0,-10.583331,0.0,0.0,0.0,0.0
0.026,1.757749,0.341456,0.0,-0.0,1e-06,0.0,-0.0,-10.583331,0.0,0.0,0.0,0.0
0.034,1.757749,0.341456,0.0,-0.0,1e-06,0.0,-0.0,-10.583331,0.0,0.0,0.0,0.0
0.046,1.757749,0.341456,0.0,-0.0,1e-06,0.0,-0.0,-10.583331,0.0,0.0,0.0,0.0
0.055,1.757749,0.341456,0.0,-0.0,1e-06,0.0,-0.0,-10.583331,0.0,0.0,0.0,0.0
0.065,1.75759,0.341056,0.0,-0.015896,-0.039985,0.0,-8.528239,-32.07505,0.0,-0.015896,-0.039986,0.0
0.075,1.756795,0.339057,0.0,-0.047694,-0.119942,0.0,-8.528226,-32.074618,0.0,-0.031798,-0.079957,0.0
0.085,1.756159,0.337458,0.0,-0.0636,-0.159907,0.0,-8.528212,-32.074169,0.0,-0.015906,-0.039965,0.0
0.095,1.755364,0.33546,0.0,-0.079515,-0.199856,0.0,-8.528184,-32.073217,0.0,-0.015915,-0.039949,0.0
0.105,1.754409,0.333062,0.0,-0.095439,-0.239787,0.0,-8.52817,-32.072714,0.0,-0.015924,-0.039931,0.0
0.114,1.753295,0.330265,0.0,-0.111376,-0.279699,0.0,-8.52817,-32.072714,0.0,-0.015937,-0.039912,0.0
0.126,1.752022,0.327069,0.0,-0.127328,-0.319587,0.0,-8.528155,-32.072193,0.0,-0.015952,-0.039888,0.0
0.136,1.750589,0.323474,0.0,-0.143296,-0.359448,0.0,-8.528139,-32.071655,0.0,-0.015968,-0.039861,0.0
0.145,1.748996,0.319482,0.0,-0.159283,-0.399279,0.0,-8.528124,-32.071098,0.0,-0.015987,-0.039831,0.0
0.155,1.747243,0.315091,0.0,-0.175292,-0.439076,0.0,-8.528108,-32.070523,0.0,-0.016009,-0.039797,0.0
0.165,1.74533,0.310302,0.0,-0.191324,-0.478838,0.0,-8.528091,-32.06993,0.0,-0.016032,-0.039762,0.0
0.175,1.743256,0.305117,0.0,-0.207381,-0.518562,0.0,-8.528075,-32.069318,0.0,-0.016057,-0.039724,0.0
0.185,1.741022,0.299534,0.0,-0.223467,-0.558244,0.0,-8.528057,-32.068688,0.0,-0.016086,-0.039682,0.0
0.195,1.738626,0.293556,0.0,-0.239582,-0.597883,0.0,-8.52804,-32.068039,0.0,-0.016115,-0.039639,0.0
0.204,1.736069,0.287181,0.0,-0.255731,-0.637475,0.0,-8.528022,-32.067372,0.0,-0.016149,-0.039592,0.0
0.215,1.733349,0.280411,0.0,-0.271914,-0.677018,0.0,-8.527985,-32.065981,0.0,-0.016183,-0.039543,0.0
0.225,1.730468,0.273246,0.0,-0.288134,-0.716511,0.0,-8.527966,-32.065257,0.0,-0.01622,-0.039493,0.0
0.234,1.727424,0.265686,0.0,-0.304394,-0.755952,0.0,-8.527946,-32.064514,0.0,-0.01626,-0.039441,0.0
0.246,1.727424,0.265686,0.0,-0.304394,-0.755952,0.0,-8.527946,-32.064514,0.0,0.0,0.0,0.0
0.255,1.720847,0.249386,0.0,-0.337044,-0.834673,0.0,-8.527926,-32.063752,0.0,-0.03265,-0.078721,0.0
0.265,1.717312,0.240646,0.0,-0.353437,-0.873949,0.0,-8.527885,-32.062171,0.0,-0.016393,-0.039276,0.0
0.275,1.713614,0.231515,0.0,-0.369881,-0.913167,0.0,-8.527864,-32.061351,0.0,-0.016444,-0.039218,0.0
0.285,1.713614,0.231515,0.0,-0.369881,-0.913167,0.0,-8.527864,-32.061351,0.0,0.0,0.0,0.0
0.295,1.705721,0.212077,0.0,-0.402926,-0.991428,0.0,-8.527821,-32.059653,0.0,-0.033045,-0.078261,0.0
0.305,1.701525,0.201772,0.0,-0.419533,-1.03047,0.0,-8.527799,-32.058774,0.0,-0.016607,-0.039042,0.0
0.317,1.697163,0.191078,0.0,-0.4362,-1.069452,0.0,-8.527776,-32.057876,0.0,-0.016667,-0.038982,0.0
0.325,1.692634,0.179994,0.0,-0.452929,-1.108376,0.0,-8.527753,-32.056958,0.0,-0.016729,-0.038924,0.0
0.335,1.687937,0.168522,0.0,-0.469723,-1.147241,0.0,-8.52773,-32.05602,0.0,-0.016794,-0.038865,0.0
0.344,1.683071,0.156661,0.0,-0.486584,-1.186049,0.0,-8.52773,-32.05602,0.0,-0.016861,-0.038808,0.0
0.355,1.678036,0.144413,0.0,-0.503517,-1.224799,0.0,-8.527682,-32.054083,0.0,-0.016933,-0.03875,0.0
0.366,1.67283,0.131778,0.0,-0.520522,-1.263493,0.0,-8.527657,-32.053085,0.0,-0.017005,-0.038694,0.0
0.375,1.667454,0.118757,0.0,-0.537603,-1.302136,0.0,-8.527657,-32.053085,0.0,-0.017081,-0.038643,0.0
0.385,1.661907,0.10535,0.0,-0.554763,-1.340724,0.0,-8.527606,-32.051027,0.0,-0.01716,-0.038588,0.0
0.395,1.656187,0.091557,0.0,-0.572005,-1.379264,0.0,-8.52758,-32.049967,0.0,-0.017242,-0.03854,0.0
0.405,1.650293,0.07738,0.0,-0.589331,-1.417758,0.0,-8.52758,-32.049967,0.0,-0.017326,-0.038494,0.0
0.415,1.650293,0.07738,0.0,-0.589331,-1.417758,0.0,-8.52758,-32.049967,0.0,0.0,0.0,0.0
0.425,1.637984,0.047871,0.0,-0.624248,-1.494614,0.0,-8.5275,-32.046664,0.0,-0.034917,-0.076856,0.0
0.435,1.637984,0.047871,0.0,-0.624248,-1.494614,0.0,-8.5275,-32.046664,0.0,0.0,0.0,0.0
0.445,1.631565,0.032541,0.0,-0.641844,-1.532986,0.0,-8.527473,-32.045522,0.0,-0.017596,-0.038372,0.0
0.455,1.62497,0.016828,0.0,-0.659537,-1.571324,0.0,-8.527445,-32.044358,0.0,-0.017693,-0.038338,0.0
0.465,1.618196,0.000732,0.0,-0.677328,-1.609635,0.0,-8.527416,-32.043174,0.0,-0.017791,-0.038311,0.0
0.474,1.604112,-0.032609,0.0,-0.713219,-1.686194,0.0,-8.527358,-32.040741,0.0,-0.035891,-0.076559,0.0
0.484,1.596799,-0.049854,0.0,-0.731325,-1.724454,0.0,-8.527358,-32.040741,0.0,-0.018106,-0.03826,0.0
0.496,1.596799,-0.049854,0.0,-0.731325,-1.724454,0.0,-8.527358,-32.040741,0.0,0.0,0.0,0.0
0.505,1.581625,-0.085491,0.0,-0.767871,-1.800961,0.0,-8.527268,-32.036933,0.0,-0.036546,-0.076507,0.0
0.514,1.573761,-0.103883,0.0,-0.786317,-1.839224,0.0,-8.527237,-32.03562,0.0,-0.018446,-0.038263,0.0
0.525,1.573761,-0.103883,0.0,-0.786317,-1.839224,0.0,-8.527237,-32.03562,0.0,0.0,0.0,0.0
0.535,1.565713,-0.122658,0.0,-0.804883,-1.877502,0.0,-8.527205,-32.034286,0.0,-0.018566,-0.038278,0.0
0.545,1.557477,-0.141816,0.0,-0.823571,-1.915804,0.0,-8.527173,-32.032929,0.0,-0.018688,-0.038302,0.0
0.555,1.549053,-0.161357,0.0,-0.842384,-1.954138,0.0,-8.527141,-32.031551,0.0,-0.018813,-0.038334,0.0
