dp1,dp2,dp3,tau1,tau2,tau3,actual_p1,actual_p2,actual_p3
0.950240522392222,-0.370681559297869,2.6356741605847,-3.52593409510141,-38.6063998869224,-6.87449525180558,0.9994551374864311,-0.184518968735312,2.8483075680315326
0.942239705919988,-0.37309105657174,2.62219800562207,-3.5264050431794,-38.6539010500488,-6.94190275171652,0.9991690256974176,-0.18454369911777105,2.8461776409749753
0.934238889447754,-0.37550055384561,2.60872185065944,-3.52670917228987,-38.7000145181855,-7.00794690787611,0.9988720818691038,-0.18456413356050816,2.8439425120853845
0.92623807297552,-0.377910051119481,2.59524569569681,-3.52683708132638,-38.7447224009154,-7.07261274279124,0.9984983971842066,-0.1845843359427079,2.841100230935144
0.918237256503285,-0.380319548393351,2.58176954073417,-3.5267793364845,-38.7880070480022,-7.13588566292795,0.9980787532016394,-0.1846013472493472,2.8378744102192015
0.910236440031051,-0.382729045667221,2.56829338577154,-3.52652648040507,-38.8298510530248,-7.19775146105622,0.9976618477287892,-0.18461346710496163,2.8346389848311717
0.902235623558816,-0.385138542941092,2.55481723080891,-3.52606904145543,-38.8702372569315,-7.25819631845393,0.9971551084379392,-0.18462286812709358,2.8306706867117892
0.894234807086582,-0.387548040214962,2.54134107584628,-3.52539754314565,-38.9091487515205,-7.31720680697582,0.9966599545378894,-0.18462716584947303,2.8267591212726413
0.886233990614348,-0.389957537488832,2.52786492088365,-3.52450251366386,-38.9465688828436,-7.37476989098368,0.9960664230008046,-0.1846267573191531,2.8220313030398767
0.878233174142114,-0.392367034762702,2.51438876592102,-3.52337449552457,-38.9824812545316,-7.43087292913732,0.9954273311894396,-0.18462024850758935,2.816897573448802
0.87023235766988,-0.394776532036573,2.50091261095839,-3.52200405532969,-39.0168697310531,-7.48550367605716,0.9948132565963217,-0.18460863723848478,2.8119272799813317
0.862231541197646,-0.397186029310443,2.48743645599576,-3.52038179362309,-39.0497184408934,-7.53865028384592,0.9940878030448916,-0.1845887375541934,2.80601314940254
0.854230724725412,-0.399595526584313,2.47396030103313,-3.51849835482889,-39.0810117796565,-7.59030130347345,0.9933961170696727,-0.18456398386612516,2.800335800424921
0.846229908253177,-0.402005023858184,2.4604841460705,-3.51634443727715,-39.1107344131029,-7.64044568603746,0.992584560781649,-0.1845282001107452,2.7936309431937456
0.838229091780943,-0.404414521132054,2.44700799110787,-3.513910803296,-39.138871280116,-7.68907278388966,0.9917277982850328,-0.18448296294762542,2.786505942847312
0.830228275308709,-0.406824018405924,2.43353183614524,-3.51118828936057,-39.1654075955887,-7.73617235162607,0.9909181138934605,-0.1844335535051967,2.779732728386086
0.822227458836474,-0.409233515679795,2.42005568118261,-3.50816781629858,-39.1903288532532,-7.78173454695753,0.9899756320676533,-0.18436830353890785,2.7718049049798323
0.81422664236424,-0.411643012953665,2.40657952621997,-3.5048403995301,-39.2136208284428,-7.82574993145061,0.9889881295167053,-0.18429137495489534,2.763452396822831
0.806225825892006,-0.414052510227536,2.39310337125734,-3.50119715933903,-39.2352695807714,-7.86820947113468,0.9880609312594549,-0.18421149945023885,2.755571372307826
