t,dp1,dp2,dp3,dv1,dv2,dv3,tau1,tau2,tau3,da1,da2,da3
0.002,1.757751,0.341462,0.0,-0.0,1e-06,0.0,-0.0,-10.583302,0.0,0.0,0.0,0.0
0.012,1.757751,0.341462,0.0,-0.0,1e-06,0.0,-0.0,-10.583302,0.0,0.0,0.0,0.0
0.022,1.757751,0.341462,0.0,-0.0,1e-06,0.0,-0.0,-10.583302,0.0,0.0,0.0,0.0
0.034,1.757751,0.341462,0.0,-0.0,1e-06,0.0,-0.0,-10.583302,0.0,0.0,0.0,0.0
0.042,1.757751,0.341462,0.0,-0.0,1e-06,0.0,-0.0,-10.583302,0.0,0.0,0.0,0.0
0.052,1.757751,0.341462,0.0,-0.0,1e-06,0.0,2e-06,-10.583317,0.0,0.0,0.0,0.0
0.062,1.757751,0.341462,0.0,-0.0,1e-06,0.0,2e-06,-10.583317,0.0,0.0,0.0,0.0
0.072,1.757751,0.341462,0.0,-0.0,1e-06,0.0,2e-06,-10.583317,0.0,0.0,0.0,0.0
0.082,1.757751,0.341462,0.0,0.0,1e-06,0.0,2e-06,-10.583317,0.0,0.0,0.0,0.0
0.092,1.757751,0.341462,0.0,0.0,1e-06,0.0,2e-06,-10.583317,0.0,0.0,0.0,0.0
0.102,1.757751,0.341462,0.0,0.0,1e-06,0.0,0.0,-10.583331,0.0,0.0,0.0,0.0
0.112,1.757751,0.341462,0.0,0.0,1e-06,0.0,0.0,-10.583331,0.0,0.0,0.0,0.0
0.122,1.757751,0.341462,0.0,0.0,1e-06,0.0,0.0,-10.583331,0.0,0.0,0.0,0.0
0.132,1.757751,0.341462,0.0,0.0,1e-06,0.0,0.0,-10.583331,0.0,0.0,0.0,0.0
0.142,1.757751,0.341462,0.0,0.0,1e-06,0.0,0.0,-10.583331,0.0,0.0,0.0,0.0
0.152,1.757751,0.341462,0.0,0.0,1e-06,0.0,0.0,-10.583331,0.0,0.0,0.0,0.0
0.162,1.757592,0.341062,0.0,-0.015896,-0.039985,0.0,-8.528239,-32.07505,0.0,-0.015896,-0.039986,0.0
0.172,1.757274,0.340263,0.0,-0.031793,-0.079967,0.0,-8.528226,-32.074618,0.0,-0.015897,-0.039982,0.0
0.182,1.756797,0.339063,0.0,-0.047694,-0.119941,0.0,-8.528212,-32.074169,0.0,-0.015901,-0.039974,0.0
0.192,1.756161,0.337464,0.0,-0.0636,-0.159903,0.0,-8.52817,-32.072714,0.0,-0.015906,-0.039962,0.0
0.204,1.755366,0.335466,0.0,-0.079515,-0.199851,0.0,-8.52817,-32.072714,0.0,-0.015915,-0.039948,0.0
0.212,1.754412,0.333068,0.0,-0.095439,-0.239783,0.0,-8.52817,-32.072714,0.0,-0.015924,-0.039932,0.0
