time_elapsed,injected_tau1,injected_tau2,injected_tau3,gazebo_pos1,gazebo_pos2,gazebo_pos3,gazebo_vel1,gazebo_vel2,gazebo_vel3
0.0000,0.0000,0.0000,0.0000,-0.9835,-3.9270,0.8868,0.1398,-0.0000,-1.9793
0.0098,0.1846,0.2154,0.0123,-0.9835,-3.9270,0.8868,0.1398,-0.0000,-1.9793
0.0198,0.3734,0.4356,0.0249,-0.9821,-3.9270,0.8669,0.1402,-0.0000,-1.9860
0.0298,0.5615,0.6551,0.0374,-0.9807,-3.9270,0.8470,0.1406,-0.0000,-1.9914
0.0398,0.7510,0.8762,0.0501,-0.9793,-3.9270,0.8271,0.1412,-0.0000,-1.9954
0.0499,0.9398,1.0964,0.0627,-0.9778,-3.9270,0.8071,0.1421,-0.0000,-1.9980
0.0598,1.1266,1.3144,0.0751,-0.9764,-3.9270,0.7871,0.1432,-0.0000,-1.9991
0.0698,1.3152,1.5344,0.0877,-0.9750,-3.9270,0.7671,0.1447,-0.0000,-1.9989
0.0798,1.5039,1.7546,0.1003,-0.9735,-3.9270,0.7471,0.1464,-0.0000,-1.9972
0.0898,1.6923,1.9743,0.1128,-0.9720,-3.9270,0.7272,0.1483,-0.0000,-1.9941
0.0998,1.8802,2.1936,0.1253,-0.9705,-3.9270,0.7073,0.1506,-0.0000,-1.9896
0.1099,2.0690,2.4139,0.1379,-0.9690,-3.9270,0.6875,0.1531,-0.0000,-1.9836
0.1198,2.2557,2.6316,0.1504,-0.9674,-3.9270,0.6677,0.1559,-0.0000,-1.9763
0.1299,2.4468,2.8546,0.1631,-0.9658,-3.9270,0.6480,0.1589,-0.0000,-1.9676
0.1398,2.6319,3.0705,0.1755,-0.9642,-3.9270,0.6285,0.1623,-0.0000,-1.9574
0.1498,2.8195,3.2894,0.1880,-0.9625,-3.9270,0.6090,0.1659,-0.0000,-1.9459
0.1598,3.0066,3.5077,0.2004,-0.9608,-3.9270,0.5897,0.1698,-0.0000,-1.9331
0.1698,3.1950,3.7275,0.2130,-0.9591,-3.9270,0.5705,0.1740,-0.0000,-1.9188
0.1800,3.3851,3.9493,0.2257,-0.9573,-3.9270,0.5514,0.1784,-0.0000,-1.9033
0.1898,3.5697,4.1646,0.2380,-0.9555,-3.9270,0.5326,0.1832,-0.0000,-1.8864
0.1999,3.7581,4.3845,0.2505,-0.9536,-3.9270,0.5139,0.1882,-0.0000,-1.8682
0.2098,3.9432,4.6004,0.2629,-0.9517,-3.9270,0.4954,0.1935,-0.0000,-1.8486
0.2198,4.1293,4.8175,0.2753,-0.9497,-3.9270,0.4771,0.1992,-0.0000,-1.8279
0.2298,4.3166,5.0360,0.2878,-0.9476,-3.9270,0.4591,0.2054,-0.0000,-1.8059
0.2399,4.5052,5.2560,0.3003,-0.9455,-3.9270,0.4412,0.2116,-0.0000,-1.7826
0.2498,4.6894,5.4709,0.3126,-0.9433,-3.9270,0.4237,0.2184,-0.0000,-1.7580
0.2598,4.8756,5.6882,0.3250,-0.9411,-3.9270,0.4063,0.2252,-0.0000,-1.7323
0.2698,5.0604,5.9038,0.3374,-0.9387,-3.9270,0.3893,0.2326,-0.0000,-1.7054
0.2798,5.2473,6.1219,0.3498,-0.9363,-3.9270,0.3725,0.2403,-0.0000,-1.6773
0.2898,5.4328,6.3383,0.3622,-0.9339,-3.9270,0.3560,0.2483,-0.0000,-1.6481
0.2998,5.6169,6.5530,0.3745,-0.9313,-3.9270,0.3399,0.2566,-0.0000,-1.6179
0.3097,5.8016,6.7685,0.3868,-0.9286,-3.9270,0.3240,0.2652,-0.0000,-1.5865
0.3198,5.9877,6.9856,0.3992,-0.9259,-3.9270,0.3085,0.2742,-0.0000,-1.5540
0.3299,6.1742,7.2032,0.4116,-0.9231,-3.9270,0.2932,0.2834,-0.0000,-1.5206
0.3398,6.3563,7.4156,0.4238,-0.9201,-3.9270,0.2784,0.2929,-0.0000,-1.4861
0.3497,6.5389,7.6287,0.4359,-0.9171,-3.9270,0.2639,0.3028,-0.0000,-1.4507
0.3597,6.7230,7.8435,0.4482,-0.9140,-3.9270,0.2497,0.3129,-0.0000,-1.4143
0.3698,6.9078,8.0592,0.4605,-0.9107,-3.9270,0.2360,0.3234,-0.0000,-1.3770
0.3797,7.0895,8.2711,0.4726,-0.9074,-3.9270,0.2226,0.3342,-0.0000,-1.3388
0.3898,7.2751,8.4876,0.4850,-0.9040,-3.9270,0.2096,0.3453,-0.0000,-1.2998
0.3998,7.4570,8.6999,0.4971,-0.9004,-3.9270,0.1970,0.3567,-0.0000,-1.2599
0.4098,7.6395,8.9127,0.5093,-0.8967,-3.9270,0.1848,0.3684,-0.0000,-1.2192
0.4198,7.8216,9.1252,0.5214,-0.8929,-3.9270,0.1730,0.3805,-0.0000,-1.1778
0.4298,8.0035,9.3374,0.5336,-0.8890,-3.9270,0.1617,0.3928,-0.0000,-1.1356
0.4398,8.1855,9.5497,0.5457,-0.8849,-3.9270,0.1507,0.4055,-0.0000,-1.0926
0.4498,8.3654,9.7597,0.5577,-0.8807,-3.9270,0.1402,0.4185,-0.0000,-1.0490
0.4598,8.5472,9.9717,0.5698,-0.8764,-3.9270,0.1302,0.4318,-0.0000,-1.0047
0.4698,8.7275,10.1821,0.5818,-0.8720,-3.9270,0.1206,0.4454,-0.0000,-0.9598
0.4798,8.9078,10.3924,0.5939,-0.8674,-3.9270,0.1115,0.4593,-0.0000,-0.9142
0.4899,9.0885,10.6032,0.6059,-0.8626,-3.9270,0.1028,0.4736,-0.0000,-0.8681
0.4998,9.2668,10.8113,0.6178,-0.8577,-3.9270,0.0946,0.4881,-0.0000,-0.8214
0.5098,9.4453,11.0195,0.6297,-0.8527,-3.9270,0.0868,0.5030,-0.0000,-0.7741
0.5198,9.6246,11.2287,0.6416,-0.8475,-3.9270,0.0796,0.5181,-0.0000,-0.7264
0.5298,9.8024,11.4361,0.6535,-0.8422,-3.9270,0.0728,0.5336,-0.0000,-0.6782
0.5398,9.9813,11.6448,0.6654,-0.8367,-3.9270,0.0665,0.5494,-0.0000,-0.6295
0.5498,10.1586,11.8517,0.6772,-0.8311,-3.9270,0.0607,0.5655,-0.0000,-0.5804
0.5599,10.3373,12.0601,0.6892,-0.8252,-3.9270,0.0554,0.5819,-0.0000,-0.5309
0.5698,10.5126,12.2647,0.7008,-0.8192,-3.9270,0.0506,0.5986,-0.0000,-0.4810
0.5798,10.6888,12.4702,0.7126,-0.8131,-3.9270,0.0462,0.6156,-0.0000,-0.4307
0.5898,10.8648,12.6756,0.7243,-0.8068,-3.9270,0.0424,0.6329,-0.0000,-0.3802
0.5998,11.0409,12.8810,0.7361,-0.8003,-3.9270,0.0392,0.6505,-0.0000,-0.3293
0.6098,11.2150,13.0842,0.7477,-0.7936,-3.9270,0.0364,0.6684,-0.0000,-0.2781
0.6198,11.3905,13.2889,0.7594,-0.7867,-3.9270,0.0341,0.6866,-0.0000,-0.2267
0.6299,11.5654,13.4930,0.7710,-0.7797,-3.9270,0.0324,0.7050,-0.0000,-0.1751
0.6400,11.7408,13.6976,0.7827,-0.7724,-3.9270,0.0311,0.7238,-0.0000,-0.1232
0.6498,11.9116,13.8969,0.7941,-0.7650,-3.9270,0.0304,0.7429,-0.0000,-0.0712
0.6599,12.0847,14.0988,0.8056,-0.7574,-3.9270,0.0302,0.7622,-0.0000,-0.0190
0.6698,12.2553,14.2978,0.8170,-0.7496,-3.9270,0.0306,0.7818,-0.0000,0.0333
0.6798,12.4272,14.4984,0.8285,-0.7415,-3.9270,0.0314,0.8017,-0.0000,0.0857
0.6898,12.5986,14.6984,0.8399,-0.7333,-3.9270,0.0328,0.8219,-0.0000,0.1382
0.6998,12.7692,14.8974,0.8513,-0.7249,-3.9270,0.0347,0.8423,-0.0000,0.1907
0.7098,12.9396,15.0962,0.8626,-0.7163,-3.9270,0.0371,0.8630,-0.0000,0.2433
0.7198,13.1100,15.2950,0.8740,-0.7074,-3.9270,0.0401,0.8840,-0.0000,0.2959
0.7298,13.2792,15.4924,0.8853,-0.6984,-3.9270,0.0436,0.9053,-0.0000,0.3485
0.7399,13.4497,15.6913,0.8966,-0.6891,-3.9270,0.0476,0.9268,-0.0000,0.4010
0.7498,13.6161,15.8854,0.9077,-0.6796,-3.9270,0.0521,0.9485,-0.0000,0.4535
0.7598,13.7839,16.0812,0.9189,-0.6699,-3.9270,0.0572,0.9706,-0.0000,0.5058
0.7697,13.9502,16.2752,0.9300,-0.6600,-3.9270,0.0628,0.9928,-0.0000,0.5581
0.7798,14.1179,16.4709,0.9412,-0.6498,-3.9270,0.0689,1.0154,-0.0000,0.6102
0.7898,14.2838,16.6645,0.9523,-0.6394,-3.9270,0.0755,1.0381,-0.0000,0.6621
0.7998,14.4494,16.8576,0.9633,-0.6288,-3.9270,0.0826,1.0611,-0.0000,0.7139
0.8098,14.6141,17.0498,0.9743,-0.6180,-3.9270,0.0903,1.0844,-0.0000,0.7654
0.8198,14.7778,17.2407,0.9852,-0.6069,-3.9270,0.0984,1.1079,-0.0000,0.8167
0.8297,14.9408,17.4309,0.9961,-0.5956,-3.9270,0.1071,1.1316,-0.0000,0.8677
0.8398,15.1048,17.6222,1.0070,-0.5840,-3.9270,0.1163,1.1555,-0.0000,0.9185
0.8498,15.2676,17.8122,1.0178,-0.5722,-3.9270,0.1260,1.1797,-0.0000,0.9689
0.8598,15.4294,18.0009,1.0286,-0.5602,-3.9270,0.1362,1.2040,-0.0000,1.0189
0.8698,15.5905,18.1890,1.0394,-0.5479,-3.9270,0.1469,1.2286,-0.0000,1.0686
0.8797,15.7512,18.3763,1.0501,-0.5354,-3.9270,0.1580,1.2534,-0.0000,1.1179
0.8898,15.9129,18.5651,1.0609,-0.5226,-3.9270,0.1697,1.2784,-0.0000,1.1667
0.8998,16.0714,18.7499,1.0714,-0.5096,-3.9270,0.1819,1.3037,-0.0000,1.2151
0.9098,16.2305,18.9356,1.0820,-0.4963,-3.9270,0.1945,1.3291,-0.0000,1.2630
0.9198,16.3887,19.1201,1.0926,-0.4827,-3.9270,0.2076,1.3547,-0.0000,1.3104
0.9298,16.5463,19.3040,1.1031,-0.4689,-3.9270,0.2212,1.3805,-0.0000,1.3573
0.9398,16.7036,19.4875,1.1136,-0.4549,-3.9270,0.2352,1.4065,-0.0000,1.4036
0.9498,16.8594,19.6693,1.1240,-0.4405,-3.9270,0.2497,1.4327,-0.0000,1.4493
0.9598,17.0145,19.8503,1.1343,-0.4259,-3.9270,0.2646,1.4591,-0.0000,1.4944
