time_elapsed,injected_tau1,injected_tau2,injected_tau3,gazebo_pos1,gazebo_pos2,gazebo_pos3,gazebo_vel1,gazebo_vel2,gazebo_vel3
0.0000,0.0000,0.0000,0.0000,-1.3588,-3.9270,0.8343,0.0728,-0.0000,-1.9936
0.0099,0.3736,0.3736,0.3736,-1.3580,-3.9270,0.8143,0.0730,-0.0000,-1.9969
0.0199,0.7486,0.7486,0.7486,-1.3573,-3.9270,0.7943,0.0731,-0.0000,-1.9988
0.0298,1.1240,1.1240,1.1240,-1.3566,-3.9270,0.7744,0.0738,-0.0000,-1.9958
0.0401,1.5121,1.5121,1.5121,-1.3558,-3.9270,0.7545,0.0750,-0.0000,-1.9878
0.0499,1.8801,1.8801,1.8801,-1.3550,-3.9270,0.7348,0.0767,-0.0000,-1.9748
0.0599,2.2573,2.2573,2.2573,-1.3543,-3.9270,0.7152,0.0789,-0.0000,-1.9568
0.0699,2.6354,2.6354,2.6354,-1.3534,-3.9270,0.6958,0.0816,-0.0000,-1.9339
0.0799,3.0107,3.0107,3.0107,-1.3526,-3.9270,0.6768,0.0849,-0.0000,-1.9060
0.0899,3.3887,3.3887,3.3887,-1.3517,-3.9270,0.6581,0.0886,-0.0000,-1.8733
0.0999,3.7631,3.7631,3.7631,-1.3508,-3.9270,0.6397,0.0930,-0.0000,-1.8356
0.1099,4.1394,4.1394,4.1394,-1.3498,-3.9270,0.6218,0.0978,-0.0000,-1.7931
0.1199,4.5167,4.5167,4.5167,-1.3488,-3.9270,0.6043,0.1032,-0.0000,-1.7457
0.1299,4.8910,4.8910,4.8910,-1.3477,-3.9270,0.5874,0.1091,-0.0000,-1.6936
0.1401,5.2738,5.2738,5.2738,-1.3465,-3.9270,0.5710,0.1156,-0.0000,-1.6367
0.1499,5.6419,5.6419,5.6419,-1.3453,-3.9270,0.5553,0.1226,-0.0000,-1.5751
0.1599,6.0173,6.0173,6.0173,-1.3440,-3.9270,0.5402,0.1302,-0.0000,-1.5088
0.1699,6.3914,6.3914,6.3914,-1.3426,-3.9270,0.5258,0.1383,-0.0000,-1.4379
0.1798,6.7653,6.7653,6.7653,-1.3411,-3.9270,0.5122,0.1470,-0.0000,-1.3624
0.1899,7.1416,7.1416,7.1416,-1.3396,-3.9270,0.4993,0.1563,-0.0000,-1.2824
0.1999,7.5154,7.5154,7.5154,-1.3379,-3.9270,0.4874,0.1661,-0.0000,-1.1980
0.2099,7.8901,7.8901,7.8901,-1.3361,-3.9270,0.4763,0.1765,-0.0000,-1.1092
0.2199,8.2642,8.2642,8.2642,-1.3343,-3.9270,0.4661,0.1874,-0.0000,-1.0160
0.2298,8.6335,8.6335,8.6335,-1.3323,-3.9270,0.4569,0.1989,-0.0000,-0.9185
0.2400,9.0125,9.0125,9.0125,-1.3302,-3.9270,0.4488,0.2110,-0.0000,-0.8168
0.2499,9.3816,9.3816,9.3816,-1.3279,-3.9270,0.4416,0.2237,-0.0000,-0.7110
0.2599,9.7542,9.7542,9.7542,-1.3256,-3.9270,0.4356,0.2369,-0.0000,-0.6011
0.2699,10.1274,10.1274,10.1274,-1.3231,-3.9270,0.4308,0.2506,-0.0000,-0.4872
0.2799,10.4969,10.4969,10.4969,-1.3204,-3.9270,0.4271,0.2650,-0.0000,-0.3694
0.2899,10.8682,10.8682,10.8682,-1.3176,-3.9270,0.4246,0.2799,-0.0000,-0.2477
0.2999,11.2383,11.2383,11.2383,-1.3147,-3.9270,0.4234,0.2953,-0.0000,-0.1222
0.3098,11.6072,11.6072,11.6072,-1.3115,-3.9270,0.4234,0.3113,-0.0000,0.0069
0.3199,11.9771,11.9771,11.9771,-1.3083,-3.9270,0.4248,0.3278,-0.0000,0.1397
0.3299,12.3473,12.3473,12.3473,-1.3048,-3.9270,0.4276,0.3448,-0.0000,0.2759
0.3398,12.7147,12.7147,12.7147,-1.3012,-3.9270,0.4317,0.3624,-0.0000,0.4156
0.3499,13.0840,13.0840,13.0840,-1.2974,-3.9270,0.4373,0.3805,-0.0000,0.5587
0.3599,13.4519,13.4519,13.4519,-1.2934,-3.9270,0.4444,0.3991,-0.0000,0.7050
0.3699,13.8205,13.8205,13.8205,-1.2892,-3.9270,0.4529,0.4182,-0.0000,0.8544
0.3799,14.1856,14.1856,14.1856,-1.2848,-3.9270,0.4630,0.4377,-0.0000,1.0070
0.3899,14.5531,14.5531,14.5531,-1.2803,-3.9270,0.4746,0.4578,-0.0000,1.1625
0.3999,14.9173,14.9173,14.9173,-1.2755,-3.9270,0.4878,0.4783,-0.0000,1.3208
0.4099,15.2819,15.2819,15.2819,-1.2705,-3.9270,0.5027,0.4993,-0.0000,1.4819
0.4199,15.6463,15.6463,15.6463,-1.2653,-3.9270,0.5191,0.5207,-0.0000,1.6457
0.4299,16.0099,16.0099,16.0099,-1.2599,-3.9270,0.5372,0.5426,-0.0000,1.8120
0.4399,16.3751,16.3751,16.3751,-1.2542,-3.9270,0.5570,0.5649,-0.0000,1.9807
0.4500,16.7377,16.7377,16.7377,-1.2483,-3.9270,0.5770,0.5903,-0.0000,2.0000
0.4599,17.0993,17.0993,17.0993,-1.2421,-3.9270,0.5970,0.6167,-0.0000,2.0000
0.4698,17.4565,17.4565,17.4565,-1.2357,-3.9270,0.6170,0.6435,-0.0000,2.0000
0.4798,17.8171,17.8171,17.8171,-1.2290,-3.9270,0.6370,0.6710,-0.0000,2.0000
0.4900,18.1827,18.1827,18.1827,-1.2220,-3.9270,0.6570,0.6989,-0.0000,2.0000
0.5000,18.5410,18.5410,18.5410,-1.2147,-3.9270,0.6770,0.7274,-0.0000,2.0000
