time_elapsed,injected_tau1,injected_tau2,injected_tau3,gazebo_pos1,gazebo_pos2,gazebo_pos3,gazebo_vel1,gazebo_vel2,gazebo_vel3
0.0000,0.0000,0.0000,0.0000,1.2415,-3.9270,1.3878,0.0795,-0.0000,1.3072
0.0101,0.0739,0.0739,0.0021,1.2423,-3.9270,1.4005,0.0802,-0.0000,1.2695
0.0200,0.1463,0.1463,0.0042,1.2431,-3.9270,1.4128,0.0808,-0.0000,1.2312
0.0299,0.2194,0.2194,0.0063,1.2439,-3.9270,1.4247,0.0816,-0.0000,1.1922
0.0400,0.2932,0.2932,0.0084,1.2447,-3.9270,1.4363,0.0824,-0.0000,1.1526
0.0499,0.3658,0.3658,0.0105,1.2455,-3.9270,1.4474,0.0834,-0.0000,1.1124
0.0599,0.4389,0.4389,0.0125,1.2464,-3.9270,1.4581,0.0845,-0.0000,1.0717
0.0700,0.5127,0.5127,0.0146,1.2472,-3.9270,1.4684,0.0857,-0.0000,1.0303
0.0799,0.5859,0.5859,0.0167,1.2481,-3.9270,1.4783,0.0870,-0.0000,0.9885
0.0899,0.6588,0.6588,0.0188,1.2490,-3.9270,1.4877,0.0885,-0.0000,0.9462
0.0999,0.7320,0.7320,0.0209,1.2499,-3.9270,1.4968,0.0900,-0.0000,0.9034
0.1099,0.8054,0.8054,0.0230,1.2508,-3.9270,1.5054,0.0916,-0.0000,0.8601
0.1199,0.8791,0.8791,0.0251,1.2517,-3.9270,1.5135,0.0934,-0.0000,0.8165
0.1299,0.9520,0.9520,0.0272,1.2527,-3.9270,1.5213,0.0953,-0.0000,0.7724
0.1399,1.0257,1.0257,0.0293,1.2537,-3.9270,1.5286,0.0972,-0.0000,0.7280
0.1499,1.0989,1.0989,0.0314,1.2547,-3.9270,1.5354,0.0993,-0.0000,0.6833
0.1599,1.1717,1.1717,0.0335,1.2557,-3.9270,1.5418,0.1015,-0.0000,0.6382
0.1701,1.2468,1.2468,0.0356,1.2567,-3.9270,1.5477,0.1038,-0.0000,0.5928
0.1799,1.3187,1.3187,0.0377,1.2578,-3.9270,1.5532,0.1062,-0.0000,0.5472
0.1899,1.3919,1.3919,0.0398,1.2589,-3.9270,1.5582,0.1087,-0.0000,0.5013
0.1999,1.4651,1.4651,0.0419,1.2600,-3.9270,1.5627,0.1113,-0.0000,0.4551
0.2099,1.5384,1.5384,0.0440,1.2611,-3.9270,1.5668,0.1140,-0.0000,0.4088
0.2200,1.6119,1.6119,0.0461,1.2623,-3.9270,1.5704,0.1169,-0.0000,0.3623
0.2299,1.6848,1.6848,0.0481,1.2635,-3.9270,1.5736,0.1198,-0.0000,0.3157
0.2399,1.7580,1.7580,0.0502,1.2647,-3.9270,1.5763,0.1229,-0.0000,0.2689
0.2499,1.8312,1.8312,0.0523,1.2660,-3.9270,1.5785,0.1261,-0.0000,0.2220
0.2599,1.9045,1.9045,0.0544,1.2673,-3.9270,1.5803,0.1294,-0.0000,0.1750
0.2700,1.9778,1.9778,0.0565,1.2686,-3.9270,1.5815,0.1328,-0.0000,0.1279
0.2799,2.0506,2.0506,0.0586,1.2700,-3.9270,1.5823,0.1363,-0.0000,0.0808
0.2899,2.1239,2.1239,0.0607,1.2714,-3.9270,1.5827,0.1399,-0.0000,0.0337
0.2999,2.1971,2.1971,0.0628,1.2728,-3.9270,1.5825,0.1437,-0.0000,-0.0134
0.3099,2.2703,2.2703,0.0649,1.2743,-3.9270,1.5819,0.1475,-0.0000,-0.0605
0.3199,2.3435,2.3435,0.0670,1.2758,-3.9270,1.5809,0.1515,-0.0000,-0.1076
0.3299,2.4162,2.4162,0.0690,1.2773,-3.9270,1.5793,0.1556,-0.0000,-0.1546
0.3399,2.4893,2.4893,0.0711,1.2789,-3.9270,1.5773,0.1599,-0.0000,-0.2015
0.3499,2.5624,2.5624,0.0732,1.2806,-3.9270,1.5748,0.1642,-0.0000,-0.2484
0.3599,2.6355,2.6355,0.0753,1.2823,-3.9270,1.5719,0.1687,-0.0000,-0.2950
0.3701,2.7105,2.7105,0.0774,1.2840,-3.9270,1.5685,0.1733,-0.0000,-0.3416
0.3799,2.7817,2.7817,0.0795,1.2858,-3.9270,1.5646,0.1780,-0.0000,-0.3879
0.3899,2.8551,2.8551,0.0816,1.2876,-3.9270,1.5602,0.1828,-0.0000,-0.4341
0.3999,2.9278,2.9278,0.0837,1.2895,-3.9270,1.5554,0.1878,-0.0000,-0.4800
0.4099,3.0008,3.0008,0.0857,1.2914,-3.9270,1.5502,0.1929,-0.0000,-0.5257
0.4200,3.0745,3.0745,0.0878,1.2934,-3.9270,1.5445,0.1981,-0.0000,-0.5712
0.4299,3.1472,3.1472,0.0899,1.2954,-3.9270,1.5383,0.2035,-0.0000,-0.6163
0.4400,3.2210,3.2210,0.0920,1.2975,-3.9270,1.5317,0.2089,-0.0000,-0.6612
0.4499,3.2933,3.2933,0.0941,1.2997,-3.9270,1.5246,0.2145,-0.0000,-0.7057
0.4599,3.3662,3.3662,0.0962,1.3019,-3.9270,1.5171,0.2203,-0.0000,-0.7499
0.4700,3.4395,3.4395,0.0983,1.3041,-3.9270,1.5092,0.2261,-0.0000,-0.7936
0.4799,3.5117,3.5117,0.1003,1.3065,-3.9270,1.5008,0.2322,-0.0000,-0.8370
0.4899,3.5851,3.5851,0.1024,1.3088,-3.9270,1.4920,0.2383,-0.0000,-0.8799
0.4999,3.6575,3.6575,0.1045,1.3113,-3.9270,1.4828,0.2446,-0.0000,-0.9224
0.5099,3.7309,3.7309,0.1066,1.3138,-3.9270,1.4732,0.2510,-0.0000,-0.9644
0.5199,3.8033,3.8033,0.1087,1.3164,-3.9270,1.4631,0.2575,-0.0000,-1.0059
0.5299,3.8764,3.8764,0.1108,1.3190,-3.9270,1.4526,0.2642,-0.0000,-1.0469
0.5399,3.9495,3.9495,0.1128,1.3217,-3.9270,1.4418,0.2710,-0.0000,-1.0873
0.5499,4.0222,4.0222,0.1149,1.3245,-3.9270,1.4305,0.2779,-0.0000,-1.1272
0.5599,4.0952,4.0952,0.1170,1.3274,-3.9270,1.4188,0.2850,-0.0000,-1.1664
0.5699,4.1680,4.1680,0.1191,1.3303,-3.9270,1.4068,0.2922,-0.0000,-1.2050
0.5799,4.2407,4.2407,0.1212,1.3333,-3.9270,1.3943,0.2996,-0.0000,-1.2429
0.5899,4.3135,4.3135,0.1232,1.3363,-3.9270,1.3815,0.3071,-0.0000,-1.2802
0.5999,4.3861,4.3861,0.1253,1.3395,-3.9270,1.3684,0.3147,-0.0000,-1.3167
0.6099,4.4589,4.4589,0.1274,1.3427,-3.9270,1.3548,0.3225,-0.0000,-1.3525
0.6199,4.5311,4.5311,0.1295,1.3460,-3.9270,1.3410,0.3304,-0.0000,-1.3876
0.6299,4.6038,4.6038,0.1315,1.3494,-3.9270,1.3268,0.3384,-0.0000,-1.4218
0.6399,4.6765,4.6765,0.1336,1.3529,-3.9270,1.3122,0.3466,-0.0000,-1.4553
0.6499,4.7491,4.7491,0.1357,1.3564,-3.9270,1.2973,0.3549,-0.0000,-1.4878
0.6599,4.8217,4.8217,0.1378,1.3600,-3.9270,1.2821,0.3634,-0.0000,-1.5195
0.6700,4.8951,4.8951,0.1399,1.3638,-3.9270,1.2666,0.3720,-0.0000,-1.5504
0.6799,4.9674,4.9674,0.1419,1.3676,-3.9270,1.2508,0.3807,-0.0000,-1.5802
0.6899,5.0398,5.0398,0.1440,1.3715,-3.9270,1.2347,0.3895,-0.0000,-1.6092
0.6999,5.1123,5.1123,0.1461,1.3755,-3.9270,1.2184,0.3985,-0.0000,-1.6372
0.7099,5.1848,5.1848,0.1481,1.3795,-3.9270,1.2017,0.4076,-0.0000,-1.6641
0.7200,5.2576,5.2576,0.1502,1.3837,-3.9270,1.1848,0.4169,-0.0000,-1.6901
0.7299,5.3298,5.3298,0.1523,1.3880,-3.9270,1.1677,0.4263,-0.0000,-1.7150
0.7399,5.4019,5.4019,0.1543,1.3923,-3.9270,1.1503,0.4358,-0.0000,-1.7388
0.7499,5.4742,5.4742,0.1564,1.3968,-3.9270,1.1327,0.4454,-0.0000,-1.7615
0.7600,5.5475,5.5475,0.1585,1.4013,-3.9270,1.1148,0.4552,-0.0000,-1.7832
0.7700,5.6197,5.6197,0.1606,1.4060,-3.9270,1.0968,0.4651,-0.0000,-1.8036
0.7799,5.6918,5.6918,0.1626,1.4107,-3.9270,1.0786,0.4751,-0.0000,-1.8230
0.7900,5.7646,5.7646,0.1647,1.4156,-3.9270,1.0602,0.4853,-0.0000,-1.8411
0.7999,5.8365,5.8365,0.1668,1.4205,-3.9270,1.0416,0.4956,-0.0000,-1.8581
