time_elapsed,injected_tau1,injected_tau2,injected_tau3,gazebo_pos1,gazebo_pos2,gazebo_pos3,gazebo_vel1,gazebo_vel2,gazebo_vel3
0.0000,0.0000,0.0000,0.0000,-1.8687,-3.9270,0.4533,0.0055,-0.0000,1.7881
0.0100,0.1256,0.2512,0.0314,-1.8686,-3.9270,0.4714,0.0049,-0.0000,1.8098
0.0200,0.2513,0.5026,0.0628,-1.8686,-3.9270,0.4897,0.0044,-0.0000,1.8303
0.0300,0.3770,0.7539,0.0942,-1.8685,-3.9270,0.5082,0.0040,-0.0000,1.8500
0.0400,0.5031,1.0062,0.1258,-1.8685,-3.9270,0.5269,0.0039,-0.0000,1.8688
0.0500,0.6283,1.2566,0.1571,-1.8685,-3.9270,0.5457,0.0041,-0.0000,1.8866
0.0600,0.7538,1.5076,0.1885,-1.8684,-3.9270,0.5648,0.0044,-0.0000,1.9036
0.0700,0.8793,1.7586,0.2198,-1.8684,-3.9270,0.5840,0.0050,-0.0000,1.9196
0.0800,1.0048,2.0096,0.2512,-1.8683,-3.9270,0.6033,0.0059,-0.0000,1.9346
0.0900,1.1308,2.2616,0.2827,-1.8682,-3.9270,0.6228,0.0069,-0.0000,1.9487
0.1000,1.2558,2.5116,0.3140,-1.8682,-3.9270,0.6424,0.0083,-0.0000,1.9618
0.1100,1.3812,2.7624,0.3453,-1.8681,-3.9270,0.6622,0.0098,-0.0000,1.9738
0.1200,1.5065,3.0129,0.3766,-1.8679,-3.9270,0.6820,0.0116,-0.0000,1.9849
0.1301,1.6325,3.2651,0.4081,-1.8678,-3.9270,0.7020,0.0136,-0.0000,1.9949
0.1400,1.7572,3.5145,0.4393,-1.8677,-3.9270,0.7220,0.0159,-0.0000,2.0000
0.1500,1.8821,3.7642,0.4705,-1.8675,-3.9270,0.7420,0.0185,-0.0000,2.0000
0.1600,2.0073,4.0145,0.5018,-1.8673,-3.9270,0.7620,0.0213,-0.0000,2.0000
0.1700,2.1322,4.2644,0.5331,-1.8670,-3.9270,0.7820,0.0244,-0.0000,2.0000
0.1800,2.2571,4.5142,0.5643,-1.8667,-3.9270,0.8020,0.0276,-0.0000,2.0000
0.1901,2.3836,4.7672,0.5959,-1.8664,-3.9270,0.8220,0.0311,-0.0000,2.0000
0.2000,2.5066,5.0132,0.6267,-1.8661,-3.9270,0.8420,0.0348,-0.0000,2.0000
0.2100,2.6312,5.2625,0.6578,-1.8657,-3.9270,0.8620,0.0387,-0.0000,2.0000
0.2200,2.7557,5.5115,0.6889,-1.8653,-3.9270,0.8820,0.0428,-0.0000,2.0000
0.2302,2.8826,5.7652,0.7207,-1.8648,-3.9270,0.9020,0.0471,-0.0000,1.9996
0.2403,3.0082,6.0165,0.7521,-1.8643,-3.9270,0.9219,0.0516,-0.0000,1.9982
0.2500,3.1286,6.2572,0.7822,-1.8637,-3.9270,0.9419,0.0563,-0.0000,1.9958
0.2600,3.2530,6.5060,0.8132,-1.8631,-3.9270,0.9618,0.0613,-0.0000,1.9923
0.2702,3.3797,6.7593,0.8449,-1.8624,-3.9270,0.9817,0.0665,-0.0000,1.9878
