t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_model_1,tau_model_2,tau_model_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.000,0.00000000,0.78539816,2.35619449,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00072474,0.79484678,2.34844298,0.00075968,-0.00838746,0.00097406,0.00000000,-21.86064918,-0.00000002,-0.28174559,-0.80432299,-0.11261220,-0.28174559,-22.66497217,-0.11261222,0.00000000,-21.83352333,-0.00093688,0.00072474,-0.00944862,0.00775151,-0.00075968,0.00838746,-0.00097406
0.010,-0.00000001,0.78539816,2.35619450,-0.00000442,-0.00000139,0.00000230,-0.00088257,-0.00027807,0.00045942,-0.00071584,0.79474649,2.34846463,0.00079215,-0.00879776,0.00127168,-0.00143738,-21.86141747,-0.00013984,-0.27565835,-0.78674148,-0.10934144,-0.27709574,-22.64815895,-0.10948128,-0.00000000,-21.83335070,-0.00108227,0.00071583,-0.00934833,0.00772987,-0.00079657,0.00879637,-0.00126938
0.020,-0.00000012,0.78539813,2.35619455,-0.00001764,-0.00000556,0.00000918,-0.00176073,-0.00055475,0.00091655,-0.00070668,0.79464280,2.34848917,0.00082305,-0.00919074,0.00156727,-0.00286758,-21.86218255,-0.00027890,-0.26960325,-0.76911109,-0.10607574,-0.27247083,-22.63129363,-0.10635463,0.00000000,-21.83318018,-0.00122702,0.00070656,-0.00924467,0.00770538,-0.00084069,0.00918518,-0.00155809
0.030,-0.00000040,0.78539804,2.35619470,-0.00003962,-0.00001248,0.00002062,-0.00263448,-0.00083004,0.00137137,-0.00070094,0.79452483,2.34851906,0.00076081,-0.00984232,0.00192270,-0.00429060,-21.86294492,-0.00041698,-0.26090347,-0.74595532,-0.10174754,-0.26519407,-22.60890024,-0.10216452,-0.28174559,-22.65907364,-0.11410672,0.00070054,-0.00912679,0.00767564,-0.00080043,0.00982984,-0.00190208
0.040,-0.00000094,0.78539787,2.35619498,-0.00007031,-0.00002215,0.00003660,-0.00350383,-0.00110395,0.00182391,-0.00069857,0.79439285,2.34855431,0.00063001,-0.01068118,0.00232331,-0.00570646,-21.86370500,-0.00055404,-0.25009576,-0.71834795,-0.09656752,-0.25580222,-22.58205295,-0.09712156,-0.27709574,-22.64156007,-0.11124385,0.00069763,-0.00899498,0.00764067,-0.00070032,0.01065903,-0.00228671
0.050,-0.00000183,0.78539759,2.35619544,-0.00010968,-0.00003456,0.00005709,-0.00436878,-0.00137646,0.00227416,-0.00069951,0.79424714,2.34859493,0.00044904,-0.01165368,0.00275806,-0.00711514,-21.86446331,-0.00068992,-0.23758915,-0.68710813,-0.09069634,-0.24470429,-22.55157144,-0.09138625,-0.27247083,-22.62400804,-0.10838579,0.00069768,-0.00884955,0.00760051,-0.00055872,0.01161912,-0.00270097
0.060,-0.00000316,0.78539717,2.35619614,-0.00015767,-0.00004968,0.00008208,-0.00522934,-0.00164760,0.00272212,-0.00070367,0.79408803,2.34864096,0.00023262,-0.01271783,0.00321918,-0.00851668,-21.86522041,-0.00082443,-0.22371811,-0.65290445,-0.08426599,-0.23223479,-22.51812486,-0.08509041,-0.26519407,-22.60094511,-0.10446580,0.00070051,-0.00869086,0.00755518,-0.00039029,0.01266815,-0.00313710
0.070,-0.00000501,0.78539658,2.35619710,-0.00021425,-0.00006750,0.00011153,-0.00608553,-0.00191736,0.00316781,-0.00071095,0.79391594,2.34869243,-0.00000746,-0.01384068,0.00370125,-0.00991111,-21.86597705,-0.00095764,-0.20875957,-0.61629113,-0.07738696,-0.21867068,-22.48226818,-0.07834460,-0.25580222,-22.57344834,-0.09969528,0.00070594,-0.00851936,0.00750467,-0.00020679,0.01377318,-0.00358972
0.080,-0.00000747,0.78539581,2.35619838,-0.00027937,-0.00008802,0.00014542,-0.00693734,-0.00218574,0.00361122,-0.00072120,0.79373131,2.34874941,-0.00026180,-0.01499631,0.00420049,-0.01129841,-21.86673312,-0.00108921,-0.19294293,-0.57772533,-0.07015073,-0.20424133,-22.44445845,-0.07123994,-0.24470429,-22.54233984,-0.09423535,0.00071373,-0.00833550,0.00744897,-0.00001757,0.01490829,-0.00405507
0.090,-0.00001063,0.78539481,2.35620002,-0.00035298,-0.00011121,0.00018374,-0.00778479,-0.00245274,0.00405236,-0.00073426,0.79353463,2.34881197,-0.00052287,-0.01616429,0.00471430,-0.01267860,-21.86748986,-0.00121921,-0.17646391,-0.53759891,-0.06263633,-0.18914251,-22.40508877,-0.06385554,-0.23223479,-22.50829074,-0.08821829,0.00072363,-0.00813982,0.00738805,0.00016989,0.01605308,-0.00453056
0.100,-0.00001456,0.78539358,2.35620207,-0.00043505,-0.00013707,0.00022646,-0.00862788,-0.00271837,0.00449123,-0.00074996,0.79332642,2.34888018,-0.00078466,-0.01732846,0.00524091,-0.01405171,-21.86824694,-0.00134730,-0.15948607,-0.49623929,-0.05491010,-0.17353777,-22.36448623,-0.05625740,-0.21867068,-22.47185769,-0.08175497,0.00073540,-0.00793284,0.00732189,0.00034961,0.01719139,-0.00501445
