t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_delan_1,tau_delan_2,tau_delan_3,tau_dnn_1,tau_dnn_2,tau_dnn_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3,gru_active
0.000,0.00000000,0.78539816,2.35619449,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,0.00012525,0.78355951,2.35879737,-0.00074923,0.00922616,-0.00526131,-0.00165734,-21.86057281,-0.00157482,-0.00165734,-21.86057281,-0.00157482,-0.00038042,-0.00016078,-0.02068671,-0.00203776,-21.86073359,-0.02226153,0.00000000,-21.84322026,0.00285725,-0.00012525,0.00183865,-0.00260288,0.00074923,-0.00922616,0.00526131,0
0.010,-0.00000001,0.78539816,2.35619450,-0.00000442,-0.00000139,0.00000230,-0.00088257,-0.00027807,0.00045942,0.00012525,0.78355951,2.35879737,-0.00074923,0.00922616,-0.00526131,-0.00712995,-21.86263466,-0.00155088,-0.00712995,-21.86263466,-0.00155088,-0.00038953,-0.00016405,-0.02068343,-0.00751948,-21.86279871,-0.02223432,0.00000000,-21.84322026,0.00285725,-0.00012526,0.00183865,-0.00260287,0.00074481,-0.00922755,0.00526361,0
0.020,-0.00000012,0.78539813,2.35619455,-0.00001764,-0.00000556,0.00000918,-0.00176073,-0.00055475,0.00091655,0.00009349,0.78395331,2.35855988,-0.00078053,0.00966128,-0.00574409,-0.01257526,-21.86468887,-0.00152810,-0.01257526,-21.86468887,-0.00152810,0.00012125,-0.01220346,-0.01637372,-0.01245401,-21.87689234,-0.01790182,0.00000000,-21.84332424,0.00303302,-0.00009361,0.00144482,-0.00236533,0.00076289,-0.00966684,0.00575327,0
0.030,-0.00000040,0.78539804,2.35619470,-0.00003962,-0.00001248,0.00002062,-0.00263448,-0.00083004,0.00137137,0.00008540,0.78405296,2.35849618,-0.00078778,0.00973727,-0.00590066,-0.01799304,-21.86672974,-0.00150357,-0.01799304,-21.86672974,-0.00150357,0.00020893,-0.01510888,-0.01512589,-0.01778411,-21.88183862,-0.01662946,-0.00751948,-21.86778133,-0.01904913,-0.00008580,0.00134508,-0.00230148,0.00074816,-0.00974975,0.00592128,0
0.040,-0.00000094,0.78539787,2.35619498,-0.00007031,-0.00002215,0.00003660,-0.00350383,-0.00110395,0.00182391,0.00007713,0.78415274,2.35843027,-0.00079762,0.00979729,-0.00607317,-0.02338395,-21.86876678,-0.00147792,-0.02338395,-21.86876678,-0.00147792,0.00028312,-0.01795342,-0.01379647,-0.02310083,-21.88672021,-0.01527439,-0.01245401,-21.88188101,-0.01460647,-0.00007807,0.00124513,-0.00223529,0.00072731,-0.00981944,0.00610977,0
0.050,-0.00000183,0.78539759,2.35619544,-0.00010968,-0.00003456,0.00005709,-0.00436878,-0.00137646,0.00227416,0.00006860,0.78425249,2.35836245,-0.00081141,0.00984188,-0.00625044,-0.02874707,-21.87079048,-0.00145364,-0.02874707,-21.87079048,-0.00145364,0.00034645,-0.02073705,-0.01241656,-0.02840062,-21.89152753,-0.01387021,-0.01778411,-21.88682645,-0.01323833,-0.00007043,0.00114510,-0.00216701,0.00070173,-0.00987644,0.00630753,0
0.060,-0.00000316,0.78539717,2.35619614,-0.00015767,-0.00004968,0.00008208,-0.00522934,-0.00164760,0.00272212,0.00005973,0.78435209,2.35829301,-0.00083016,0.00987144,-0.00642388,-0.03408335,-21.87281036,-0.00142824,-0.03408335,-21.87281036,-0.00142824,0.00040092,-0.02345893,-0.01101073,-0.03368243,-21.89626929,-0.01243897,-0.02310083,-21.89170028,-0.01180228,-0.00006289,0.00104508,-0.00209687,0.00067249,-0.00992112,0.00650596,0
0.070,-0.00000501,0.78539658,2.35619710,-0.00021425,-0.00006750,0.00011153,-0.00608553,-0.00191736,0.00316781,0.00005045,0.78445140,2.35822224,-0.00085464,0.00988630,-0.00658696,-0.03939226,-21.87482452,-0.00140319,-0.03939226,-21.87482452,-0.00140319,0.00044812,-0.02611790,-0.00959905,-0.03894414,-21.90094242,-0.01100224,-0.02840062,-21.89649297,-0.01033211,-0.00005546,0.00094518,-0.00202514,0.00064039,-0.00995380,0.00669849,0
0.080,-0.00000747,0.78539581,2.35619838,-0.00027937,-0.00008802,0.00014542,-0.00693734,-0.00218574,0.00361122,0.00004068,0.78455028,2.35815046,-0.00088540,0.00988672,-0.00673475,-0.04467412,-21.87683105,-0.00137597,-0.04467412,-21.87683105,-0.00137597,0.00048912,-0.02871212,-0.00819702,-0.04418500,-21.90554317,-0.00957299,-0.03368243,-21.90121327,-0.00884992,-0.00004815,0.00084553,-0.00195208,0.00060603,-0.00997474,0.00688017,0
0.090,-0.00001063,0.78539481,2.35620002,-0.00035298,-0.00011121,0.00018374,-0.00778479,-0.00245274,0.00405236,0.00003032,0.78464860,2.35807796,-0.00092288,0.00987292,-0.00686359,-0.04992919,-21.87882996,-0.00134885,-0.04992919,-21.87882996,-0.00134885,0.00052470,-0.03124049,-0.00681715,-0.04940449,-21.91007044,-0.00816600,-0.03894414,-21.90585819,-0.00737718,-0.00004095,0.00074621,-0.00187794,0.00056990,-0.00998413,0.00704733,0
0.100,-0.00001456,0.78539358,2.35620207,-0.00043505,-0.00013707,0.00022646,-0.00862788,-0.00271837,0.00449123,0.00001932,0.78474622,2.35800504,-0.00096737,0.00984514,-0.00697084,-0.05515695,-21.88081932,-0.00131987,-0.05515695,-21.88081932,-0.00131987,0.00055568,-0.03370080,-0.00546934,-0.05460126,-21.91452012,-0.00678920,-0.04418500,-21.91042407,-0.00592669,-0.00003388,0.00064736,-0.00180297,0.00053232,-0.00998221,0.00719730,0
0.110,-0.00001936,0.78539206,2.35620457,-0.00052553,-0.00016558,0.00027356,-0.00946662,-0.00298263,0.00492783,0.00000757,0.78484301,2.35793198,-0.00101910,0.00980360,-0.00705466,-0.06035785,-21.88281250,-0.00129274,-0.06035785,-21.88281250,-0.00129274,0.00058230,-0.03609229,-0.00416148,-0.05977555,-21.91890479,-0.00545422,-0.04940449,-21.91490993,-0.00451295,-0.00002693,0.00054905,-0.00172741,0.00049357,-0.00996918,0.00732822,0
0.120,-0.00002510,0.78539025,2.35620756,-0.00062437,-0.00019672,0.00032501,-0.01030102,-0.00324553,0.00536218,-0.00000498,0.78493884,2.35785906,-0.00107823,0.00974853,-0.00711382,-0.06553188,-21.88479424,-0.00126073,-0.06553188,-21.88479424,-0.00126073,0.00060511,-0.03841279,-0.00289986,-0.06492677,-21.92320703,-0.00416059,-0.05460126,-21.91931177,-0.00314355,-0.00002012,0.00045141,-0.00165150,0.00045386,-0.00994525,0.00743883,0
