t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_delan_1,tau_delan_2,tau_delan_3,tau_dnn_1,tau_dnn_2,tau_dnn_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3,gru_active
0.100,0.00000995,0.78538417,2.35620085,0.00029716,-0.00041725,0.00018966,0.00000000,0.00000000,0.00000000,-0.00089428,0.79539216,2.35797491,-0.00004084,0.00960625,-0.00311831,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05034531,-24.23991380,-0.23703766,0.05034531,-24.23991380,-0.23703766,0.06085451,-24.56972309,-0.12190783,0.00090423,-0.01000799,-0.00177406,0.00033800,-0.01002350,0.00330797,0
0.110,0.00001323,0.78537958,2.35620294,0.00035888,-0.00050371,0.00022896,0.00000000,0.00000000,0.00000000,-0.00087646,0.79530402,2.35810430,0.00041484,0.00500112,0.00089597,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04499241,-24.06761017,-0.29622638,0.04499241,-24.06761017,-0.29622638,0.05566191,-24.40486616,-0.18252070,0.00088969,-0.00992444,-0.00190136,-0.00005596,-0.00550483,-0.00066701,0
0.120,0.00001715,0.78537407,2.35620544,0.00042629,-0.00059808,0.00027185,0.00000000,0.00000000,0.00000000,-0.00085455,0.79517813,2.35824685,0.00085880,0.00060357,0.00423585,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03967470,-23.89545259,-0.35057707,0.03967470,-23.89545259,-0.35057707,0.05034531,-24.23361926,-0.24416541,0.00087170,-0.00980406,-0.00204141,-0.00043251,-0.00120165,-0.00396400,0
0.130,0.00002177,0.78536759,2.35620839,0.00049935,-0.00070029,0.00031831,0.00000000,0.00000000,0.00000000,-0.00082882,0.79501853,2.35839187,0.00128732,-0.00353733,0.00680234,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03445256,-23.72596533,-0.39748871,0.03445256,-23.72596533,-0.39748871,0.04499241,-24.05963015,-0.30347728,0.00085059,-0.00965094,-0.00218348,-0.00078797,0.00283704,-0.00648403,0
0.140,0.00002715,0.78536004,2.35621182,0.00057803,-0.00081029,0.00036831,0.00000000,0.00000000,0.00000000,-0.00079954,0.79482916,2.35852931,0.00169755,-0.00738722,0.00853780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02937630,-23.56115027,-0.43487338,0.02937630,-23.56115027,-0.43487338,0.03967470,-23.88598415,-0.35744917,0.00082669,-0.00946912,-0.00231749,-0.00111952,0.00657693,-0.00816949,0
0.150,0.00003335,0.78535136,2.35621577,0.00066229,-0.00092803,0.00042183,0.00000000,0.00000000,0.00000000,-0.00076697,0.79461377,2.35865017,0.00208732,-0.01092507,0.00942482,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02448753,-23.40249772,-0.46119645,0.02448753,-23.40249772,-0.46119645,0.03445256,-23.71519601,-0.40353164,0.00080032,-0.00926241,-0.00243440,-0.00142503,0.00999704,-0.00900299,0
0.160,0.00004042,0.78534146,2.35622027,0.00075210,-0.00105344,0.00047884,0.00000000,0.00000000,0.00000000,-0.00073139,0.79437586,2.35874676,0.00245509,-0.01414169,0.00948337,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01982026,-23.25103751,-0.47549598,0.01982026,-23.25103751,-0.47549598,0.02937630,-23.54925450,-0.43970290,0.00077181,-0.00903440,-0.00252649,-0.00170299,0.01308825,-0.00900453,0
0.170,0.00004841,0.78533026,2.35622535,0.00084743,-0.00118647,0.00053931,0.00000000,0.00000000,0.00000000,-0.00069305,0.79411858,2.35881293,0.00279980,-0.01703809,0.00876681,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01540237,-23.10737807,-0.47737240,0.01540237,-23.10737807,-0.47737240,0.02448753,-23.38963407,-0.46450502,0.00074146,-0.00878832,-0.00258758,-0.00195237,0.01585162,-0.00822750,0
0.180,0.00005739,0.78531770,2.35623106,0.00094825,-0.00132707,0.00060321,0.00000000,0.00000000,0.00000000,-0.00065221,0.79384477,2.35884420,0.00312078,-0.01962382,0.00735676,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01125764,-22.97175552,-0.46695464,0.01125764,-22.97175552,-0.46695464,0.01982026,-23.23734700,-0.47705928,0.00070960,-0.00852707,-0.00261314,-0.00217253,0.01829675,-0.00675355,0
0.190,0.00006740,0.78530370,2.35623743,0.00105452,-0.00147518,0.00067054,0.00000000,0.00000000,0.00000000,-0.00060913,0.79355688,2.35883779,0.00341773,-0.02191526,0.00535734,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00740394,-22.84409785,-0.44485640,0.00740394,-22.84409785,-0.44485640,0.01540237,-23.09298328,-0.47705195,0.00067653,-0.00825318,-0.00260036,-0.00236321,0.02044008,-0.00468680,0
0.200,0.00007849,0.78528817,2.35624449,0.00116621,-0.00163074,0.00074125,0.00000000,0.00000000,0.00000000,-0.00056404,0.79325698,2.35879263,0.00369057,-0.02393391,0.00288907,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00385620,-22.72408251,-0.41210974,0.00385620,-22.72408251,-0.41210974,0.01125764,-22.95676059,-0.46469676,0.00064253,-0.00796881,-0.00254814,-0.00252436,0.02230317,-0.00214782,0
0.210,0.00009074,0.78527106,2.35625227,0.00128328,-0.00179370,0.00081532,0.00000000,0.00000000,0.00000000,-0.00051717,0.79294681,2.35870926,0.00393947,-0.02570475,0.00008254,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00062775,-22.61118669,-0.37008918,0.00062775,-22.61118669,-0.37008918,0.00740394,-22.82858921,-0.44068789,0.00060791,-0.00767575,-0.00245699,-0.00265619,0.02391105,0.00073278,0
0.220,0.00010418,0.78525227,2.35626080,0.00140572,-0.00196400,0.00089273,0.00000000,0.00000000,0.00000000,-0.00046877,0.79262776,2.35858968,0.00416476,-0.02725474,-0.00292757,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00227268,-22.50476341,-0.32043006,-0.00227268,-22.50476341,-0.32043006,0.00385620,-22.70813017,-0.40613078,0.00057295,-0.00737549,-0.00232888,-0.00275904,0.02529074,0.00382030,0
