t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_model_1,tau_model_2,tau_model_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.000,0.00000000,0.78539816,2.35619449,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00128582,0.76956645,2.36500291,0.00110301,-0.01562032,0.01698298,0.00000000,-21.86064918,-0.00000002,0.67296560,1.92698942,0.32420432,0.67296560,-19.93365975,0.32420430,0.00000000,-21.83121316,-0.00824944,-0.00128582,0.01583171,-0.00880842,-0.00110301,0.01562032,-0.01698298
0.010,0.00000001,0.78539815,2.35619450,0.00000351,-0.00000290,0.00000236,0.00070122,-0.00058032,0.00047151,0.00129525,0.76942947,2.36516451,0.00106300,-0.01513960,0.01677712,0.00078734,-21.86097806,-0.00005334,0.67467224,1.93171161,0.32419716,0.67545957,-19.92926646,0.32414382,0.00000000,-21.83151631,-0.00807977,-0.00129524,0.01596868,-0.00897001,-0.00105949,0.01513670,-0.01677476
0.020,0.00000009,0.78539809,2.35619455,0.00001401,-0.00001160,0.00000942,0.00139894,-0.00115774,0.00094066,0.00131302,0.76932248,2.36532487,0.00124142,-0.01402947,0.01659195,0.00157074,-21.86130654,-0.00010646,0.66947779,1.92183089,0.32118156,0.67104854,-19.93947565,0.32107510,0.67296560,-19.92831021,0.31618609,-0.00131293,0.01607561,-0.00913032,-0.00122741,0.01401787,-0.01658253
0.030,0.00000032,0.78539790,2.35619470,0.00003148,-0.00002605,0.00002116,0.00209315,-0.00173226,0.00140746,0.00133916,0.76924556,2.36548387,0.00158458,-0.01244515,0.01641882,0.00235021,-21.86163661,-0.00015952,0.65859298,1.89982724,0.31567532,0.66094319,-19.96180937,0.31551581,0.67545957,-19.92542036,0.31619411,-0.00133884,0.01615234,-0.00928917,-0.00155310,0.01241910,-0.01639766
0.040,0.00000075,0.78539755,2.35619499,0.00005586,-0.00004623,0.00003756,0.00278386,-0.00230389,0.00187191,0.00137361,0.76919861,2.36564127,0.00204982,-0.01050760,0.01624911,0.00312575,-21.86196890,-0.00021244,0.64298680,1.86768329,0.30809430,0.64611254,-19.99428561,0.30788186,0.67104854,-19.93712817,0.31320510,-0.00137286,0.01619894,-0.00944628,-0.00199396,0.01046137,-0.01621155
0.050,0.00000146,0.78539696,2.35619547,0.00008714,-0.00007212,0.00005860,0.00347108,-0.00287262,0.00233401,0.00141624,0.76918138,2.36579678,0.00260319,-0.00831137,0.01607461,0.00389738,-21.86230548,-0.00026543,0.62343948,1.82698750,0.29877350,0.62733685,-20.03531798,0.29850807,0.66094319,-19.96094803,0.30774026,-0.00141478,0.01621558,-0.00960131,-0.00251605,0.00823925,-0.01601601
0.060,0.00000251,0.78539608,2.35619618,0.00012527,-0.00010368,0.00008424,0.00415482,-0.00343847,0.00279376,0.00146685,0.76919350,2.36595005,0.00321761,-0.00593060,0.01588767,0.00466510,-21.86264759,-0.00031856,0.60058604,1.77903232,0.28798694,0.60525114,-20.08361527,0.28766838,0.64611254,-19.99489146,0.30021842,-0.00146434,0.01620258,-0.00975387,-0.00309234,0.00582692,-0.01580343
0.070,0.00000398,0.78539487,2.35619717,0.00017023,-0.00014088,0.00011446,0.00483508,-0.00400144,0.00325117,0.00152518,0.76923447,2.36610067,0.00387144,-0.00342369,0.01568138,0.00542893,-21.86299609,-0.00037176,0.57495046,1.72488139,0.27596144,0.58037939,-20.13811470,0.27558968,0.62733685,-20.03736652,0.29097682,-0.00152120,0.01616040,-0.00990350,-0.00370121,0.00328281,-0.01556692
0.080,0.00000594,0.78539325,2.35619848,0.00022196,-0.00018369,0.00014925,0.00551186,-0.00456154,0.00370625,0.00159093,0.76930371,2.36624821,0.00454731,-0.00083681,0.01544955,0.00618886,-21.86335313,-0.00042530,0.54696592,1.66541272,0.26288533,0.55315478,-20.19794041,0.26246003,0.60525114,-20.08707717,0.28029135,-0.00158499,0.01608954,-0.01004973,-0.00432535,0.00065312,-0.01530030
0.090,0.00000845,0.78539117,2.35620017,0.00028045,-0.00023210,0.00018858,0.00618518,-0.00511877,0.00415900,0.00166376,0.76940055,2.36639219,0.00523126,0.00179329,0.01518673,0.00694493,-21.86371980,-0.00047911,0.51699933,1.60137121,0.24891937,0.52394425,-20.26234859,0.24844026,0.58037939,-20.14295650,0.26839054,-0.00165531,0.01599062,-0.01019202,-0.00495081,-0.00202539,-0.01499815
