t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_model_1,tau_model_2,tau_model_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.000,0.00000000,0.78539816,2.35619449,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00063148,0.79357515,2.34977603,0.00050967,-0.00539643,-0.00053668,0.00000000,-21.86064918,-0.00000002,-0.25659514,-0.73282832,-0.10608752,-0.25659514,-22.59347750,-0.10608755,0.00000000,-21.83512592,-0.00008744,0.00063148,-0.00817699,0.00641846,-0.00050967,0.00539643,0.00053668
0.010,0.00000001,0.78539815,2.35619450,0.00000302,-0.00000426,0.00000194,0.00060395,-0.00085095,0.00038680,-0.00062528,0.79350736,2.34978020,0.00053725,-0.00574211,-0.00029825,0.00047922,-21.86146278,-0.00015590,-0.25197780,-0.71958272,-0.10354869,-0.25149859,-22.58104549,-0.10370458,0.00000000,-21.83497545,-0.00020853,0.00062529,-0.00810921,0.00641430,-0.00053423,0.00573785,0.00030019
0.020,0.00000008,0.78539805,2.35619454,0.00001207,-0.00001700,0.00000773,0.00120449,-0.00169608,0.00077094,-0.00061885,0.79343659,2.34978679,0.00056370,-0.00607588,-0.00005900,0.00095625,-21.86227292,-0.00031102,-0.24732386,-0.70632410,-0.10102170,-0.24636762,-22.56859702,-0.10133273,0.00000000,-21.83482644,-0.00032936,0.00061893,-0.00803854,0.00640775,-0.00055163,0.00605888,0.00006673
0.030,0.00000027,0.78539778,2.35619466,0.00002710,-0.00003816,0.00001735,0.00180163,-0.00253539,0.00115245,-0.00061554,0.79335297,2.34979765,0.00050568,-0.00664751,0.00022725,0.00143111,-21.86308165,-0.00046561,-0.24017193,-0.68801066,-0.09751351,-0.23874082,-22.55109231,-0.09797912,-0.25659514,-22.58929630,-0.10663056,0.00061581,-0.00795519,0.00639701,-0.00047858,0.00660935,-0.00020990
0.040,0.00000064,0.78539726,2.35619490,0.00004809,-0.00006769,0.00003077,0.00239536,-0.00336889,0.00153132,-0.00061527,0.79325668,2.34981280,0.00038595,-0.00739267,0.00054925,0.00190377,-21.86389113,-0.00061992,-0.23100951,-0.66562386,-0.09321813,-0.22910573,-22.52951499,-0.09383806,-0.25149859,-22.57623141,-0.10446220,0.00061591,-0.00785942,0.00638210,-0.00033786,0.00732498,-0.00051848
0.050,0.00000125,0.78539640,2.35619529,0.00007500,-0.00010552,0.00004796,0.00298571,-0.00419661,0.00190755,-0.00061798,0.79314794,2.34983226,0.00022157,-0.00826300,0.00089850,0.00237428,-21.86470389,-0.00077438,-0.22020764,-0.63991366,-0.08828396,-0.21783335,-22.50461754,-0.08905834,-0.24636762,-22.56316003,-0.10230585,0.00061923,-0.00775154,0.00636303,-0.00014657,0.00815748,-0.00085054
0.060,0.00000216,0.78539512,2.35619587,0.00010779,-0.00015160,0.00006891,0.00357268,-0.00501856,0.00228116,-0.00062358,0.79302701,2.34985607,0.00002621,-0.00922060,0.00126912,0.00284264,-21.86552206,-0.00092924,-0.20806897,-0.61149163,-0.08283276,-0.20522633,-22.47701369,-0.08376201,-0.23874082,-22.54504562,-0.09916962,0.00062574,-0.00763189,0.00633980,0.00008158,0.00906900,-0.00120021
0.070,0.00000343,0.78539334,2.35619668,0.00014644,-0.00020587,0.00009358,0.00415627,-0.00583474,0.00265215,-0.00063194,0.79289420,2.34988429,-0.00018917,-0.01023572,0.00165712,0.00330884,-21.86634779,-0.00108478,-0.19484268,-0.58086226,-0.07696571,-0.19153384,-22.44721005,-0.07805049,-0.22910573,-22.52287444,-0.09524861,0.00063537,-0.00750086,0.00631239,0.00033561,0.01002985,-0.00156354
0.080,0.00000511,0.78539098,2.35619776,0.00019091,-0.00026828,0.00012194,0.00473649,-0.00664517,0.00302053,-0.00064289,0.79274987,2.34991696,-0.00041581,-0.01128497,0.00205978,0.00377290,-21.86718323,-0.00124127,-0.18073661,-0.54844647,-0.07076774,-0.17696372,-22.41562970,-0.07200901,-0.21783335,-22.49740118,-0.09069222,0.00064800,-0.00735889,0.00628080,0.00060672,0.01101669,-0.00193784
0.090,0.00000727,0.78538795,2.35619913,0.00024116,-0.00033876,0.00015398,0.00531334,-0.00744987,0.00338630,-0.00065629,0.79259443,2.34995418,-0.00064666,-0.01234989,0.00247531,0.00423481,-21.86803097,-0.00139919,-0.16592554,-0.51460140,-0.06431150,-0.16169073,-22.38263238,-0.06571069,-0.20522633,-22.46924136,-0.08562295,0.00066356,-0.00720648,0.00624495,0.00088782,0.01201113,-0.00232133
0.100,0.00000995,0.78538417,2.35620085,0.00029716,-0.00041725,0.00018966,0.00588685,-0.00824885,0.00374948,-0.00067193,0.79242829,2.34999602,-0.00087605,-0.01341588,0.00290252,0.00469462,-21.86889301,-0.00155866,-0.15055811,-0.47962931,-0.05765856,-0.14586349,-22.34852231,-0.05921722,-0.19153384,-22.43890312,-0.08014257,0.00068188,-0.00704412,0.00620483,0.00117321,0.01299863,-0.00271286
0.110,0.00001323,0.78537958,2.35620294,0.00035888,-0.00050371,0.00022896,0.00645700,-0.00904212,0.00411005,-0.00068962,0.79225191,2.35004257,-0.00109945,-0.01447136,0.00334065,0.00515231,-21.86977104,-0.00171997,-0.13476031,-0.44379049,-0.05086244,-0.12960800,-22.31356153,-0.05258240,-0.17696372,-22.40681080,-0.07433653,0.00070285,-0.00687233,0.00616037,0.00145833,0.01396765,-0.00311169
0.120,0.00001715,0.78537407,2.35620544,0.00042629,-0.00059808,0.00027185,0.00702381,-0.00982969,0.00446804,-0.00070917,0.79206577,2.35009392,-0.00131321,-0.01550713,0.00378917,0.00560790,-21.87066808,-0.00188358,-0.11864569,-0.40731944,-0.04397138,-0.11303778,-22.27798753,-0.04585496,-0.16169073,-22.37332515,-0.06827806,0.00072632,-0.00669170,0.00611152,0.00173950,0.01490905,-0.00351732
0.130,0.00002177,0.78536759,2.35620839,0.00049935,-0.00070029,0.00031831,0.00758729,-0.01061158,0.00482344,-0.00073035,0.79187034,2.35015016,-0.00151440,-0.01651587,0.00424772,0.00606142,-21.87158541,-0.00204955,-0.10231030,-0.37041513,-0.03702646,-0.09624889,-22.24200054,-0.03907602,-0.14586349,-22.33875127,-0.06202891,0.00075212,-0.00650275,0.00605823,0.00201375,0.01581558,-0.00392941
0.140,0.00002715,0.78536004,2.35621182,0.00057803,-0.00081029,0.00036831,0.00814744,-0.01138780,0.00517627,-0.00075294,0.79166615,2.35021136,-0.00170070,-0.01749174,0.00471601,0.00651286,-21.87252583,-0.00221838,-0.08584259,-0.33326396,-0.03006628,-0.07932973,-22.20578979,-0.03228465,-0.12960800,-22.30335186,-0.05564283,0.00078009,-0.00630611,0.00600046,0.00227873,0.01668145,-0.00434770
0.150,0.00003335,0.78535136,2.35621577,0.00066229,-0.00092803,0.00042183,0.00870427,-0.01215837,0.00552653,-0.00077673,0.79145370,2.35027763,-0.00187023,-0.01843009,0.00519374,0.00696224,-21.87349089,-0.00239018,-0.06931980,-0.29602853,-0.02312443,-0.06235755,-22.16951942,-0.02551461,-0.11303778,-22.26736495,-0.04916843,0.00081008,-0.00610234,0.00593814,0.00253252,0.01750206,-0.00477191
