t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.000,0.00000000,0.78539816,2.35619449,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00073711,0.77535076,2.36627893,-0.00147565,0.01791938,-0.00843649,-0.01918440,-20.47583646,-1.43031723,-0.01918440,-20.47583646,-1.43031723,0.00000000,-21.85167861,0.00637648,-0.00073711,0.01004740,-0.01008444,0.00147565,-0.01791938,0.00843649
0.010,-0.00000002,0.78539816,2.35619448,-0.00000451,-0.00000130,-0.00000166,-0.00090071,-0.00025994,-0.00033248,0.00071496,0.77562048,2.36614789,-0.00166046,0.02018232,-0.00960332,-0.01604025,-20.60660872,-1.40103522,-0.01604025,-20.60660872,-1.40103522,0.00000000,-21.85185060,0.00655191,-0.00071498,0.00977768,-0.00995341,0.00165595,-0.02018362,0.00960166
0.020,-0.00000012,0.78539813,2.35619445,-0.00001800,-0.00000519,-0.00000664,-0.00179691,-0.00051857,-0.00066329,0.00069140,0.77594327,2.36581354,-0.00183435,0.02320666,-0.01556116,-0.01306669,-20.77482420,-1.29331611,-0.01306669,-20.77482420,-1.29331611,-0.01918440,-20.49197630,-1.41359990,-0.00069152,0.00945486,-0.00961909,0.00181635,-0.02321185,0.01555452
0.030,-0.00000040,0.78539805,2.35619434,-0.00004043,-0.00001167,-0.00001492,-0.00268861,-0.00077591,-0.00099244,0.00066662,0.77631611,2.36528339,-0.00199535,0.02672582,-0.02492468,-0.01030115,-20.97055953,-1.12210796,-0.01030115,-20.97055953,-1.12210796,-0.01604025,-20.62525037,-1.37452759,-0.00066702,0.00908194,-0.00908905,0.00195492,-0.02673749,0.02490976
0.040,-0.00000096,0.78539789,2.35619414,-0.00007176,-0.00002071,-0.00002649,-0.00357582,-0.00103195,-0.00131993,0.00064080,0.77673379,2.36457524,-0.00214196,0.03048657,-0.03639718,-0.00777569,-21.18393137,-0.90301558,-0.00777569,-21.18393137,-0.90301558,-0.01306669,-20.79570861,-1.25790876,-0.00064176,0.00866410,-0.00838110,0.00207020,-0.03050728,0.03637069
0.050,-0.00000187,0.78539762,2.35619380,-0.00011193,-0.00003230,-0.00004132,-0.00445855,-0.00128670,-0.00164577,0.00061413,0.77718949,2.36371514,-0.00227311,0.03425724,-0.04880032,-0.00551515,-21.40547632,-0.65170574,-0.00551515,-21.40547632,-0.65170574,-0.01030115,-20.99334415,-1.07910309,-0.00061600,0.00820813,-0.00752134,0.00216118,-0.03428954,0.04875900
0.060,-0.00000323,0.78539723,2.35619330,-0.00016091,-0.00004644,-0.00005940,-0.00533680,-0.00154015,-0.00196996,0.00058680,0.77767514,2.36273522,-0.00238817,0.03783415,-0.06109826,-0.00354084,-21.62646559,-0.38333492,-0.00354084,-21.62646559,-0.38333492,-0.00777569,-21.20821381,-0.85401955,-0.00059003,0.00772209,-0.00654192,0.00222726,-0.03788059,0.06103886
0.070,-0.00000512,0.78539669,2.35619260,-0.00021865,-0.00006310,-0.00008071,-0.00621058,-0.00179231,-0.00229249,0.00055897,0.77818196,2.36167155,-0.00248690,0.04104624,-0.07241548,-0.00186760,-21.83916655,-0.11205816,-0.00186760,-21.83916655,-0.11205816,-0.00551515,-21.43081758,-0.59852217,-0.00056409,0.00721473,-0.00547895,0.00226825,-0.04110934,0.07233477
0.080,-0.00000763,0.78539596,2.35619167,-0.00028511,-0.00008228,-0.00010524,-0.00707989,-0.00204319,-0.00261338,0.00053080,0.77870089,2.36056209,-0.00256940,0.04375797,-0.08204803,-0.00050599,-22.03703196,0.14939492,-0.00050599,-22.03703196,0.14939492,-0.00354084,-21.65241217,-0.32786208,-0.00053843,0.00669507,-0.00437042,0.00228429,-0.04384025,0.08194279
0.090,-0.00001085,0.78539503,2.35619049,-0.00036024,-0.00010396,-0.00013297,-0.00794475,-0.00229278,-0.00293263,0.00050244,0.77922297,2.35944481,-0.00263612,0.04587052,-0.08946816,0.00053807,-22.21481427,0.39005195,0.00053807,-22.21481427,0.39005195,-0.00186760,-21.86527064,-0.05619388,-0.00051329,0.00617206,-0.00325432,0.00227588,-0.04597448,0.08933519
0.100,-0.00001486,0.78539387,2.35618900,-0.00044399,-0.00012813,-0.00016389,-0.00880517,-0.00254109,-0.00325023,0.00047401,0.77973972,2.35835595,-0.00268777,0.04732153,-0.09432263,0.00126324,-22.36863800,0.60092792,0.00126324,-22.36863800,0.60092792,-0.00050599,-22.06286924,0.20383795,-0.00048887,0.00565415,-0.00216695,0.00224378,-0.04744966,0.09415874
0.110,-0.00001976,0.78539246,2.35618720,-0.00053632,-0.00015478,-0.00019797,-0.00966114,-0.00278811,-0.00356619,0.00044563,0.78024341,2.35732862,-0.00272529,0.04808346,-0.09642527,0.00167063,-22.49599643,0.77518332,0.00167063,-22.49599643,0.77518332,0.00053807,-22.23999891,0.44141854,-0.00046539,0.00514905,-0.00114142,0.00218897,-0.04823824,0.09622730
0.120,-0.00002562,0.78539077,2.35618503,-0.00063720,-0.00018389,-0.00023521,-0.01051269,-0.00303386,-0.00388052,0.00041740,0.78072734,2.35639160,-0.00274981,0.04816083,-0.09574438,0.00176567,-22.59570578,0.90815632,0.00176567,-22.59570578,0.90815632,0.00126324,-22.39283447,0.64777878,-0.00044302,0.00466343,-0.00020657,0.00211261,-0.04834472,0.09550917
