t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_delan_1,tau_delan_2,tau_delan_3,tau_dnn_1,tau_dnn_2,tau_dnn_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3,gru_active
0.000,0.00000000,0.78539816,2.35619449,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00056018,0.79210599,2.35327420,-0.00089619,0.01198844,-0.01147116,-0.00165734,-21.86057281,-0.00157482,-0.00165734,-21.86057281,-0.00157482,0.01019558,-0.22765150,0.06664458,0.00853825,-22.08822432,0.06506976,0.00000000,-21.84415952,0.00574440,0.00056018,-0.00670783,0.00292029,0.00089619,-0.01198844,0.01147116,0
0.010,0.00000000,0.78539816,2.35619449,0.00000066,-0.00000023,0.00000041,0.00013201,-0.00004575,0.00008104,-0.00056018,0.79210599,2.35327420,-0.00089619,0.01198844,-0.01147116,-0.00087109,-21.86075020,-0.00153449,-0.00087109,-21.86075020,-0.00153449,0.01019746,-0.22766607,0.06664853,0.00932637,-22.08841627,0.06511404,0.00000000,-21.84415952,0.00574440,0.00056018,-0.00670783,0.00292029,0.00089685,-0.01198867,0.01147157,0
0.020,0.00000002,0.78539816,2.35619450,0.00000264,-0.00000091,0.00000162,0.00026362,-0.00009136,0.00016183,-0.00056855,0.79221922,2.35316055,-0.00088142,0.01182190,-0.01144455,-0.00008716,-21.86092567,-0.00149453,-0.00008716,-21.86092567,-0.00149453,0.01029832,-0.22968098,0.06806562,0.01021115,-22.09060665,0.06657109,0.00000000,-21.84402617,0.00568237,0.00056857,-0.00682106,0.00303395,0.00088406,-0.01182281,0.01144617,0
0.030,0.00000006,0.78539814,2.35619453,0.00000593,-0.00000206,0.00000364,0.00039484,-0.00013683,0.00024238,-0.00059229,0.79254249,2.35282747,-0.00082698,0.01118688,-0.01123227,0.00069428,-21.86110306,-0.00145348,0.00069428,-21.86110306,-0.00145348,0.01055342,-0.23460826,0.07187381,0.01124770,-22.09571132,0.07042033,0.00000000,-21.84361440,0.00548387,0.00059235,-0.00714435,0.00336706,0.00083291,-0.01118894,0.01123591,0
0.040,0.00000014,0.78539811,2.35619458,0.00001053,-0.00000365,0.00000647,0.00052567,-0.00018216,0.00032269,-0.00059932,0.79263927,2.35273216,-0.00079583,0.01080953,-0.01080691,0.00147354,-21.86128044,-0.00141367,0.00147354,-21.86128044,-0.00141367,0.01060749,-0.23516405,0.07206062,0.01208102,-22.09644449,0.07064695,0.01021115,-22.09544539,0.07133652,0.00059946,-0.00724116,0.00346242,0.00080636,-0.01081318,0.01081338,0
0.050,0.00000027,0.78539807,2.35619466,0.00001644,-0.00000570,0.00001009,0.00065609,-0.00022736,0.00040275,-0.00060566,0.79272765,2.35265173,-0.00075534,0.01031683,-0.01011582,0.00225042,-21.86145210,-0.00137360,0.00225042,-21.86145210,-0.00137360,0.01063595,-0.23493612,0.07139206,0.01288637,-22.09638822,0.07001846,0.01124770,-22.10013068,0.07444161,0.00060593,-0.00732958,0.00354293,0.00077178,-0.01032253,0.01012591,0
0.060,0.00000047,0.78539800,2.35619478,0.00002365,-0.00000820,0.00001452,0.00078613,-0.00027242,0.00048257,-0.00061129,0.79280762,2.35258617,-0.00070740,0.00973687,-0.00922598,0.00302475,-21.86163139,-0.00133396,0.00302475,-21.86163139,-0.00133396,0.01064265,-0.23406466,0.07003604,0.01366740,-22.09569605,0.06870208,0.01208102,-22.10044299,0.07392518,0.00061176,-0.00740962,0.00360861,0.00073105,-0.00974507,0.00924050,0
0.070,0.00000075,0.78539790,2.35619495,0.00003216,-0.00001115,0.00001974,0.00091577,-0.00031734,0.00056215,-0.00061621,0.79287918,2.35253532,-0.00065349,0.00909156,-0.00819081,0.00379692,-21.86180305,-0.00129324,0.00379692,-21.86180305,-0.00129324,0.01063043,-0.23265920,0.06812811,0.01442735,-22.09446226,0.06683487,0.01288637,-22.09996603,0.07256110,0.00061696,-0.00748128,0.00365963,0.00068565,-0.00910271,0.00821055,0
0.080,0.00000112,0.78539777,2.35619518,0.00004197,-0.00001454,0.00002576,0.00104501,-0.00036213,0.00064149,-0.00062040,0.79294235,2.35249892,-0.00059472,0.00839797,-0.00705294,0.00456674,-21.86198235,-0.00125381,0.00456674,-21.86198235,-0.00125381,0.01060145,-0.23080589,0.06577831,0.01516819,-22.09278824,0.06452449,0.01366740,-22.09885467,0.07052176,0.00062152,-0.00754458,0.00369626,0.00063669,-0.00841251,0.00707870,0
0.090,0.00000160,0.78539761,2.35619547,0.00005306,-0.00001839,0.00003257,0.00117386,-0.00040678,0.00072059,-0.00062383,0.79299719,2.35247665,-0.00053197,0.00766951,-0.00584647,0.00533386,-21.86215591,-0.00121418,0.00533386,-21.86215591,-0.00121418,0.01055749,-0.22857305,0.06307617,0.01589136,-22.09072896,0.06186198,0.01442735,-22.09720431,0.06794840,0.00062543,-0.00759958,0.00371882,0.00058503,-0.00768790,0.00587904,0
