t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_delan_1,tau_delan_2,tau_delan_3,tau_dnn_1,tau_dnn_2,tau_dnn_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3,gru_active
0.000,0.00000000,0.78539816,2.35619449,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00054490,0.77888078,2.35926285,0.00072462,-0.00993761,0.00995781,-0.00165734,-21.86057281,-0.00157482,-0.00165734,-21.86057281,-0.00157482,-0.00962330,0.21263556,-0.06478630,-0.01128063,-21.64793726,-0.06636112,-0.00000000,-21.83361240,-0.00496129,-0.00054490,0.00651738,-0.00306836,-0.00072462,0.00993761,-0.00995781,0
0.010,0.00000000,0.78539816,2.35619449,0.00000041,-0.00000012,-0.00000018,0.00008171,-0.00002345,-0.00003632,0.00054490,0.77888078,2.35926285,0.00072462,-0.00993761,0.00995781,-0.00117757,-21.86075211,-0.00163156,-0.00117757,-21.86075211,-0.00163156,-0.00962302,0.21264799,-0.06478982,-0.01080060,-21.64810411,-0.06642138,-0.00000000,-21.83361240,-0.00496129,-0.00054490,0.00651738,-0.00306836,-0.00072421,0.00993749,-0.00995799,0
0.020,0.00000001,0.78539816,2.35619449,0.00000163,-0.00000047,-0.00000073,0.00016322,-0.00004685,-0.00007254,0.00057019,0.77852643,2.35964686,0.00065625,-0.00913724,0.00968145,-0.00069899,-21.86093140,-0.00168816,-0.00069899,-21.86093140,-0.00168816,-0.00986357,0.21751692,-0.06909584,-0.01056256,-21.64341448,-0.07078400,0.00000000,-21.83413262,-0.00469991,-0.00057018,0.00687173,-0.00345237,-0.00065462,0.00913677,-0.00968218,0
0.030,0.00000004,0.78539815,2.35619447,0.00000367,-0.00000105,-0.00000163,0.00024452,-0.00007019,-0.00010867,0.00057560,0.77844884,2.35972773,0.00062763,-0.00879269,0.00928283,-0.00022170,-21.86111069,-0.00174479,-0.00022170,-21.86111069,-0.00174479,-0.00988362,0.21774466,-0.06915661,-0.01010533,-21.64336603,-0.07090140,-0.01080060,-21.64422460,-0.07046485,-0.00057556,0.00694931,-0.00353326,-0.00062396,0.00879164,-0.00928446,0
0.040,0.00000009,0.78539814,2.35619445,0.00000652,-0.00000187,-0.00000290,0.00032561,-0.00009346,-0.00014472,0.00058044,0.77837848,2.35979490,0.00059162,-0.00835355,0.00864138,0.00025457,-21.86128616,-0.00180055,0.00025457,-21.86128616,-0.00180055,-0.00987828,0.21731772,-0.06843324,-0.00962370,-21.64396844,-0.07023379,-0.01056256,-21.63989640,-0.07414251,-0.00058035,0.00701966,-0.00360045,-0.00058510,0.00835168,-0.00864428,0
0.050,0.00000017,0.78539811,2.35619441,0.00001018,-0.00000292,-0.00000453,0.00040651,-0.00011668,-0.00018067,0.00058470,0.77831536,2.35984841,0.00055022,-0.00784324,0.00781895,0.00072960,-21.86146355,-0.00185694,0.00072960,-21.86146355,-0.00185694,-0.00985146,0.21635240,-0.06708115,-0.00912186,-21.64511115,-0.06893809,-0.01010533,-21.64020988,-0.07357725,-0.00058453,0.00708275,-0.00365400,-0.00054004,0.00784032,-0.00782348,0
0.060,0.00000029,0.78539808,2.35619436,0.00001465,-0.00000421,-0.00000651,0.00048720,-0.00013984,-0.00021653,0.00058839,0.77825945,2.35988844,0.00050496,-0.00728002,0.00686483,0.00120302,-21.86164665,-0.00191492,0.00120302,-21.86164665,-0.00191492,-0.00980614,0.21494094,-0.06522545,-0.00860312,-21.64670571,-0.06714037,-0.00962370,-21.64117327,-0.07223502,-0.00058810,0.00713863,-0.00369408,-0.00049031,0.00727581,-0.00687134,0
0.070,0.00000047,0.78539803,2.35619428,0.00001993,-0.00000572,-0.00000886,0.00056768,-0.00016295,-0.00025230,0.00059152,0.77821073,2.35991523,0.00045697,-0.00667817,0.00581828,0.00167573,-21.86182404,-0.00197140,0.00167573,-21.86182404,-0.00197140,-0.00974446,0.21315543,-0.06296794,-0.00806873,-21.64866861,-0.06493934,-0.00912186,-21.64267484,-0.07027741,-0.00059105,0.00718730,-0.00372095,-0.00043704,0.00667245,-0.00582714,0
0.080,0.00000069,0.78539796,2.35619418,0.00002601,-0.00000746,-0.00001156,0.00064797,-0.00018599,-0.00028799,0.00059410,0.77816911,2.35992910,0.00040716,-0.00604890,0.00471065,0.00214718,-21.86199951,-0.00202775,0.00214718,-21.86199951,-0.00202775,-0.00966862,0.21105339,-0.06039106,-0.00752144,-21.65094613,-0.06241881,-0.00860312,-21.64462516,-0.06783425,-0.00059341,0.00722885,-0.00373492,-0.00038115,0.00604144,-0.00472221,0
0.090,0.00000099,0.78539788,2.35619405,0.00003289,-0.00000944,-0.00001462,0.00072805,-0.00020898,-0.00032358,0.00059613,0.77813454,2.35993046,0.00035619,-0.00540103,0.00356698,0.00261729,-21.86218071,-0.00208414,0.00261729,-21.86218071,-0.00208414,-0.00957951,0.20868101,-0.05756263,-0.00696222,-21.65349970,-0.05964677,-0.00806873,-21.64693990,-0.06500732,-0.00059514,0.00726334,-0.00373641,-0.00032330,0.00539159,-0.00358160,0
0.100,0.00000136,0.78539777,2.35619389,0.00004057,-0.00001164,-0.00001803,0.00080792,-0.00023190,-0.00035908,0.00059763,0.77810691,2.35991974,0.00030459,-0.00474150,0.00240727,0.00308642,-21.86236382,-0.00214294,0.00308642,-21.86236382,-0.00214294,-0.00947846,0.20607491,-0.05453836,-0.00639204,-21.65628891,-0.05668131,-0.00752144,-21.64956467,-0.06188289,-0.00059627,0.00729086,-0.00372585,-0.00026402,0.00472986,-0.00242530,0
0.110,0.00000180,0.78539765,2.35619369,0.00004904,-0.00001408,-0.00002180,0.00088760,-0.00025477,-0.00039449,0.00059860,0.77808612,2.35989743,0.00025276,-0.00407581,0.00124753,0.00355419,-21.86253929,-0.00220000,0.00355419,-21.86253929,-0.00220000,-0.00936645,0.20326557,-0.05136462,-0.00581226,-21.65927372,-0.05356462,-0.00696222,-21.65246033,-0.05853093,-0.00059680,0.00731153,-0.00370374,-0.00020372,0.00406173,-0.00126933,0
0.120,0.00000234,0.78539749,2.35619345,0.00005832,-0.00001674,-0.00002592,0.00096707,-0.00027759,-0.00042981,0.00059906,0.77807206,2.35986402,0.00020102,-0.00340833,0.00010054,0.00402093,-21.86272049,-0.00225725,0.00402093,-21.86272049,-0.00225725,-0.00924377,0.20027698,-0.04807997,-0.00522284,-21.66244351,-0.05033722,-0.00639204,-21.65558596,-0.05501109,-0.00059672,0.00732543,-0.00367057,-0.00014270,0.00339159,-0.00012646,0
