t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_delan_1,tau_delan_2,tau_delan_3,tau_dnn_1,tau_dnn_2,tau_dnn_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3,gru_active
0.000,0.00000000,0.78539816,2.35619449,0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00035684,0.78152200,2.35635673,0.00138209,-0.01788656,0.01392216,-0.00165734,-21.86057281,-0.00157482,-0.00165734,-21.86057281,-0.00157482,-0.00811707,0.18634453,-0.03691474,-0.00977440,-21.67422829,-0.03848956,0.00000000,-21.82936558,-0.00716522,-0.00035684,0.00387616,-0.00016224,-0.00138209,0.01788656,-0.01392216,0
0.010,0.00000001,0.78539815,2.35619450,0.00000302,-0.00000426,0.00000194,0.00060395,-0.00085095,0.00038680,0.00035684,0.78152200,2.35635673,0.00138209,-0.01788656,0.01392216,0.00158151,-21.86629295,-0.00216742,0.00158151,-21.86629295,-0.00216742,-0.00811123,0.18633073,-0.03690992,-0.00652972,-21.67996223,-0.03907734,0.00000000,-21.82936558,-0.00716522,-0.00035683,0.00387615,-0.00016223,-0.00137907,0.01788230,-0.01392022,0
0.020,0.00000008,0.78539805,2.35619454,0.00001207,-0.00001700,0.00000773,0.00120449,-0.00169608,0.00077094,0.00042368,0.78064837,2.35706853,0.00134065,-0.01749316,0.01414535,0.00480289,-21.87197113,-0.00275651,0.00480289,-21.87197113,-0.00275651,-0.00901227,0.20614791,-0.04670716,-0.00420938,-21.66582322,-0.04946367,0.00000000,-21.82981467,-0.00707779,-0.00042360,0.00474968,-0.00087399,-0.00132858,0.01747616,-0.01413762,0
0.030,0.00000027,0.78539778,2.35619466,0.00002710,-0.00003816,0.00001735,0.00180163,-0.00253539,0.00115245,0.00043627,0.78048268,2.35720178,0.00132036,-0.01726211,0.01394011,0.00800635,-21.87762260,-0.00334089,0.00800635,-21.87762260,-0.00334089,-0.00912814,0.20903218,-0.04790161,-0.00112179,-21.66859043,-0.05124250,-0.00652972,-21.67167775,-0.04573953,-0.00043600,0.00491510,-0.00100712,-0.00129326,0.01722395,-0.01392276,0
0.040,0.00000064,0.78539726,2.35619490,0.00004809,-0.00006769,0.00003077,0.00239536,-0.00336889,0.00153132,0.00044845,0.78032278,2.35732518,0.00129465,-0.01694396,0.01354009,0.01119211,-21.88323021,-0.00392215,0.01119211,-21.88323021,-0.00392215,-0.00921224,0.21128830,-0.04847023,0.00197987,-21.67194191,-0.05239237,-0.00420938,-21.65782847,-0.05563369,-0.00044781,0.00507448,-0.00113028,-0.00124656,0.01687627,-0.01350932,0
0.050,0.00000125,0.78539640,2.35619529,0.00007500,-0.00010552,0.00004796,0.00298571,-0.00419661,0.00190755,0.00046025,0.78016871,2.35743859,0.00126613,-0.01655971,0.01299037,0.01436006,-21.88881683,-0.00450355,0.01436006,-21.88881683,-0.00450355,-0.00926978,0.21301857,-0.04852350,0.00509028,-21.67579826,-0.05302704,-0.00112179,-21.66088696,-0.05691312,-0.00045900,0.00522769,-0.00124330,-0.00119113,0.01645419,-0.01294241,0
0.060,0.00000216,0.78539512,2.35619587,0.00010779,-0.00015160,0.00006891,0.00357268,-0.00501856,0.00228116,0.00047174,0.78002048,2.35754196,0.00123679,-0.01612570,0.01232712,0.01751062,-21.89436913,-0.00507912,0.01751062,-21.89436913,-0.00507912,-0.00930468,0.21430281,-0.04815065,0.00820594,-21.68006632,-0.05322977,0.00197987,-21.66453007,-0.05756106,-0.00046958,0.00537464,-0.00134609,-0.00112900,0.01597410,-0.01225821,0
0.070,0.00000343,0.78539334,2.35619668,0.00014644,-0.00020587,0.00009358,0.00415627,-0.00583474,0.00265215,0.00048296,0.77987806,2.35763533,0.00120815,-0.01565472,0.01157940,0.02064356,-21.89989853,-0.00565410,0.02064356,-21.89989853,-0.00565410,-0.00931985,0.21520351,-0.04742431,0.01132371,-21.68469502,-0.05307841,0.00509028,-21.66867738,-0.05769517,-0.00047953,0.00551528,-0.00143865,-0.00106171,0.01544885,-0.01148582,0
0.080,0.00000511,0.78539098,2.35619776,0.00019091,-0.00026828,0.00012194,0.00473649,-0.00664517,0.00302053,0.00049397,0.77974143,2.35771877,0.00118134,-0.01515677,0.01077067,0.02375898,-21.90540695,-0.00622680,0.02375898,-21.90540695,-0.00622680,-0.00931770,0.21576975,-0.04640384,0.01444127,-21.68963720,-0.05263064,0.00820594,-21.67323485,-0.05740201,-0.00048886,0.00564955,-0.00152101,-0.00099043,0.01488849,-0.01064873,0
0.090,0.00000727,0.78538795,2.35619913,0.00024116,-0.00033876,0.00015398,0.00531334,-0.00744987,0.00338630,0.00050482,0.77961054,2.35779244,0.00115721,-0.01463974,0.00991987,0.02685656,-21.91089630,-0.00679998,0.02685656,-21.91089630,-0.00679998,-0.00929978,0.21604017,-0.04513831,0.01755679,-21.69485613,-0.05193829,0.01132371,-21.67815069,-0.05676216,-0.00049755,0.00577741,-0.00159331,-0.00091605,0.01430098,-0.00976589,0
0.100,0.00000995,0.78538417,2.35620085,0.00029716,-0.00041725,0.00018966,0.00588685,-0.00824885,0.00374948,0.00051556,0.77948534,2.35785654,0.00113643,-0.01410986,0.00904239,0.02993722,-21.91636086,-0.00736756,0.02993722,-21.91636086,-0.00736756,-0.00926765,0.21604567,-0.04366798,0.02066957,-21.70031518,-0.05103554,0.01444127,-21.68337709,-0.05583561,-0.00050561,0.00589883,-0.00165569,-0.00083927,0.01369261,-0.00885273,0
0.110,0.00001323,0.78537958,2.35620294,0.00035888,-0.00050371,0.00022896,0.00645700,-0.00904212,0.00411005,0.00052625,0.77936575,2.35791130,0.00111950,-0.01357209,0.00815073,0.03300035,-21.92181015,-0.00793791,0.03300035,-21.92181015,-0.00793791,-0.00922196,0.21581147,-0.04202696,0.02377839,-21.70599868,-0.04996487,0.01755679,-21.68887675,-0.05467615,-0.00051302,0.00601383,-0.00170836,-0.00076062,0.01306838,-0.00792177,0
0.120,0.00001715,0.78537407,2.35620544,0.00042629,-0.00059808,0.00027185,0.00702381,-0.00982969,0.00446804,0.00053694,0.77925170,2.35795698,0.00110679,-0.01303038,0.00725511,0.03604597,-21.92724991,-0.00850497,0.03604597,-21.92724991,-0.00850497,-0.00916374,0.21535691,-0.04024381,0.02688222,-21.71189300,-0.04874878,0.02066957,-21.69461255,-0.05331966,-0.00051979,0.00612237,-0.00175154,-0.00068050,0.01243230,-0.00698326,0
