t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_delan_1,tau_delan_2,tau_delan_3,tau_dnn_1,tau_dnn_2,tau_dnn_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3,gru_active
0.100,0.00001157,0.78538859,2.35620227,0.00034566,-0.00028606,0.00023242,0.00685503,-0.00567313,0.00460942,0.00052492,0.77955130,2.35707988,0.00154089,-0.01908540,0.01288976,0.03736615,-21.89482880,-0.00316406,0.03736615,-21.89482880,-0.00316406,-0.01009550,0.24003400,-0.04305380,0.02727066,-21.65479480,-0.04621786,0.01965724,-21.64207670,-0.05263381,-0.00051335,0.00583729,-0.00087761,-0.00119523,0.01879934,-0.01265734,0
0.110,0.00001538,0.78538543,2.35620483,0.00041754,-0.00034555,0.00028076,0.00752143,-0.00622463,0.00505751,0.00053975,0.77938347,2.35717425,0.00152644,-0.01851000,0.01202669,0.04115999,-21.89821625,-0.00332083,0.04115999,-21.89821625,-0.00332083,-0.01008867,0.24098852,-0.04196982,0.03107133,-21.65722773,-0.04529066,0.02346586,-21.64424966,-0.05166444,-0.00052437,0.00600196,-0.00096942,-0.00110890,0.01816445,-0.01174593,0
0.120,0.00001994,0.78538166,2.35620790,0.00049607,-0.00041054,0.00033357,0.00818437,-0.00677327,0.00550328,0.00055463,0.77922186,2.35725946,0.00151673,-0.01792273,0.01115030,0.04493369,-21.90159988,-0.00347923,0.04493369,-21.90159988,-0.00347923,-0.01006745,0.24168554,-0.04071572,0.03486624,-21.65991435,-0.04419494,0.02727066,-21.64671433,-0.05047842,-0.00053469,0.00615980,-0.00105156,-0.00102066,0.01751219,-0.01081673,0
0.130,0.00002532,0.78537721,2.35621152,0.00058122,-0.00048101,0.00039082,0.00884387,-0.00731907,0.00594674,0.00056961,0.77906646,2.35733571,0.00151208,-0.01732698,0.01026892,0.04868824,-21.90498352,-0.00363728,0.04868824,-21.90498352,-0.00363728,-0.01003243,0.24214071,-0.03931445,0.03865581,-21.66284281,-0.04295173,0.03107133,-21.64945787,-0.04910306,-0.00054429,0.00631075,-0.00112419,-0.00093086,0.01684597,-0.00987810,0
0.140,0.00003159,0.78537202,2.35621573,0.00067294,-0.00055692,0.00045249,0.00949994,-0.00786202,0.00638789,0.00058475,0.77891725,2.35740322,0.00151275,-0.01672551,0.00938954,0.05242353,-21.90836334,-0.00379371,0.05242353,-21.90836334,-0.00379371,-0.00998405,0.24236726,-0.03778594,0.04243948,-21.66599608,-0.04157965,0.03486624,-21.65245379,-0.04757063,-0.00055316,0.00645477,-0.00118749,-0.00083981,0.01616859,-0.00893705,0
0.150,0.00003880,0.78536605,2.35622058,0.00077120,-0.00063824,0.00051857,0.01015257,-0.00840212,0.00682673,0.00060013,0.77877419,2.35746226,0.00151893,-0.01612063,0.00851800,0.05613903,-21.91175652,-0.00395223,0.05613903,-21.91175652,-0.00395223,-0.00992292,0.24237670,-0.03614753,0.04621611,-21.66937981,-0.04009977,0.03865581,-21.65568981,-0.04590343,-0.00056133,0.00659186,-0.00124168,-0.00074773,0.01548239,-0.00799943,0
0.160,0.00004704,0.78535924,2.35622612,0.00087598,-0.00072495,0.00058902,0.01080177,-0.00893940,0.00726326,0.00061579,0.77863724,2.35751309,0.00153078,-0.01551428,0.00765929,0.05983515,-21.91514015,-0.00410972,0.05983515,-21.91514015,-0.00410972,-0.00984896,0.24217838,-0.03441470,0.04998619,-21.67296178,-0.03852442,0.04243948,-21.65914848,-0.04412122,-0.00056875,0.00672200,-0.00128697,-0.00065480,0.01478933,-0.00707027,0
0.170,0.00005635,0.78535153,2.35623238,0.00098723,-0.00081702,0.00066383,0.01144755,-0.00947384,0.00769749,0.00063180,0.77850634,2.35755602,0.00154840,-0.01490809,0.00681762,0.06351167,-21.91853333,-0.00426935,0.06351167,-21.91853333,-0.00426935,-0.00976283,0.24178042,-0.03260149,0.05374884,-21.67675290,-0.03687084,0.04621611,-21.66283504,-0.04224607,-0.00057545,0.00684519,-0.00132364,-0.00056117,0.01409107,-0.00615379,0
0.180,0.00006680,0.78534288,2.35623941,0.00110492,-0.00091442,0.00074296,0.01208992,-0.01000545,0.00812943,0.00064823,0.77838144,2.35759135,0.00157190,-0.01430349,0.00599661,0.06716898,-21.92193985,-0.00442810,0.06716898,-21.92193985,-0.00442810,-0.00966463,0.24119049,-0.03072046,0.05750435,-21.68074936,-0.03514856,0.04998619,-21.66671694,-0.04029120,-0.00058143,0.00696144,-0.00135194,-0.00046698,0.01338907,-0.00525365,0
0.190,0.00007847,0.78533323,2.35624725,0.00122902,-0.00101712,0.00082641,0.01272887,-0.01053424,0.00855907,0.00066513,0.77826248,2.35761943,0.00160134,-0.01370169,0.00519934,0.07080706,-21.92534447,-0.00458851,0.07080706,-21.92534447,-0.00458851,-0.00955431,0.24041498,-0.02878310,0.06125275,-21.68492949,-0.03337161,0.05374884,-21.67080475,-0.03827461,-0.00058666,0.00707075,-0.00137218,-0.00037232,0.01268457,-0.00437293,0
