t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_model_1,tau_model_2,tau_model_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.000,0.00000000,0.78539816,2.35619449,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00009009,0.78677713,2.35444800,0.00045322,-0.00552944,0.00301645,0.00000000,-21.86064918,-0.00000002,-0.01239256,-0.03394754,0.00304170,-0.01239256,-21.89459672,0.00304167,0.00000000,-21.83544346,-0.00164957,0.00009009,-0.00137897,0.00174649,-0.00045322,0.00552944,-0.00301645
0.010,0.00000000,0.78539816,2.35619449,0.00000066,-0.00000023,0.00000041,0.00013201,-0.00004575,0.00008104,-0.00008529,0.78671825,2.35448161,0.00045986,-0.00561910,0.00310254,0.00018293,-21.86061860,0.00000872,-0.00980187,-0.02652421,0.00427929,-0.00961894,-21.88714281,0.00428801,0.00000000,-21.83542098,-0.00168041,0.00008529,-0.00132009,0.00171288,-0.00045920,0.00561887,-0.00310213
0.020,0.00000002,0.78539816,2.35619450,0.00000264,-0.00000091,0.00000162,0.00026362,-0.00009136,0.00016183,-0.00008046,0.78665894,2.35451582,0.00046553,-0.00569702,0.00318220,0.00036530,-21.86058804,0.00001751,-0.00723890,-0.01920540,0.00549623,-0.00687359,-21.87979344,0.00551374,0.00000000,-21.83539964,-0.00171058,0.00008048,-0.00126078,0.00167868,-0.00046289,0.00569611,-0.00318058
0.030,0.00000006,0.78539814,2.35619453,0.00000593,-0.00000206,0.00000364,0.00039484,-0.00013683,0.00024238,-0.00007572,0.78659836,2.35455209,0.00046779,-0.00578715,0.00329341,0.00054714,-21.86055804,0.00002627,-0.00462212,-0.01182671,0.00668989,-0.00407498,-21.87238475,0.00671616,-0.00961894,-21.88411405,0.00247448,0.00007578,-0.00120022,0.00164244,-0.00046186,0.00578509,-0.00328977
0.040,0.00000014,0.78539811,2.35619458,0.00001053,-0.00000365,0.00000647,0.00052567,-0.00018216,0.00032269,-0.00007105,0.78653654,2.35459040,0.00046744,-0.00588580,0.00342770,0.00072844,-21.86052828,0.00003507,-0.00195707,-0.00439268,0.00786543,-0.00122863,-21.86492097,0.00790051,-0.00961894,-21.88405194,0.00237274,0.00007119,-0.00113843,0.00160418,-0.00045691,0.00588215,-0.00342123
0.050,0.00000027,0.78539807,2.35619466,0.00001644,-0.00000570,0.00001009,0.00065609,-0.00022736,0.00040275,-0.00006640,0.78647370,2.35463072,0.00046694,-0.00598553,0.00357881,0.00090917,-21.86049874,0.00004398,0.00069968,0.00298729,0.00900486,0.00160884,-21.85751145,0.00904884,-0.00407498,-21.86924238,0.00470009,0.00006667,-0.00107563,0.00156394,-0.00045050,0.00597983,-0.00356872
0.060,0.00000047,0.78539800,2.35619478,0.00002365,-0.00000820,0.00001452,0.00078613,-0.00027242,0.00048257,-0.00006172,0.78640994,2.35467303,0.00046722,-0.00608306,0.00374183,0.00108937,-21.86046990,0.00005293,0.00332727,0.01027334,0.01010366,0.00441664,-21.85019656,0.01015660,-0.00122863,-21.86173314,0.00578505,0.00006219,-0.00101194,0.00152175,-0.00044357,0.00607486,-0.00372731
0.070,0.00000075,0.78539790,2.35619495,0.00003216,-0.00001115,0.00001974,0.00091577,-0.00031734,0.00056215,-0.00005701,0.78634530,2.35471730,0.00046804,-0.00617828,0.00391312,0.00126902,-21.86044172,0.00006200,0.00593469,0.01748538,0.01116872,0.00720370,-21.84295634,0.01123071,-0.00122863,-21.86168900,0.00568701,0.00005776,-0.00094740,0.00147765,-0.00043588,0.00616713,-0.00389338
0.080,0.00000112,0.78539777,2.35619518,0.00004197,-0.00001454,0.00002576,0.00104501,-0.00036213,0.00064149,-0.00005225,0.78627990,2.35476350,0.00047017,-0.00626873,0.00408978,0.00144811,-21.86041414,0.00007123,0.00850313,0.02458714,0.01219489,0.00995124,-21.83582700,0.01226612,0.00160884,-21.85424141,0.00673897,0.00005337,-0.00088213,0.00143168,-0.00042820,0.00625419,-0.00406402
0.090,0.00000160,0.78539761,2.35619547,0.00005306,-0.00001839,0.00003257,0.00117386,-0.00040678,0.00072059,-0.00004739,0.78621386,2.35481158,0.00047418,-0.00635258,0.00426952,0.00162666,-21.86038714,0.00008064,0.01101716,0.03154760,0.01317761,0.01264382,-21.82883954,0.01325826,0.00441664,-21.84689449,0.00775221,0.00004899,-0.00081625,0.00138389,-0.00042112,0.00633419,-0.00423695
