t,q_des_1,q_des_2,q_des_3,q_act_1,q_act_2,q_act_3,dv1,dv2,dv3,qd1,qd2,qd3,tau_total_1,tau_total_2,tau_total_3,tau_sensed1,tau_sensed2,tau_sensed3
0.220,0.00010418,0.78525227,2.35626080,-0.00017010,0.78669156,2.35918713,0.00140572,-0.00196400,0.00089273,-0.00208797,0.02641910,-0.01848595,0.05685075,-1.27394001,-0.26710706,0.00000000,-21.85151561,0.00943263
0.230,0.00011887,0.78523175,2.35627013,-0.00019073,0.78695377,2.35899750,0.00153347,-0.00214158,0.00097345,-0.00208180,0.02636978,-0.01860514,0.06014444,-1.33547963,-0.23577681,0.00000000,-21.85147593,0.00948136
0.240,0.00013486,0.78520942,2.35628028,-0.00021127,0.78721510,2.35880698,0.00166651,-0.00232640,0.00105745,-0.00207485,0.02631049,-0.01871706,0.06355404,-1.39717812,-0.20418849,0.00000000,-21.85143135,0.00952641
0.250,0.00015222,0.78518520,2.35629129,-0.00023171,0.78747544,2.35861562,0.00180481,-0.00251839,0.00114472,-0.00206712,0.02624130,-0.01882167,0.06708241,-1.45903155,-0.17234729,0.00000000,-21.85138189,0.00956775
0.260,0.00017098,0.78515903,2.35630319,-0.00025204,0.78773469,2.35842351,0.00194833,-0.00271750,0.00123523,-0.00205861,0.02616225,-0.01891895,0.07073031,-1.52103273,-0.14026014,0.00000000,-21.85132758,0.00960538
0.270,0.00019120,0.78513083,2.35631601,-0.00027226,0.78799276,2.35823073,0.00209704,-0.00292367,0.00132894,-0.00204933,0.02607340,-0.01900885,0.07450012,-1.58317820,-0.10793414,0.00000000,-21.85126844,0.00963928
0.280,0.00021294,0.78510053,2.35632978,-0.00029235,0.78824955,2.35803734,0.00225091,-0.00313686,0.00142584,-0.00203928,0.02597478,-0.01909135,0.07839422,-1.64546333,-0.07537608,0.00000000,-21.85120450,0.00966943
0.290,0.00023624,0.78506807,2.35634453,-0.00031231,0.78850496,2.35784342,0.00240991,-0.00335700,0.00152591,-0.00202846,0.02586646,-0.01916643,0.08241401,-1.70788062,-0.04259290,0.00000000,-21.85113578,0.00969583
0.300,0.00026115,0.78503337,2.35636031,-0.00033213,0.78875891,2.35764905,0.00257400,-0.00358404,0.00162911,-0.00201689,0.02574850,-0.01923406,0.08656127,-1.77042745,-0.00958874,0.00000000,-21.85106232,0.00971847
0.310,0.00028773,0.78499636,2.35637713,-0.00035181,0.78901129,2.35745431,0.00274316,-0.00381793,0.00173542,-0.00200457,0.02562094,-0.01929421,0.09083852,-1.83309940,0.02362644,-0.00000000,-21.85098415,0.00973733
0.320,0.00031603,0.78495699,2.35639503,-0.00037133,0.78926202,2.35725926,0.00291735,-0.00405860,0.00184482,-0.00199149,0.02548384,-0.01934687,0.09524755,-1.89588757,0.05704721,0.00000000,-21.85090131,0.00975242
0.330,0.00034610,0.78491517,2.35641403,-0.00039069,0.78951099,2.35706398,0.00309653,-0.00430602,0.00195728,-0.00197767,0.02533728,-0.01939202,0.09979017,-1.95879272,0.09066500,0.00000000,-21.85081382,0.00976373
0.340,0.00037798,0.78487084,2.35643418,-0.00040988,0.78975813,2.35686856,0.00328068,-0.00456012,0.00207278,-0.00196312,0.02518131,-0.01942964,0.10446792,-2.02180844,0.12447588,0.00000000,-21.85072172,0.00977126
0.350,0.00041173,0.78482394,2.35645550,-0.00042890,0.79000333,2.35667306,0.00346977,-0.00482085,0.00219130,-0.00194783,0.02501600,-0.01945973,0.10928325,-2.08492928,0.15847145,-0.00000000,-21.85062507,0.00977500
0.360,0.00044739,0.78477440,2.35647802,-0.00044774,0.79024650,2.35647756,0.00366376,-0.00508816,0.00231280,-0.00193182,0.02484143,-0.01948227,0.11423747,-2.14815208,0.19264458,0.00000000,-21.85052388,0.00977495
0.370,0.00048502,0.78472216,2.35650176,-0.00046639,0.79048757,2.35628214,0.00386262,-0.00536198,0.00243726,-0.00191508,0.02465767,-0.01949726,0.11933306,-2.21147124,0.22698691,0.00000000,-21.85041822,0.00977112
0.380,0.00052466,0.78466714,2.35652677,-0.00048484,0.79072643,2.35608687,0.00406632,-0.00564228,0.00256467,-0.00189764,0.02446480,-0.01950470,0.12457147,-2.27488685,0.26149470,0.00000000,-21.85030812,0.00976351
0.390,0.00056636,0.78460929,2.35655307,-0.00050309,0.79096300,2.35589182,0.00427483,-0.00592899,0.00269499,-0.00187948,0.02426290,-0.01950459,0.12995466,-2.33839190,0.29615944,0.00000000,-21.85019362,0.00975213
0.400,0.00061017,0.78454854,2.35658068,-0.00052114,0.79119720,2.35569709,0.00448811,-0.00622206,0.00282821,-0.00186063,0.02405205,-0.01949693,0.13548452,-2.40198436,0.33097296,0.00000000,-21.85007479,0.00973697
0.410,0.00065614,0.78448483,2.35660964,-0.00053896,0.79142893,2.35550272,0.00470614,-0.00652144,0.00296429,-0.00184109,0.02383235,-0.01948173,0.14116316,-2.46566053,0.36592985,0.00000000,-21.84995165,0.00971806
0.420,0.00070431,0.78441809,2.35663998,-0.00055656,0.79165811,2.35530882,0.00492888,-0.00682708,0.00310322,-0.00182086,0.02360389,-0.01945899,0.14699194,-2.52941900,0.40102351,-0.00000000,-21.84982428,0.00969539
0.430,0.00075473,0.78434827,2.35667172,-0.00057393,0.79188467,2.35511544,0.00515631,-0.00713892,0.00324496,-0.00179996,0.02336676,-0.01942874,0.15297301,-2.59325434,0.43624565,0.00000000,-21.84969271,0.00966899
0.440,0.00080745,0.78427529,2.35670489,-0.00059107,0.79210851,2.35492266,0.00538839,-0.00745691,0.00338950,-0.00177839,0.02312105,-0.01939098,0.15910827,-2.65716781,0.47158980,0.00000000,-21.84955700,0.00963885
0.450,0.00086252,0.78419911,2.35673951,-0.00060797,0.79232955,2.35473056,0.00562508,-0.00778099,0.00353682,-0.00175616,0.02286688,-0.01934573,0.16539962,-2.72115260,0.50704797,0.00000000,-21.84941721,0.00960500
0.460,0.00091997,0.78411965,2.35677563,-0.00062461,0.79254772,2.35453921,0.00586637,-0.00811112,0.00368687,-0.00173329,0.02260434,-0.01929303,0.17184836,-2.78521097,0.54261642,-0.00000000,-21.84927339,0.00956746
0.470,0.00097986,0.78403687,2.35681326,-0.00064100,0.79276293,2.35434869,0.00611221,-0.00844725,0.00383966,-0.00170977,0.02233355,-0.01923289,0.17845678,-2.84933716,0.57828611,-0.00000000,-21.84912561,0.00952623
0.480,0.00104223,0.78395069,2.35685243,-0.00065714,0.79297511,2.35415906,0.00636259,-0.00878931,0.00399514,-0.00168562,0.02205460,-0.01916533,0.18522670,-2.91353306,0.61405046,0.00000000,-21.84897391,0.00948134
0.490,0.00110712,0.78386106,2.35689317,-0.00067300,0.79318417,2.35397040,0.00661745,-0.00913726,0.00415330,-0.00166084,0.02176763,-0.01909040,0.19215933,-2.97779594,0.64990337,0.00000000,-21.84881838,0.00943281
0.500,0.00117459,0.78376792,2.35693551,-0.00068859,0.79339005,2.35378279,0.00687679,-0.00949105,0.00431411,-0.00163546,0.02147273,-0.01900813,0.19925760,-3.04212507,0.68583864,0.00000000,-21.84865905,0.00938065
0.510,0.00124467,0.78367122,2.35697946,-0.00070391,0.79359267,2.35359629,0.00714055,-0.00985063,0.00447756,-0.00160947,0.02117004,-0.01891855,0.20652224,-3.10651809,0.72184735,0.00000000,-21.84849601,0.00932490
0.520,0.00131742,0.78357089,2.35702507,-0.00071894,0.79379196,2.35341098,0.00740873,-0.01021593,0.00464360,-0.00158289,0.02085968,-0.01882170,0.21395623,-3.17097629,0.75792627,0.00000000,-21.84832932,0.00926558
0.530,0.00139286,0.78346688,2.35707234,-0.00073368,0.79398784,2.35322693,0.00768127,-0.01058692,0.00481223,-0.00155573,0.02054176,-0.01871763,0.22155982,-3.23549874,0.79406528,0.00000000,-21.84815903,0.00920271
0.540,0.00147106,0.78335914,2.35712132,-0.00074813,0.79418024,2.35304420,0.00795816,-0.01096353,0.00498342,-0.00152800,0.02021643,-0.01860638,0.22933636,-3.30008345,0.83026156,-0.00000000,-21.84798523,0.00913632
0.550,0.00155204,0.78324759,2.35717202,-0.00076228,0.79436910,2.35286287,0.00823936,-0.01134573,0.00515715,-0.00149971,0.01988380,-0.01848801,0.23728637,-3.36473623,0.86650649,0.00000000,-21.84780798,0.00906644
0.560,0.00163586,0.78313220,2.35722447,-0.00077612,0.79455435,2.35268301,0.00852484,-0.01173345,0.00533339,-0.00147087,0.01954401,-0.01836256,0.24541249,-3.42945183,0.90279448,0.00000000,-21.84762736,0.00899310
0.570,0.00172255,0.78301291,2.35727870,-0.00078966,0.79473592,2.35250468,0.00881458,-0.01212665,0.00551211,-0.00144149,0.01919721,-0.01823008,0.25371601,-3.49423245,0.93912004,0.00000000,-21.84744342,0.00891633
0.580,0.00181216,0.78288965,2.35733472,-0.00080288,0.79491374,2.35232796,0.00910853,-0.01252527,0.00569331,-0.00141159,0.01884352,-0.01809065,0.26219884,-3.55908198,0.97547510,0.00000000,-21.84725625,0.00883617
0.590,0.00190474,0.78276238,2.35739257,-0.00081578,0.79508776,2.35215291,0.00940668,-0.01292927,0.00587694,-0.00138117,0.01848309,-0.01794431,0.27086340,-3.62399937,1.01185572,0.00000000,-21.84706593,0.00875265
0.600,0.00200031,0.78263105,2.35745227,-0.00082835,0.79525791,2.35197959,0.00970899,-0.01333859,0.00606300,-0.00135026,0.01811606,-0.01779113,0.27971026,-3.68898528,1.04825558,0.00000000,-21.84687252,0.00866580
0.610,0.00209893,0.78249559,2.35751384,-0.00084060,0.79542413,2.35180808,0.01001543,-0.01375319,0.00625145,-0.00131885,0.01774258,-0.01763119,0.28874212,-3.75404543,1.08466811,0.00000000,-21.84667610,0.00857567
0.620,0.00220063,0.78235597,2.35757731,-0.00085251,0.79558637,2.35163843,0.01032597,-0.01417301,0.00644228,-0.00128697,0.01736280,-0.01746453,0.29796018,-3.81917726,1.12108866,0.00000000,-21.84647675,0.00848229
0.630,0.00230546,0.78221212,2.35764269,-0.00086409,0.79574456,2.35147072,0.01064058,-0.01459800,0.00663545,-0.00125462,0.01697687,-0.01729125,0.30736666,-3.88438695,1.15750942,0.00000000,-21.84627456,0.00838570
0.640,0.00241346,0.78206399,2.35771002,-0.00087532,0.79589865,2.35130500,0.01095923,-0.01502811,0.00683096,-0.00122182,0.01658493,-0.01711141,0.31696330,-3.94967706,1.19392761,0.00000000,-21.84606959,0.00828594
0.650,0.00252466,0.78191154,2.35777932,-0.00088621,0.79604859,2.35114134,0.01128190,-0.01546330,0.00702877,-0.00118858,0.01618716,-0.01692509,0.32675145,-4.01504891,1.23033724,0.00000000,-21.84586194,0.00818306
0.660,0.00263911,0.78175471,2.35785061,-0.00089675,0.79619432,2.35097979,0.01160854,-0.01590351,0.00722887,-0.00115492,0.01578369,-0.01673237,0.33673312,-4.08050752,1.26673271,0.00000000,-21.84565168,0.00807710
