t,q_des_1,q_des_2,q_des_3,q_act_1,q_act_2,q_act_3,dv1,dv2,dv3,qd1,qd2,qd3,tau_total_1,tau_total_2,tau_total_3,tau_sensed1,tau_sensed2,tau_sensed3
5.310,0.62419455,0.12115096,2.65812504,0.62261744,0.22791240,2.66724281,0.23174364,-0.18737195,0.08516907,0.23448027,-0.19057023,0.08888104,0.16691836,-32.35461849,-1.55829055,0.17087883,-32.22061885,-1.58951089
5.320,0.62651266,0.11927913,2.65897587,0.62496890,0.22601857,2.66812463,0.23187843,-0.18699276,0.08499671,0.23464664,-0.19027342,0.08870611,0.16492655,-32.37398274,-1.56475886,0.16890268,-32.24042132,-1.59590554
5.330,0.62883211,0.11741112,2.65982497,0.62732191,0.22412786,2.66900462,0.23201095,-0.18660989,0.08482268,0.23481029,-0.18997288,0.08852940,0.16292759,-32.39320330,-1.57121865,0.16691836,-32.26008287,-1.60229019
5.340,0.63115288,0.11554695,2.66067232,0.62967645,0.22224030,2.66988277,0.23214120,-0.18622333,0.08464697,0.23497124,-0.18966859,0.08835092,0.16092192,-32.41228281,-1.57767042,0.16492655,-32.27960487,-1.60866660
5.350,0.63347493,0.11368666,2.66151790,0.63203249,0.22035593,2.67075907,0.23226920,-0.18583312,0.08446960,0.23512946,-0.18936058,0.08817067,0.15890921,-32.43122170,-1.58411440,0.16292759,-32.29898503,-1.61503361
5.360,0.63579825,0.11183030,2.66236170,0.63439001,0.21847480,2.67163350,0.23239493,-0.18543926,0.08429057,0.23528496,-0.18904884,0.08798867,0.15689016,-32.45001692,-1.59054951,0.16092192,-32.31822600,-1.62139174
5.370,0.63812282,0.10997789,2.66320371,0.63674897,0.21659693,2.67250604,0.23251841,-0.18504176,0.08410989,0.23543772,-0.18873338,0.08780490,0.15486544,-32.46867179,-1.59697456,0.15890921,-32.33732819,-1.62774120
5.380,0.64044861,0.10812947,2.66404389,0.63910934,0.21472236,2.67337666,0.23263964,-0.18464064,0.08392756,0.23558774,-0.18841422,0.08761939,0.15283500,-32.48718598,-1.60339299,0.15689016,-32.35628856,-1.63408093
5.390,0.64277561,0.10628509,2.66488225,0.64147111,0.21285113,2.67424537,0.23275861,-0.18423591,0.08374359,0.23573502,-0.18809135,0.08743213,0.15079962,-32.50555674,-1.60980071,0.15486544,-32.37511042,-1.64040975
5.400,0.64510378,0.10444477,2.66571876,0.64383424,0.21098328,2.67511213,0.23287535,-0.18382758,0.08355799,0.23587955,-0.18776479,0.08724314,0.14875911,-32.52378733,-1.61619952,0.15283500,-32.39379343,-1.64673108
5.410,0.64743311,0.10260855,2.66655341,0.64619871,0.20911884,2.67597693,0.23298984,-0.18341567,0.08337076,0.23602133,-0.18743454,0.08705242,0.14671412,-32.54187736,-1.62258843,0.15079962,-32.41233484,-1.65304083
5.420,0.64976357,0.10077647,2.66738617,0.64856448,0.20725785,2.67683976,0.23310209,-0.18300019,0.08318190,0.23616035,-0.18710062,0.08685997,0.14466471,-32.55982605,-1.62896944,0.14875911,-32.43073791,-1.65934084
5.430,0.65209514,0.09894856,2.66821704,0.65093154,0.20540035,2.67770059,0.23321210,-0.18258115,0.08299143,0.23629662,-0.18676302,0.08666581,0.14261128,-32.57763458,-1.63533989,0.14671412,-32.44900225,-1.66563010
5.440,0.65442780,0.09712486,2.66904599,0.65329984,0.20354637,2.67855942,0.23331989,-0.18215857,0.08279935,0.23643012,-0.18642176,0.08646995,0.14055448,-32.59530252,-1.64170176,0.14466471,-32.46712706,-1.67191061
5.450,0.65676153,0.09530540,2.66987302,0.65566938,0.20169595,2.67941621,0.23342544,-0.18173246,0.08260567,0.23656086,-0.18607684,0.08627237,0.13849446,-32.61283101,-1.64805250,0.14261128,-32.48511354,-1.67817972
5.460,0.65909630,0.09349022,2.67069810,0.65804010,0.19984913,2.68027096,0.23352878,-0.18130284,0.08241038,0.23668884,-0.18572828,0.08607311,0.13643150,-32.63021959,-1.65439418,0.14055448,-32.50296123,-1.68443942
5.470,0.66143210,0.09167935,2.67152122,0.66041200,0.19800593,2.68112366,0.23362989,-0.18086972,0.08221351,0.23681406,-0.18537607,0.08587215,0.13436622,-32.64746936,-1.66072561,0.13849446,-32.52067129,-1.69068714
5.480,0.66376889,0.08987284,2.67234237,0.66278504,0.19616640,2.68197427,0.23372878,-0.18043312,0.08201505,0.23693650,-0.18502023,0.08566951,0.13229816,-32.66457778,-1.66704593,0.13643150,-32.53824323,-1.69692498
5.490,0.66610667,0.08807070,2.67316152,0.66515919,0.19433058,2.68282280,0.23382547,-0.17999304,0.08181502,0.23705619,-0.18466078,0.08546520,0.13022891,-32.68154957,-1.67335701,0.13436622,-32.55567816,-1.70315175
5.500,0.66844540,0.08627299,2.67397866,0.66753443,0.19249849,2.68366921,0.23391994,-0.17954951,0.08161341,0.23717310,-0.18429770,0.08525922,0.12815762,-32.69838049,-1.67965807,0.13229816,-32.57297354,-1.70936658
5.510,0.67078506,0.08447972,2.67479378,0.66991073,0.19067018,2.68451350,0.23401221,-0.17910254,0.08141025,0.23728725,-0.18393102,0.08505159,0.12608490,-32.71507559,-1.68594789,0.13022891,-32.59013407,-1.71557135
5.520,0.67312563,0.08269095,2.67560686,0.67228805,0.18884569,2.68535564,0.23410228,-0.17865214,0.08120552,0.23739864,-0.18356075,0.08484230,0.12401111,-32.73162991,-1.69222725,0.12815762,-32.60715553,-1.72176528
5.530,0.67546710,0.08090669,2.67641789,0.67466639,0.18702503,2.68619563,0.23419016,-0.17819833,0.08099924,0.23750726,-0.18318688,0.08463137,0.12193723,-32.74804878,-1.69849508,0.12608490,-32.62404295,-1.72794717
5.540,0.67780943,0.07912699,2.67722684,0.67704569,0.18520826,2.68703344,0.23427584,-0.17774112,0.08079142,0.23761312,-0.18280944,0.08441879,0.11986248,-32.76432919,-1.70475339,0.12401111,-32.64079136,-1.73411779
5.550,0.68015261,0.07735188,2.67803371,0.67942595,0.18339541,2.68786906,0.23435934,-0.17728054,0.08058206,0.23771623,-0.18242843,0.08420459,0.11778796,-32.78047276,-1.71099986,0.12193723,-32.65740609,-1.74027607
5.560,0.68249661,0.07558139,2.67883848,0.68180712,0.18158651,2.68870247,0.23444065,-0.17681658,0.08037117,0.23781657,-0.18204385,0.08398877,0.11571337,-32.79647975,-1.71723501,0.11986248,-32.67388412,-1.74642403
5.570,0.68484141,0.07381556,2.67964113,0.68418919,0.17978159,2.68953366,0.23451979,-0.17634928,0.08015876,0.23791417,-0.18165572,0.08377133,0.11363930,-32.81235010,-1.72345941,0.11778796,-32.69022709,-1.75255937
5.580,0.68718700,0.07205442,2.68044165,0.68657213,0.17798070,2.69036261,0.23459675,-0.17587864,0.07994484,0.23800901,-0.18126405,0.08355228,0.11156644,-32.82808434,-1.72967214,0.11571337,-32.70643522,-1.75868258
5.590,0.68953334,0.07029800,2.68124002,0.68895590,0.17618387,2.69118931,0.23467154,-0.17540469,0.07972940,0.23810111,-0.18086885,0.08333163,0.10949423,-32.84368404,-1.73587397,0.11363930,-32.72250848,-1.76479425
5.600,0.69188042,0.06854634,2.68203623,0.69134049,0.17439113,2.69201373,0.23474417,-0.17492743,0.07951247,0.23819047,-0.18047013,0.08310939,0.10742361,-32.85914767,-1.74206380,0.11156644,-32.73844737,-1.77089346
5.610,0.69422822,0.06679946,2.68283026,0.69372586,0.17260252,2.69283588,0.23481464,-0.17444689,0.07929404,0.23827709,-0.18006789,0.08288556,0.10535487,-32.87447876,-1.74824243,0.10949423,-32.75425345,-1.77698100
5.620,0.69657671,0.06505741,2.68362211,0.69611198,0.17081807,2.69365571,0.23488295,-0.17396308,0.07907413,0.23836098,-0.17966215,0.08266015,0.10328781,-32.88967408,-1.75440735,0.10742361,-32.76992521,-1.78305576
5.630,0.69892587,0.06332021,2.68441174,0.69849884,0.16903782,2.69447324,0.23494912,-0.17347601,0.07885273,0.23844214,-0.17925291,0.08243316,0.10122296,-32.90473637,-1.76056240,0.10535487,-32.78546616,-1.78911854
5.640,0.70127568,0.06158790,2.68519916,0.70088640,0.16726180,2.69528843,0.23501314,-0.17298571,0.07862987,0.23852058,-0.17884020,0.08220462,0.09916049,-32.91966503,-1.76670357,0.10328781,-32.80087306,-1.79516685
5.650,0.70362612,0.05986051,2.68598433,0.70327464,0.16549004,2.69610127,0.23507502,-0.17249219,0.07840554,0.23859631,-0.17842401,0.08197452,0.09710078,-32.93446077,-1.77283468,0.10122296,-32.81614865,-1.80120451
5.660,0.70597717,0.05813807,2.68676726,0.70566352,0.16372259,2.69691175,0.23513477,-0.17199546,0.07817975,0.23866933,-0.17800436,0.08174287,0.09504422,-32.94912423,-1.77895194,0.09916049,-32.83129232,-1.80722754
5.670,0.70832881,0.05642061,2.68754792,0.70805303,0.16195947,2.69771985,0.23519238,-0.17149555,0.07795252,0.23873965,-0.17758126,0.08150969,0.09299095,-32.96365677,-1.78505739,0.09710078,-32.84630478,-1.81323974
5.680,0.71068101,0.05470817,2.68832631,0.71044313,0.16020072,2.69852556,0.23524788,-0.17099247,0.07772385,0.23880727,-0.17715473,0.08127497,0.09094108,-32.97805700,-1.79114882,0.09504422,-32.86118667,-1.81923735
5.690,0.71303376,0.05300077,2.68910240,0.71283380,0.15844637,2.69932886,0.23530125,-0.17048623,0.07749374,0.23887221,-0.17672477,0.08103872,0.08889512,-32.99232749,-1.79722855,0.09299095,-32.87593933,-1.82522238
5.700,0.71538703,0.05129845,2.68987618,0.71522501,0.15669646,2.70012973,0.23535252,-0.16997686,0.07726221,0.23893447,-0.17629139,0.08080097,0.08685315,-33.00646745,-1.80329575,0.09094108,-32.89056137,-1.83119267
5.710,0.71774081,0.04960124,2.69064764,0.71761674,0.15495101,2.70092817,0.23540167,-0.16946438,0.07702926,0.23899405,-0.17585461,0.08056171,0.08481566,-33.02047773,-1.80934976,0.08889512,-32.90505535,-1.83715051
5.720,0.72009506,0.04790917,2.69141676,0.72000895,0.15321007,2.70172416,0.23544872,-0.16894879,0.07679490,0.23905098,-0.17541444,0.08032095,0.08278212,-33.03435847,-1.81539134,0.08685315,-32.91942048,-1.84309509
5.730,0.72244977,0.04622228,2.69218353,0.72240164,0.15147367,2.70251768,0.23549368,-0.16843012,0.07655915,0.23910525,-0.17497089,0.08007870,0.08075334,-33.04810881,-1.82141965,0.08481566,-32.93365761,-1.84902575
5.740,0.72480493,0.04454058,2.69294794,0.72479475,0.14974184,2.70330872,0.23553655,-0.16790839,0.07632199,0.23915687,-0.17452398,0.07983498,0.07873004,-33.06173351,-1.82743424,0.08278212,-32.94776685,-1.85494324
5.750,0.72716050,0.04286412,2.69370996,0.72718828,0.14801461,2.70409726,0.23557733,-0.16738361,0.07608346,0.23920586,-0.17407371,0.07958978,0.07671141,-33.07522899,-1.83343710,0.08075334,-32.96174735,-1.86084674
5.760,0.72951647,0.04119292,2.69446960,0.72958219,0.14629202,2.70488329,0.23561603,-0.16685580,0.07584354,0.23925222,-0.17362010,0.07934312,0.07469824,-33.08859793,-1.83942484,0.07873004,-32.97560387,-1.86673581
5.770,0.73187281,0.03952701,2.69522683,0.73197647,0.14457409,2.70566680,0.23565266,-0.16632498,0.07560226,0.23929597,-0.17316317,0.07909500,0.07269034,-33.10184103,-1.84539951,0.07671141,-32.98933281,-1.87261241
5.780,0.73422951,0.03786643,2.69598164,0.73437107,0.14286087,2.70644776,0.23568722,-0.16579117,0.07535962,0.23933711,-0.17270292,0.07884543,0.07068838,-33.11495691,-1.85136057,0.07469824,-33.00293685,-1.87847319
5.790,0.73658655,0.03621120,2.69673402,0.73676598,0.14115239,2.70722618,0.23571972,-0.16525439,0.07511563,0.23937566,-0.17223937,0.07859442,0.06869263,-33.12794815,-1.85730738,0.07269034,-33.01641668,-1.88432020
5.800,0.73894390,0.03456135,2.69748395,0.73916118,0.13944866,2.70800203,0.23575017,-0.16471465,0.07487030,0.23941162,-0.17177253,0.07834198,0.06670288,-33.14081498,-1.86324077,0.07068838,-33.02977090,-1.89015290
5.810,0.74130154,0.03291692,2.69823142,0.74155663,0.13774974,2.70877529,0.23577857,-0.16417198,0.07462363,0.23944500,-0.17130241,0.07808812,0.06471925,-33.15355628,-1.86916024,0.06869263,-33.04300211,-1.89597065
5.820,0.74365946,0.03127792,2.69897642,0.74395231,0.13605565,2.70954596,0.23580492,-0.16362639,0.07437563,0.23947583,-0.17082904,0.07783285,0.06274238,-33.16617617,-1.87506518,0.06670288,-33.05611052,-1.90177428
5.830,0.74601764,0.02964440,2.69971893,0.74634820,0.13436643,2.71031402,0.23582924,-0.16307790,0.07412632,0.23950410,-0.17035242,0.07757617,0.06077265,-33.17867113,-1.88095637,0.06471925,-33.06909499,-1.90756331
5.840,0.74837604,0.02801637,2.70045894,0.74874427,0.13268210,2.71107946,0.23585153,-0.16252654,0.07387570,0.23952983,-0.16987258,0.07731810,0.05880917,-33.19104591,-1.88683334,0.06274238,-33.08195965,-1.91333712
5.850,0.75073466,0.02639388,2.70119644,0.75114050,0.13100270,2.71184226,0.23587180,-0.16197231,0.07362378,0.23955303,-0.16938951,0.07705864,0.05685315,-33.20329621,-1.89269551,0.06077265,-33.09470097,-1.91909650
5.860,0.75309347,0.02477694,2.70193141,0.75353686,0.12932825,2.71260242,0.23589005,-0.16141525,0.07337057,0.23957372,-0.16890324,0.07679781,0.05490422,-33.21542705,-1.89854382,0.05880917,-33.10732369,-1.92484099
5.870,0.75545245,0.02316558,2.70266385,0.75593332,0.12765880,2.71335991,0.23590628,-0.16085536,0.07311607,0.23959190,-0.16841379,0.07653561,0.05296245,-33.22743808,-1.90437631,0.05685315,-33.11982350,-1.93057001
5.880,0.75781159,0.02155984,2.70339373,0.75832987,0.12599436,2.71411472,0.23592052,-0.16029268,0.07286031,0.23960760,-0.16792117,0.07627205,0.05102878,-33.23932825,-1.91019525,0.05490422,-33.13220541,-1.93628450
5.890,0.76017086,0.01995974,2.70412105,0.76072647,0.12433498,2.71486684,0.23593276,-0.15972721,0.07260328,0.23962081,-0.16742539,0.07600714,0.04910268,-33.25109908,-1.91599886,0.05296245,-33.14446905,-1.94198252
5.900,0.76253024,0.01836530,2.70484579,0.76312311,0.12268069,2.71561627,0.23594301,-0.15915899,0.07234499,0.23963155,-0.16692647,0.07574089,0.04718433,-33.26275347,-1.92178811,0.05102878,-33.15661340,-1.94766633
5.910,0.76488971,0.01677657,2.70556794,0.76551976,0.12103150,2.71636297,0.23595128,-0.15858802,0.07208546,0.23963985,-0.16642443,0.07547332,0.04527389,-33.27428689,-1.92756242,0.04910268,-33.16863993,-1.95333415
5.920,0.76724926,0.01519355,2.70628750,0.76791639,0.11938747,2.71710695,0.23595757,-0.15801433,0.07182470,0.23964570,-0.16591927,0.07520442,0.04337193,-33.28570578,-1.93331979,0.04718433,-33.18055156,-1.95898697
5.930,0.76960886,0.01361629,2.70700443,0.77031299,0.11774860,2.71784818,0.23596189,-0.15743794,0.07156270,0.23964913,-0.16541103,0.07493420,0.04147809,-33.29700625,-1.93906445,0.04527389,-33.19234374,-1.96462419
5.940,0.77196849,0.01204480,2.70771875,0.77270952,0.11611494,2.71858667,0.23596425,-0.15685888,0.07129949,0.23965014,-0.16489971,0.07466268,0.03959253,-33.30819265,-1.94479131,0.04337193,-33.20402290,-1.97024386
5.950,0.77432814,0.01047912,2.70843042,0.77510596,0.11448652,2.71932238,0.23596465,-0.15627715,0.07103507,0.23964875,-0.16438533,0.07438987,0.03771577,-33.31926230,-1.95050449,0.04147809,-33.21558515,-1.97585017
5.960,0.77668778,0.00891927,2.70913944,0.77750230,0.11286337,2.72005532,0.23596311,-0.15569279,0.07076945,0.23964498,-0.16386791,0.07411578,0.03584756,-33.33021782,-1.95620213,0.03959253,-33.22703482,-1.98143806
5.970,0.77904739,0.00736527,2.70984580,0.77989850,0.11124550,2.72078546,0.23595963,-0.15510581,0.07050264,0.23963884,-0.16334747,0.07384041,0.03398791,-33.34106080,-1.96188381,0.03771577,-33.23836923,-1.98701164
5.980,0.78140696,0.00581716,2.71054949,0.78229455,0.10963297,2.72151280,0.23595422,-0.15451624,0.07023465,0.23963033,-0.16282402,0.07356378,0.03213742,-33.35178947,-1.96754911,0.03584756,-33.24959099,-1.99256907
5.990,0.78376647,0.00427496,2.71125049,0.78469042,0.10802579,2.72223732,0.23594688,-0.15392409,0.06996549,0.23961949,-0.16229757,0.07328589,0.03029610,-33.36240530,-1.97319917,0.03398791,-33.26070168,-1.99810992
6.000,0.78612589,0.00273869,2.71194880,0.78708609,0.10642399,2.72295901,0.23593762,-0.15332938,0.06969517,0.23960631,-0.16176816,0.07300676,0.02846353,-33.37291007,-1.97883216,0.03213742,-33.27169952,-2.00363379
6.010,0.78848521,0.00120838,2.71264439,0.78948153,0.10482760,2.72367787,0.23592645,-0.15273215,0.06942370,0.23959083,-0.16123579,0.07272639,0.02664030,-33.38330423,-1.98445073,0.03029610,-33.28258596,-2.00914181
6.020,0.79084442,-0.00031595,2.71333727,0.79187673,0.10323665,2.72439387,0.23591338,-0.15213240,0.06915109,0.23957304,-0.16070048,0.07244479,0.02482700,-33.39358878,-1.99005160,0.02846353,-33.29336279,-2.01463217
6.030,0.79320348,-0.00183426,2.71402741,0.79427166,0.10165118,2.72510700,0.23589841,-0.15153016,0.06887735,0.23955296,-0.16016225,0.07216199,0.02302258,-33.40376172,-1.99563745,0.02664030,-33.30403045,-2.02010751
6.040,0.79556238,-0.00334654,2.71471481,0.79666629,0.10007120,2.72581726,0.23588156,-0.15092546,0.06860248,0.23953061,-0.15962113,0.07187798,0.02122772,-33.41382699,-2.00120662,0.02482700,-33.31458990,-2.02556458
6.050,0.79792110,-0.00485276,2.71539946,0.79906061,0.09849675,2.72652463,0.23586283,-0.15031832,0.06832651,0.23950601,-0.15907712,0.07159277,0.01944236,-33.42378418,-2.00675862,0.02302258,-33.32503917,-2.03100603
6.060,0.80027963,-0.00635290,2.71608134,0.80145460,0.09692785,2.72722911,0.23584223,-0.14970875,0.06804943,0.23947917,-0.15853025,0.07130638,0.01766704,-33.43363448,-2.01229489,0.02122772,-33.33538217,-2.03643023
6.070,0.80263794,-0.00784693,2.71676044,0.80384823,0.09536454,2.72793067,0.23581976,-0.14909678,0.06777126,0.23945010,-0.15798054,0.07101883,0.01590118,-33.44337769,-2.01781513,0.01944236,-33.34561848,-2.04183669
6.080,0.80499602,-0.00933483,2.71743676,0.80624148,0.09380684,2.72862931,0.23579544,-0.14848243,0.06749201,0.23941882,-0.15742800,0.07073011,0.01414544,-33.45301525,-2.02331761,0.01766704,-33.35574929,-2.04722686
6.090,0.80735384,-0.01081657,2.71811028,0.80863433,0.09225477,2.72932501,0.23576928,-0.14786573,0.06721169,0.23938534,-0.15687266,0.07044023,0.01239933,-33.46254691,-2.02880359,0.01590118,-33.36577438,-2.05260044
6.100,0.80971140,-0.01229213,2.71878099,0.81102676,0.09070837,2.73001777,0.23574127,-0.14724669,0.06693031,0.23934968,-0.15631453,0.07014922,0.01066362,-33.47197365,-2.03427290,0.01414544,-33.37569518,-2.05795570
6.110,0.81206866,-0.01376150,2.71944888,0.81341874,0.08916766,2.73070758,0.23571143,-0.14662534,0.06664788,0.23931186,-0.15575363,0.06985707,0.00893745,-33.48129914,-2.03972538,0.01239933,-33.38551144,-2.06329391
6.120,0.81442562,-0.01522463,2.72011394,0.81581026,0.08763267,2.73139442,0.23567977,-0.14600171,0.06636441,0.23927189,-0.15518999,0.06956380,0.00722180,-33.49051898,-2.04516084,0.01066362,-33.39522412,-2.06861490
6.130,0.81678225,-0.01668152,2.72077617,0.81820129,0.08610342,2.73207828,0.23564630,-0.14537581,0.06607991,0.23922978,-0.15462362,0.06926942,0.00551617,-33.49963802,-2.05057765,0.00893745,-33.40483688,-2.07391852
6.140,0.81913854,-0.01813214,2.72143554,0.82059182,0.08457995,2.73275916,0.23561103,-0.14474767,0.06579440,0.23918556,-0.15405455,0.06897394,0.00382104,-33.50865580,-2.05597856,0.00722180,-33.41434532,-2.07920459
6.150,0.82149447,-0.01957647,2.72209205,0.82298183,0.08306227,2.73343703,0.23557395,-0.14411731,0.06550787,0.23913923,-0.15348279,0.06867738,0.00213613,-33.51757340,-2.06136223,0.00551617,-33.42375427,-2.08447149
6.160,0.82385001,-0.02101448,2.72274569,0.82537128,0.08155042,2.73411190,0.23553509,-0.14348476,0.06522035,0.23909081,-0.15290836,0.06837973,0.00046116,-33.52639023,-2.06672835,0.00382104,-33.43306325,-2.08972196
6.170,0.82620516,-0.02244616,2.72339645,0.82776017,0.08004442,2.73478375,0.23549445,-0.14285004,0.06493184,0.23904032,-0.15233130,0.06808102,-0.00120305,-33.53510931,-2.07207693,0.00213613,-33.44227335,-2.09495467
6.180,0.82855990,-0.02387148,2.72404433,0.83014847,0.07854430,2.73545257,0.23545204,-0.14221317,0.06464235,0.23898777,-0.15175160,0.06778125,-0.00285654,-33.54372962,-2.07740642,0.00046116,-33.45138396,-2.10016932
6.190,0.83091420,-0.02529041,2.72468930,0.83253616,0.07705007,2.73611835,0.23540786,-0.14157418,0.06435190,0.23893318,-0.15116931,0.06748044,-0.00450000,-33.55225042,-2.08271967,-0.00120305,-33.46039810,-2.10536593
6.200,0.83326805,-0.02670295,2.72533136,0.83492323,0.07556178,2.73678108,0.23536194,-0.14093309,0.06406049,0.23887656,-0.15058444,0.06717859,-0.00613275,-33.56067653,-2.08801532,-0.00285654,-33.46931472,-2.11054295
6.210,0.83562143,-0.02810907,2.72597050,0.83730965,0.07407943,2.73744075,0.23531427,-0.14028992,0.06376815,0.23881794,-0.14999700,0.06687572,-0.00775511,-33.56900684,-2.09329317,-0.00450000,-33.47813306,-2.11570323
6.220,0.83797433,-0.02950874,2.72660672,0.83969541,0.07260306,2.73809736,0.23526486,-0.13964471,0.06347487,0.23875732,-0.14940703,0.06657185,-0.00936667,-33.57724079,-2.09855188,-0.00613275,-33.48685797,-2.12084543
6.230,0.84032672,-0.03090196,2.72724000,0.84208048,0.07113269,2.73875088,0.23521374,-0.13899746,0.06318066,0.23869472,-0.14881454,0.06626697,-0.01096777,-33.58538242,-2.10379300,-0.00775511,-33.49548829,-2.12596933
6.240,0.84267860,-0.03228869,2.72787033,0.84446484,0.06966834,2.73940131,0.23516089,-0.13834822,0.06288555,0.23863015,-0.14821956,0.06596110,-0.01255787,-33.59342943,-2.10901640,-0.00936667,-33.50402348,-2.13107363
6.250,0.84502993,-0.03366891,2.72849771,0.84684848,0.06821004,2.74004865,0.23510634,-0.13769699,0.06258954,0.23856364,-0.14762211,0.06565425,-0.01413785,-33.60138173,-2.11422077,-0.01096777,-33.51246754,-2.13615986
6.260,0.84738072,-0.03504262,2.72912212,0.84923138,0.06675782,2.74069288,0.23505009,-0.13704382,0.06229265,0.23849520,-0.14702221,0.06534645,-0.01570644,-33.60924493,-2.11940759,-0.01255787,-33.52081818,-2.14122791
6.270,0.84973093,-0.03640978,2.72974356,0.85161352,0.06531169,2.74133399,0.23499215,-0.13638872,0.06199487,0.23842484,-0.14641989,0.06503769,-0.01726476,-33.61701523,-2.12457569,-0.01413785,-33.52907527,-2.14627647
6.280,0.85208055,-0.03777039,2.73036201,0.85399488,0.06387168,2.74197198,0.23493253,-0.13573171,0.06169623,0.23835258,-0.14581516,0.06472799,-0.01881244,-33.62469707,-2.12972650,-0.01570644,-33.53724445,-2.15130703
6.290,0.85442957,-0.03912441,2.73097748,0.85637544,0.06243781,2.74260684,0.23487124,-0.13507283,0.06139674,0.23827844,-0.14520805,0.06441736,-0.02034912,-33.63228757,-2.13485716,-0.01726476,-33.54532187,-2.15631843
6.300,0.85677797,-0.04047184,2.73158995,0.85875518,0.06101011,2.74323855,0.23480829,-0.13441210,0.06109641,0.23820242,-0.14459858,0.06410581,-0.02187495,-33.63979110,-2.13996929,-0.01881244,-33.55331198,-2.16131208
6.310,0.85912573,-0.04181265,2.73219940,0.86113409,0.05958860,2.74386711,0.23474370,-0.13374953,0.06079524,0.23812455,-0.14398678,0.06379335,-0.02338995,-33.64720560,-2.14506473,-0.02034912,-33.56121188,-2.16628515
6.320,0.86147284,-0.04314682,2.73280585,0.86351215,0.05817329,2.74449251,0.23467746,-0.13308517,0.06049326,0.23804485,-0.14337267,0.06348001,-0.02489403,-33.65453237,-2.15013899,-0.02187495,-33.56902593,-2.17123928
6.330,0.86381928,-0.04447434,2.73340927,0.86588933,0.05676422,2.74511474,0.23460959,-0.13241903,0.06019047,0.23796332,-0.14275627,0.06316578,-0.02638723,-33.66177328,-2.15519532,-0.02338995,-33.57675207,-2.17617627
6.340,0.86616503,-0.04579520,2.73400965,0.86826563,0.05536140,2.74573379,0.23454010,-0.13175115,0.05988689,0.23787998,-0.14213761,0.06285068,-0.02786974,-33.66893117,-2.16023393,-0.02489403,-33.58439156,-2.18109168
6.350,0.86851007,-0.04710936,2.73460700,0.87064103,0.05396486,2.74634966,0.23446900,-0.13108154,0.05958252,0.23779485,-0.14151671,0.06253472,-0.02934173,-33.67600180,-2.16525216,-0.02638723,-33.59194627,-2.18598875
6.360,0.87085440,-0.04841682,2.73520130,0.87301550,0.05257462,2.74696234,0.23439630,-0.13041023,0.05927738,0.23770795,-0.14089359,0.06221792,-0.03080240,-33.68298954,-2.17025166,-0.02786974,-33.59941905,-2.19086769
6.370,0.87319800,-0.04971756,2.73579255,0.87538903,0.05119070,2.74757181,0.23432201,-0.12973725,0.05897148,0.23761928,-0.14026829,0.06190028,-0.03225194,-33.68989473,-2.17523124,-0.02934173,-33.60680561,-2.19572585
6.380,0.87554084,-0.05101156,2.73638073,0.87776161,0.04981311,2.74817808,0.23424614,-0.12906263,0.05866483,0.23752887,-0.13964081,0.06158182,-0.03369106,-33.69671765,-2.18019272,-0.03080240,-33.61411034,-2.20056489
6.390,0.87788291,-0.05229881,2.73696584,0.88013321,0.04844189,2.74878112,0.23416870,-0.12838639,0.05835745,0.23743673,-0.13901120,0.06126256,-0.03511946,-33.70346015,-2.18513487,-0.03225194,-33.62133355,-2.20538362
6.400,0.88022421,-0.05357928,2.73754788,0.88250383,0.04707705,2.74938095,0.23408970,-0.12770855,0.05804934,0.23734287,-0.13837947,0.06094250,-0.03653637,-33.71012006,-2.19005665,-0.03369106,-33.62847551,-2.21018388
6.410,0.88256470,-0.05485297,2.73812683,0.88487343,0.04571861,2.74997754,0.23400915,-0.12702916,0.05774053,0.23724732,-0.13774565,0.06062166,-0.03794302,-33.71670217,-2.19495971,-0.03511946,-33.63553806,-2.21496444
6.420,0.88490438,-0.05611986,2.73870268,0.88724202,0.04436659,2.75057089,0.23392706,-0.12634822,0.05743101,0.23715008,-0.13710976,0.06030005,-0.03933862,-33.72320550,-2.19984469,-0.03653637,-33.64251901,-2.21972426
6.430,0.88724324,-0.05737993,2.73927544,0.88960956,0.04302101,2.75116100,0.23384345,-0.12566577,0.05712081,0.23705117,-0.13647183,0.05997768,-0.04072282,-33.72963040,-2.20470881,-0.03794302,-33.64942315,-2.22446500
6.440,0.88958125,-0.05863317,2.73984510,0.89197605,0.04168188,2.75174785,0.23375831,-0.12498184,0.05680993,0.23695061,-0.13583189,0.05965457,-0.04209658,-33.73597881,-2.20955253,-0.03933862,-33.65624947,-2.22918730
6.450,0.89191840,-0.05987957,2.74041164,0.89434147,0.04034924,2.75233144,0.23367167,-0.12429646,0.05649839,0.23684841,-0.13518996,0.05933072,-0.04345943,-33.74225262,-2.21437773,-0.04072282,-33.66299832,-2.23388839
6.460,0.89425468,-0.06111910,2.74097506,0.89670580,0.03902310,2.75291176,0.23358353,-0.12360964,0.05618620,0.23674458,-0.13454606,0.05900615,-0.04481125,-33.74844894,-2.21918343,-0.04209658,-33.66967162,-2.23856876
