t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_model_1,tau_model_2,tau_model_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.000,0.00000000,0.78539816,2.35619449,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00030382,0.78944974,2.35268514,0.00043130,-0.00492496,0.00124886,0.00000000,-21.86064918,-0.00000002,-0.11201667,-0.31910947,-0.04226161,-0.11201667,-22.17975864,-0.04226163,0.00000000,-21.83560658,-0.00083851,0.00030382,-0.00405158,0.00350935,-0.00043130,0.00492496,-0.00124886
0.010,-0.00000002,0.78539816,2.35619448,-0.00000451,-0.00000130,-0.00000166,-0.00090071,-0.00025994,-0.00033248,-0.00029893,0.78939311,2.35270321,0.00044572,-0.00510947,0.00138846,-0.00154383,-21.86164438,-0.00021417,-0.10889825,-0.31007462,-0.04062202,-0.11044207,-22.17171901,-0.04083619,-0.00000000,-21.83553353,-0.00090363,0.00029891,-0.00399495,0.00349127,-0.00045023,0.00510817,-0.00139012
0.020,-0.00000012,0.78539813,2.35619445,-0.00001800,-0.00000519,-0.00000664,-0.00179691,-0.00051857,-0.00066329,-0.00029538,0.78933045,2.35272411,0.00042306,-0.00539862,0.00156376,-0.00307992,-21.86263563,-0.00042758,-0.10479667,-0.29895002,-0.03859911,-0.10787660,-22.16158565,-0.03902670,-0.11201667,-22.17662562,-0.04330648,0.00029526,-0.00393232,0.00347034,-0.00044106,0.00539343,-0.00157040
0.030,-0.00000040,0.78539805,2.35619434,-0.00004043,-0.00001167,-0.00001492,-0.00268861,-0.00077591,-0.00099244,-0.00029316,0.78926189,2.35274783,0.00037294,-0.00576295,0.00176570,-0.00460831,-21.86362396,-0.00064080,-0.09992914,-0.28616864,-0.03627604,-0.10453745,-22.14979260,-0.03691685,-0.11044207,-22.16829104,-0.04202194,0.00029276,-0.00386384,0.00344651,-0.00041337,0.00575128,-0.00178062
0.040,-0.00000096,0.78539789,2.35619414,-0.00007176,-0.00002071,-0.00002649,-0.00357582,-0.00103195,-0.00131993,-0.00029223,0.78918759,2.35277436,0.00030290,-0.00617969,0.00198758,-0.00612900,-21.86461033,-0.00085409,-0.09446993,-0.27207661,-0.03371946,-0.10059893,-22.13668694,-0.03457356,-0.10787660,-22.15787068,-0.04035330,0.00029127,-0.00378970,0.00341978,-0.00037466,0.00615898,-0.00201407
0.050,-0.00000187,0.78539762,2.35619380,-0.00011193,-0.00003230,-0.00004132,-0.00445855,-0.00128670,-0.00164577,-0.00029256,0.78910774,2.35280371,0.00021888,-0.00663122,0.00222448,-0.00764201,-21.86559600,-0.00106801,-0.08856001,-0.25695634,-0.03098442,-0.09620202,-22.12255234,-0.03205242,-0.10453745,-22.14579969,-0.03838444,0.00029069,-0.00371012,0.00339009,-0.00033081,0.00659892,-0.00226580
0.060,-0.00000323,0.78539723,2.35619330,-0.00016091,-0.00004644,-0.00005940,-0.00533680,-0.00154015,-0.00196996,-0.00029411,0.78902252,2.35283589,0.00012553,-0.00710386,0.00247278,-0.00914735,-21.86658139,-0.00128274,-0.08231459,-0.24103512,-0.02811532,-0.09146194,-22.10761651,-0.02939805,-0.10059893,-22.13242606,-0.03618238,0.00029088,-0.00362529,0.00335741,-0.00028644,0.00705742,-0.00253218
0.070,-0.00000512,0.78539669,2.35619260,-0.00021865,-0.00006310,-0.00008071,-0.00621058,-0.00179231,-0.00229249,-0.00029681,0.78893216,2.35287089,0.00002649,-0.00758697,0.00272975,-0.01064503,-21.86756768,-0.00149876,-0.07582926,-0.22450376,-0.02514986,-0.08647429,-22.09207145,-0.02664862,-0.09620202,-22.11803417,-0.03380277,0.00029169,-0.00353547,0.00332171,-0.00024514,0.00752387,-0.00281046
0.080,-0.00000763,0.78539596,2.35619167,-0.00028511,-0.00008228,-0.00010524,-0.00707989,-0.00204319,-0.00261338,-0.00030062,0.78883687,2.35290874,-0.00007538,-0.00807232,0.00299338,-0.01213507,-21.86855631,-0.00171655,-0.06918497,-0.20752361,-0.02212008,-0.08132004,-22.07607991,-0.02383663,-0.09146194,-22.10285233,-0.03129019,0.00029299,-0.00344091,0.00328293,-0.00020973,0.00799004,-0.00309862
0.090,-0.00001085,0.78539503,2.35619049,-0.00036024,-0.00010396,-0.00013297,-0.00794475,-0.00229278,-0.00293263,-0.00030547,0.78873690,2.35294942,-0.00017787,-0.00855346,0.00326212,-0.01361749,-21.86954769,-0.00193631,-0.06244825,-0.19022613,-0.01905212,-0.07606574,-22.05977382,-0.02098842,-0.08647429,-22.08707301,-0.02868279,0.00029462,-0.00334187,0.00324107,-0.00018237,0.00844950,-0.00339509
0.100,-0.00001486,0.78539387,2.35618900,-0.00044399,-0.00012813,-0.00016389,-0.00880517,-0.00254109,-0.00325023,-0.00031131,0.78863249,2.35299295,-0.00027927,-0.00902539,0.00353477,-0.01509232,-21.87054315,-0.00215864,-0.05567753,-0.17272908,-0.01596980,-0.07076985,-22.04327223,-0.01812844,-0.08132004,-22.07085932,-0.02601298,0.00029645,-0.00323862,0.00319605,-0.00016472,0.00889726,-0.00369866
0.110,-0.00001976,0.78539246,2.35618720,-0.00053632,-0.00015478,-0.00019797,-0.00966114,-0.00278811,-0.00356619,-0.00031806,0.78852388,2.35303932,-0.00037827,-0.00948421,0.00381035,-0.01655954,-21.87154327,-0.00238368,-0.04892249,-0.15513003,-0.01289251,-0.06548202,-22.02667330,-0.01527619,-0.07606574,-22.05434348,-0.02330697,0.00029830,-0.00313142,0.00314788,-0.00015805,0.00932943,-0.00400832
0.120,-0.00002562,0.78539077,2.35618503,-0.00063720,-0.00018389,-0.00023521,-0.01051269,-0.00303386,-0.00388052,-0.00032567,0.78841134,2.35308853,-0.00047386,-0.00992690,0.00408807,-0.01801920,-21.87254940,-0.00261204,-0.04222717,-0.13751905,-0.00983864,-0.06024637,-22.01006844,-0.01245068,-0.07076985,-22.03764476,-0.02058905,0.00030005,-0.00302057,0.00309650,-0.00016334,0.00974301,-0.00432328
0.130,-0.00003253,0.78538878,2.35618248,-0.00074656,-0.00021545,-0.00027558,-0.01135980,-0.00327833,-0.00419322,-0.00033407,0.78829510,2.35314058,-0.00056531,-0.01035109,0.00436724,-0.01947129,-21.87356217,-0.00284392,-0.03562954,-0.11997200,-0.00682332,-0.05510083,-21.99353417,-0.00966724,-0.06548202,-22.02086146,-0.01787857,0.00030154,-0.00290632,0.00304190,-0.00018125,0.01013564,-0.00464282
0.140,-0.00004058,0.78538645,2.35617951,-0.00086438,-0.00024945,-0.00031907,-0.01220250,-0.00352153,-0.00450428,-0.00034319,0.78817543,2.35319545,-0.00065210,-0.01075499,0.00464724,-0.02091586,-21.87458310,-0.00307986,-0.02916556,-0.10256170,-0.00386131,-0.05008141,-21.97714479,-0.00694118,-0.06024637,-22.00408509,-0.01519430,0.00030261,-0.00278898,0.00298406,-0.00021228,0.01050554,-0.00496631
0.150,-0.00004984,0.78538378,2.35617609,-0.00099060,-0.00028588,-0.00036566,-0.01304080,-0.00376345,-0.00481372,-0.00035298,0.78805259,2.35325313,-0.00073385,-0.01113723,0.00492749,-0.02235291,-21.87561236,-0.00332006,-0.02286406,-0.08534715,-0.00096444,-0.04521697,-21.96095951,-0.00428451,-0.05510083,-21.98739221,-0.01255137,0.00030314,-0.00266881,0.00292296,-0.00025675,0.01085135,-0.00529315
0.160,-0.00006042,0.78538073,2.35617219,-0.00112518,-0.00032472,-0.00041533,-0.01387469,-0.00400410,-0.00512153,-0.00036338,0.78792684,2.35331361,-0.00081036,-0.01149676,0.00520744,-0.02378245,-21.87665137,-0.00356500,-0.01675508,-0.06838821,0.00185530,-0.04053753,-21.94503958,-0.00170970,-0.05008141,-21.97085711,-0.00996481,0.00030296,-0.00254611,0.00285858,-0.00031482,0.01117204,-0.00562277
0.170,-0.00007238,0.78537728,2.35616777,-0.00126808,-0.00036596,-0.00046808,-0.01470418,-0.00424349,-0.00542772,-0.00037433,0.78779843,2.35337684,-0.00088151,-0.01183285,0.00548653,-0.02520451,-21.87770101,-0.00381507,-0.01086307,-0.05173687,0.00458749,-0.03606758,-21.92943788,0.00077242,-0.04521697,-21.95453896,-0.00744641,0.00030195,-0.00242115,0.00279093,-0.00038657,0.01146689,-0.00595461
0.180,-0.00008581,0.78537340,2.35616282,-0.00141925,-0.00040958,-0.00052388,-0.01552929,-0.00448161,-0.00573229,-0.00038578,0.78766761,2.35344282,-0.00094729,-0.01214497,0.00576421,-0.02661911,-21.87876225,-0.00407056,-0.00521131,-0.03544063,0.00722291,-0.03183041,-21.91420288,0.00315235,-0.04053753,-21.93849891,-0.00500833,0.00029997,-0.00229421,0.00272000,-0.00047196,0.01173539,-0.00628809
