t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_model_1,tau_model_2,tau_model_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.110,0.00000180,0.78539765,2.35619369,0.00004904,-0.00001408,-0.00002180,0.00088760,-0.00025477,-0.00039449,-0.00051421,0.78998581,2.35274054,-0.00152291,-0.00520117,-0.00187756,0.00115376,-21.86067445,-0.00002599,-0.11341618,-0.37233386,-0.05149308,-0.11226242,-22.23300831,-0.05151907,-0.13270384,-22.27397892,-0.05999849,0.00051601,-0.00458816,0.00345315,0.00157195,0.00518709,0.00185576
0.120,0.00000234,0.78539749,2.35619345,0.00005832,-0.00001674,-0.00002592,0.00096707,-0.00027759,-0.00042981,-0.00053594,0.78990343,2.35273092,-0.00168534,-0.00596052,-0.00164868,0.00125706,-21.86068129,-0.00003022,-0.10285704,-0.34891034,-0.04676585,-0.10159999,-22.20959164,-0.04679607,-0.12265341,-22.25165307,-0.05565317,0.00053828,-0.00450594,0.00346253,0.00174366,0.00594378,0.00162276
0.130,0.00000297,0.78539731,2.35619317,0.00006838,-0.00001963,-0.00003039,0.00104634,-0.00030034,-0.00046504,-0.00055892,0.78981414,2.35272403,-0.00183868,-0.00670259,-0.00140864,0.00136010,-21.86068899,-0.00003485,-0.09208719,-0.32495649,-0.04195663,-0.09072709,-22.18564548,-0.04199148,-0.11226242,-22.22854389,-0.05117481,0.00056189,-0.00441683,0.00346914,0.00190706,0.00668296,0.00137825
0.140,0.00000371,0.78539710,2.35619284,0.00007924,-0.00002275,-0.00003522,0.00112541,-0.00032303,-0.00050018,-0.00058303,0.78971826,2.35272000,-0.00198161,-0.00742381,-0.00115730,0.00146289,-21.86069791,-0.00004001,-0.08116174,-0.30058839,-0.03709031,-0.07969885,-22.16128631,-0.03713032,-0.10159999,-22.20479791,-0.04659442,0.00058674,-0.00432116,0.00347284,0.00206085,0.00740106,0.00112208
0.150,0.00000456,0.78539685,2.35619246,0.00009089,-0.00002609,-0.00004040,0.00120427,-0.00034567,-0.00053523,-0.00060810,0.78961613,2.35271893,-0.00211305,-0.00812124,-0.00089459,0.00156539,-21.86070840,-0.00004578,-0.07013163,-0.27591191,-0.03218954,-0.06856624,-22.13662031,-0.03223532,-0.09072709,-22.18053871,-0.04193825,0.00061266,-0.00421928,0.00347353,0.00220394,0.00809515,0.00085419
0.160,0.00000553,0.78539658,2.35619203,0.00010333,-0.00002966,-0.00004592,0.00128293,-0.00036825,-0.00057019,-0.00063400,0.78950807,2.35272095,-0.00223217,-0.00879251,-0.00062050,0.00166764,-21.86071981,-0.00005201,-0.05904170,-0.25102058,-0.02727435,-0.05737406,-22.11174039,-0.02732636,-0.07969885,-22.15588315,-0.03723120,0.00063953,-0.00411149,0.00347108,0.00233550,0.00876285,0.00057458
0.170,0.00000663,0.78539626,2.35619154,0.00011655,-0.00003345,-0.00005180,0.00136139,-0.00039077,-0.00060506,-0.00066056,0.78939441,2.35272616,-0.00233830,-0.00943568,-0.00033512,0.00176963,-21.86073312,-0.00005898,-0.04793642,-0.22600927,-0.02236507,-0.04616678,-22.08674239,-0.02242405,-0.06856624,-22.13093772,-0.03249584,0.00066719,-0.00399815,0.00346538,0.00245485,0.00940223,0.00028332
0.180,0.00000786,0.78539591,2.35619100,0.00013056,-0.00003747,-0.00005802,0.00143965,-0.00041323,-0.00063985,-0.00068765,0.78927552,2.35273467,-0.00243093,-0.01004916,-0.00003857,0.00187137,-21.86074767,-0.00006648,-0.03685449,-0.20095868,-0.01747888,-0.03498313,-22.06170635,-0.01754536,-0.05737406,-22.10579559,-0.02775189,0.00069551,-0.00387961,0.00345633,0.00256149,0.01001169,-0.00001945
0.190,0.00000924,0.78539551,2.35619038,0.00014534,-0.00004172,-0.00006460,0.00151771,-0.00043564,-0.00067454,-0.00071511,0.78915173,2.35274658,-0.00250968,-0.01063168,0.00026890,0.00197284,-21.86076427,-0.00007486,-0.02583458,-0.17595287,-0.01263386,-0.02386174,-22.03671714,-0.01270872,-0.04616678,-22.08055278,-0.02301971,0.00072435,-0.00375622,0.00344380,0.00265502,0.01058996,-0.00033350
0.200,0.00001077,0.78539507,2.35618970,0.00016091,-0.00004619,-0.00007152,0.00159557,-0.00045799,-0.00070914,-0.00074279,0.78902339,2.35276200,-0.00257428,-0.01118220,0.00058701,0.00207405,-21.86078247,-0.00008390,-0.01491081,-0.15106382,-0.00784516,-0.01283677,-22.01184629,-0.00792906,-0.03498313,-22.05528947,-0.01831604,0.00075356,-0.00362832,0.00342770,0.00273519,0.01113601,-0.00065853
0.210,0.00001246,0.78539459,2.35618895,0.00017725,-0.00005088,-0.00007878,0.00167322,-0.00048028,-0.00074365,-0.00077054,0.78889086,2.35278100,-0.00262454,-0.01169991,0.00091540,0.00217499,-21.86080234,-0.00009368,-0.00411644,-0.12636307,-0.00312795,-0.00194145,-21.98716540,-0.00322164,-0.02386174,-22.03009061,-0.01365901,0.00078300,-0.00349627,0.00340795,0.00280179,0.01164903,-0.00099418
0.220,0.00001432,0.78539405,2.35618813,0.00019437,-0.00005579,-0.00008639,0.00175068,-0.00050251,-0.00077808,-0.00079822,0.78875449,2.35280369,-0.00266037,-0.01218420,0.00125364,0.00227568,-21.86082447,-0.00010433,0.00651643,-0.10192081,0.00150300,0.00879212,-21.96274528,0.00139867,-0.01283677,-22.00502777,-0.00906324,0.00081254,-0.00336044,0.00338444,0.00285474,0.01212841,-0.00134003
0.230,0.00001635,0.78539347,2.35618722,0.00021227,-0.00006093,-0.00009434,0.00182793,-0.00052468,-0.00081241,-0.00082568,0.78861463,2.35283013,-0.00268175,-0.01263458,0.00160124,0.00237611,-21.86084841,-0.00011586,0.01695872,-0.07779923,0.00603456,0.01933483,-21.93864764,0.00591870,-0.00194145,-21.98017253,-0.00454364,0.00084203,-0.00322116,0.00335709,0.00289402,0.01257365,-0.00169558
0.240,0.00001857,0.78539283,2.35618624,0.00023093,-0.00006629,-0.00010264,0.00190498,-0.00054680,-0.00084666,-0.00085278,0.78847164,2.35286040,-0.00268873,-0.01305076,0.00195763,0.00247627,-21.86087464,-0.00012825,0.02718256,-0.05406018,0.01045401,0.02965883,-21.91493482,0.01032575,0.00879212,-21.95559563,-0.00011474,0.00087135,-0.00307881,0.00332584,0.00291966,0.01298447,-0.00206027
0.250,0.00002097,0.78539214,2.35618517,0.00025036,-0.00007186,-0.00011127,0.00198184,-0.00056886,-0.00088082,-0.00087937,0.78832586,2.35289456,-0.00268140,-0.01343254,0.00232222,0.00257619,-21.86090296,-0.00014159,0.03716138,-0.03076049,0.01474950,0.03973757,-21.89166345,0.01460791,0.01933483,-21.93135870,0.00421071,0.00090034,-0.00293372,0.00329061,0.00293176,0.01336068,-0.00243349
0.260,0.00002358,0.78539140,2.35618401,0.00027057,-0.00007766,-0.00012025,0.00205849,-0.00059086,-0.00091488,-0.00090533,0.78817764,2.35293266,-0.00265992,-0.01377986,0.00269434,0.00267583,-21.86093339,-0.00015586,0.04687168,-0.00795400,0.01891002,0.04954751,-21.86888738,0.01875416,0.02965883,-21.90752391,0.00842040,0.00092891,-0.00278624,0.00325135,0.00293049,0.01370220,-0.00281459
0.270,0.00002639,0.78539059,2.35618276,0.00029153,-0.00008368,-0.00012957,0.00213494,-0.00061281,-0.00094886,-0.00093051,0.78802732,2.35297476,-0.00262451,-0.01409277,0.00307328,0.00277521,-21.86096654,-0.00017121,0.05628857,0.01430551,0.02292465,0.05906379,-21.84666103,0.02275344,0.03973757,-21.88414770,0.01250286,0.00095690,-0.00263673,0.00320800,0.00291604,0.01400909,-0.00320285
0.280,0.00002941,0.78538972,2.35618142,0.00031326,-0.00008992,-0.00013923,0.00221119,-0.00063469,-0.00098275,-0.00095479,0.78787525,2.35302090,-0.00257540,-0.01437141,0.00345828,0.00287435,-21.86100208,-0.00018756,0.06539158,0.03597213,0.02678422,0.06826593,-21.82502994,0.02659666,0.04954751,-21.86128372,0.01644751,0.00098420,-0.00248553,0.00316052,0.00288866,0.01428149,-0.00359751
0.290,0.00003266,0.78538879,2.35617998,0.00033576,-0.00009637,-0.00014923,0.00228724,-0.00065652,-0.00101655,-0.00097805,0.78772175,2.35307109,-0.00251290,-0.01461602,0.00384854,0.00297322,-21.86104010,-0.00020498,0.07416139,0.05700136,0.03047984,0.07713461,-21.80403873,0.03027486,0.05906379,-21.83898610,0.02024378,0.00101071,-0.00233296,0.00310889,0.00284866,0.01451965,-0.00399777
0.300,0.00003613,0.78538779,2.35617843,0.00035901,-0.00010305,-0.00015956,0.00236310,-0.00067830,-0.00105027,-0.00100015,0.78756716,2.35312536,-0.00243733,-0.01482694,0.00424323,0.00307184,-21.86108097,-0.00022362,0.08257806,0.07734942,0.03400290,0.08564989,-21.78373155,0.03377928,0.06826593,-21.81730010,0.02388303,0.00103628,-0.00217937,0.00305307,0.00279634,0.01472389,-0.00440279
0.310,0.00003984,0.78538673,2.35617678,0.00038302,-0.00010994,-0.00017023,0.00243875,-0.00070001,-0.00108389,-0.00102099,0.78741178,2.35318372,-0.00234906,-0.01500457,0.00464146,0.00317019,-21.86112430,-0.00024332,0.09062648,0.09698099,0.03734671,0.09379667,-21.76414331,0.03710339,0.07713461,-21.79627000,0.02735679,0.00106083,-0.00202505,0.00299306,0.00273208,0.01489463,-0.00481169
0.320,0.00004379,0.78538559,2.35617503,0.00040778,-0.00011705,-0.00018124,0.00251420,-0.00072167,-0.00111742,-0.00104046,0.78725594,2.35324617,-0.00224848,-0.01514941,0.00504232,0.00326829,-21.86117071,-0.00026423,0.09829002,0.11585806,0.04050409,0.10155831,-21.74531265,0.04023986,0.08564989,-21.77593959,0.03065682,0.00108425,-0.00187035,0.00292886,0.00265626,0.01503236,-0.00522356
0.330,0.00004800,0.78538439,2.35617316,0.00043330,-0.00012437,-0.00019258,0.00258946,-0.00074327,-0.00115087,-0.00105845,0.78709994,2.35331270,-0.00213603,-0.01526201,0.00544490,0.00336614,-21.86121973,-0.00028635,0.10555657,0.13395133,0.04346960,0.10892270,-21.72726840,0.04318325,0.09379667,-21.75634340,0.03377708,0.00110645,-0.00171555,0.00286046,0.00256933,0.01513764,-0.00563748
0.340,0.00005246,0.78538311,2.35617117,0.00045957,-0.00013191,-0.00020425,0.00266452,-0.00076481,-0.00118423,-0.00107485,0.78694408,2.35338328,-0.00201215,-0.01534301,0.00584822,0.00346373,-21.86127195,-0.00030982,0.11241211,0.15122900,0.04623750,0.11587584,-21.71004296,0.04592768,0.10155831,-21.73751965,0.03671077,0.00112731,-0.00156097,0.00278789,0.00247172,0.01521110,-0.00605247
0.350,0.00005719,0.78538175,2.35616907,0.00048659,-0.00013967,-0.00021626,0.00273937,-0.00078630,-0.00121750,-0.00108958,0.78678865,2.35345789,-0.00187734,-0.01539309,0.00625131,0.00356105,-21.86132733,-0.00033456,0.11884697,0.16766665,0.04880372,0.12240802,-21.69366068,0.04846917,0.10892270,-21.71949672,0.03945296,0.00114677,-0.00140690,0.00271118,0.00236393,0.01525342,-0.00646757
