t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.000,0.00000000,0.78539816,2.35619449,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00094198,0.77352419,2.36419451,0.00003751,-0.00190635,0.00737480,-0.04759639,-19.41616438,-1.27535096,-0.04759639,-19.41616438,-1.27535096,0.00000000,-21.83797008,-0.00341109,-0.00094198,0.01187397,-0.00800002,-0.00003751,0.00190635,-0.00737480
0.010,0.00000000,0.78539816,2.35619449,0.00000066,-0.00000023,0.00000041,0.00013201,-0.00004575,0.00008104,0.00094110,0.77352074,2.36425966,0.00000599,-0.00151597,0.00715974,-0.04719969,-19.42618141,-1.28457301,-0.04719969,-19.42618141,-1.28457301,0.00000000,-21.83819262,-0.00325728,-0.00094110,0.01187742,-0.00806517,-0.00000533,0.00151574,-0.00715933
0.020,0.00000002,0.78539816,2.35619450,0.00000264,-0.00000091,0.00000162,0.00026362,-0.00009136,0.00016183,0.00093698,0.77358572,2.36412016,-0.00009849,0.00048757,0.00188251,-0.04574900,-19.50637663,-1.21244036,-0.04574900,-19.50637663,-1.21244036,-0.04759639,-19.41941346,-1.26837637,-0.00093696,0.01181244,-0.00792566,0.00010113,-0.00048848,-0.00188089
0.030,0.00000006,0.78539814,2.35619453,0.00000593,-0.00000206,0.00000364,0.00039484,-0.00013683,0.00024238,0.00092965,0.77371887,2.36377649,-0.00025713,0.00369439,-0.00717989,-0.04347058,-19.64237416,-1.07174931,-0.04347058,-19.64237416,-1.07174931,-0.04719969,-19.43283884,-1.26738945,-0.00092959,0.01167927,-0.00758196,0.00026306,-0.00369645,0.00718353
0.040,0.00000014,0.78539811,2.35619458,0.00001053,-0.00000365,0.00000647,0.00052567,-0.00018216,0.00032269,0.00091918,0.77391719,2.36324044,-0.00045447,0.00772869,-0.01878619,-0.04055297,-19.82043373,-0.87664403,-0.04055297,-19.82043373,-0.87664403,-0.04574900,-19.51629243,-1.18563781,-0.00091904,0.01148092,-0.00704586,0.00046500,-0.00773234,0.01879266
0.050,0.00000027,0.78539807,2.35619466,0.00001644,-0.00000570,0.00001009,0.00065609,-0.00022736,0.00040275,0.00090570,0.77417543,2.36253324,-0.00067781,0.01225254,-0.03176958,-0.03715381,-20.02769532,-0.64194200,-0.03715381,-20.02769532,-0.64194200,-0.04347058,-19.65528620,-1.03638943,-0.00090543,0.01122264,-0.00633858,0.00069425,-0.01225824,0.03177967
0.060,0.00000047,0.78539800,2.35619478,0.00002365,-0.00000820,0.00001452,0.00078613,-0.00027242,0.00048257,0.00088936,0.77448662,2.36168352,-0.00091684,0.01696915,-0.04507039,-0.03340341,-20.25239283,-0.38250213,-0.03340341,-20.25239283,-0.38250213,-0.04055297,-19.83599322,-0.83415762,-0.00088889,0.01091138,-0.00548874,0.00094049,-0.01697735,0.04508491
0.070,0.00000075,0.78539790,2.35619495,0.00003216,-0.00001115,0.00001974,0.00091577,-0.00031734,0.00056215,0.00087034,0.77484255,2.36072515,-0.00116327,0.02162521,-0.05776198,-0.02940939,-20.48403045,-0.11265161,-0.02940939,-20.48403045,-0.11265161,-0.03715381,-20.04549201,-0.59402364,-0.00086959,0.01055535,-0.00453020,0.00119543,-0.02163636,0.05778172
0.080,0.00000112,0.78539777,2.35619518,0.00004197,-0.00001454,0.00002576,0.00104501,-0.00036213,0.00064149,0.00084882,0.77523428,2.35969523,-0.00141050,0.02601217,-0.06906949,-0.02525965,-20.71352843,0.15431421,-0.02525965,-20.71352843,0.15431421,-0.03340341,-20.27197935,-0.33100611,-0.00084770,0.01016349,-0.00350005,0.00145247,-0.02602671,0.06909525
0.090,0.00000160,0.78539761,2.35619547,0.00005306,-0.00001839,0.00003257,0.00117386,-0.00040678,0.00072059,0.00082500,0.77565257,2.35863205,-0.00165340,0.02996642,-0.07838151,-0.02102504,-20.93332064,0.40654294,-0.02102504,-20.93332064,0.40654294,-0.02940939,-20.50494504,-0.05949282,-0.00082340,0.00974504,-0.00243658,0.00170646,-0.02998481,0.07841408
0.100,0.00000219,0.78539741,2.35619583,0.00006544,-0.00002268,0.00004017,0.00130232,-0.00045130,0.00079945,0.00079908,0.77608831,2.35757331,-0.00188800,0.03336829,-0.08525465,-0.01676284,-21.13740118,0.63394783,-0.01676284,-21.13740118,0.63394783,-0.02525965,-20.73531538,0.20725124,-0.00079689,0.00930910,-0.00137748,0.00195344,-0.03339097,0.08529482
0.110,0.00000291,0.78539716,2.35619628,0.00007911,-0.00002741,0.00004856,0.00143039,-0.00049568,0.00087806,0.00077126,0.77653286,2.35655448,-0.00211136,0.03613993,-0.08941168,-0.01251747,-21.32132230,0.82842987,-0.01251747,-21.32132230,0.82842987,-0.02102504,-20.95554807,0.45748432,-0.00076835,0.00886430,-0.00035820,0.00219047,-0.03616734,0.08946024
0.120,0.00000377,0.78539686,2.35619681,0.00009405,-0.00003259,0.00005773,0.00155806,-0.00053992,0.00095643,0.00074175,0.77697835,2.35560749,-0.00232132,0.03824224,-0.09073372,-0.00832411,-21.48214264,0.98399699,-0.00832411,-21.48214264,0.98399699,-0.01676284,-21.15967577,0.68129776,-0.00073798,0.00841851,0.00058932,0.00241537,-0.03827483,0.09079145
0.130,0.00000479,0.78539650,2.35619743,0.00011027,-0.00003821,0.00006769,0.00168534,-0.00058403,0.00103457,0.00071073,0.77741792,2.35475960,-0.00251643,0.03967090,-0.08924740,-0.00420887,-21.61833798,1.09680449,-0.00420887,-21.61833798,1.09680449,-0.01251747,-21.34330074,0.87082410,-0.00070594,0.00797858,0.00143783,0.00262670,-0.03970911,0.08931509
0.140,0.00000598,0.78539609,2.35619816,0.00012776,-0.00004427,0.00007843,0.00181223,-0.00062800,0.00111246,0.00067840,0.77784587,2.35403271,-0.00269574,0.04045175,-0.08510784,-0.00019188,-21.72966688,1.16510042,-0.00019188,-21.72966688,1.16510042,-0.00832411,-21.50353978,1.02034157,-0.00067242,0.00755022,0.00216545,0.00282350,-0.04049602,0.08518627
0.150,0.00000735,0.78539562,2.35619900,0.00014651,-0.00005077,0.00008994,0.00193873,-0.00067184,0.00119011,0.00064492,0.77825774,2.35344280,-0.00285872,0.04063563,-0.07857850,0.00371203,-21.81701881,1.18909274,0.00371203,-21.81701881,1.18909274,-0.00420887,-21.63893162,1.12629972,-0.00063757,0.00713788,0.00275620,0.00300523,-0.04068640,0.07866844
0.160,0.00000892,0.78539507,2.35619996,0.00016653,-0.00005771,0.00010223,0.00206484,-0.00071554,0.00126753,0.00061048,0.77865039,2.35299980,-0.00300517,0.04029304,-0.07000889,0.00749288,-21.88223000,1.17076151,0.00749288,-21.88223000,1.17076151,-0.00019188,-21.74929953,1.18725046,-0.00060156,0.00674468,0.00320016,0.00317170,-0.04035075,0.07011112
0.170,0.00001069,0.78539446,2.35620105,0.00018781,-0.00006508,0.00011529,0.00219056,-0.00075910,0.00134470,0.00057523,0.77902194,2.35270762,-0.00313508,0.03950861,-0.05981131,0.01114250,-21.92787675,1.11361394,0.01114250,-21.92787675,1.11361394,0.00371203,-21.83559647,1.20370201,-0.00056454,0.00637252,0.00349343,0.00332289,-0.03957369,0.05992660
0.180,0.00001268,0.78539377,2.35620227,0.00021034,-0.00007289,0.00012912,0.00231589,-0.00080254,0.00142163,0.00053933,0.77937171,2.35256447,-0.00324864,0.03837572,-0.04843731,0.01465589,-21.95708977,1.02240347,0.01465589,-21.95708977,1.02240347,0.00749288,-21.89971852,1.17791916,-0.00052665,0.00602206,0.00363780,0.00345898,-0.03844861,0.04856643
0.190,0.00001490,0.78539300,2.35620364,0.00023412,-0.00008113,0.00014372,0.00244083,-0.00084583,0.00149833,0.00050295,0.77970010,2.35256338,-0.00334610,0.03699142,-0.03635514,0.01802905,-21.97333982,0.90283196,0.01802905,-21.97333982,0.90283196,0.01114250,-21.94429602,1.11366826,-0.00048805,0.00569290,0.00364026,0.00358022,-0.03707255,0.03649886
0.200,0.00001736,0.78539215,2.35620515,0.00025916,-0.00008981,0.00015909,0.00256538,-0.00088899,0.00157479,0.00046622,0.78000843,2.35269289,-0.00342776,0.03545179,-0.02402867,0.02125884,-21.98025081,0.76123139,0.02125884,-21.98025081,0.76123139,0.01465589,-21.97250623,1.01592809,-0.00044886,0.00538372,0.00351226,0.00368692,-0.03554160,0.02418776
