t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_delan_1,tau_delan_2,tau_delan_3,tau_dnn_1,tau_dnn_2,tau_dnn_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3,gru_active
0.000,0.00000000,0.78539816,2.35619449,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00054490,0.77888078,2.35926285,0.00072519,-0.00994621,0.00996934,-0.00165734,-21.86057281,-0.00157482,-0.00165734,-21.86057281,-0.00157482,-0.00962443,0.21267852,-0.06481512,-0.01128177,-21.64789429,-0.06638994,-0.00000000,-21.83361240,-0.00496129,-0.00054490,0.00651738,-0.00306836,-0.00072519,0.00994621,-0.00996934,0
0.010,-0.00000002,0.78539816,2.35619448,-0.00000451,-0.00000130,-0.00000166,-0.00090071,-0.00025994,-0.00033248,0.00054490,0.77888078,2.35926285,0.00072519,-0.00994621,0.00996934,-0.00731826,-21.86348534,-0.00233377,-0.00731826,-21.86348534,-0.00233377,-0.00963429,0.21268506,-0.06482247,-0.01695256,-21.65080028,-0.06715624,-0.00000000,-21.83361240,-0.00496129,-0.00054492,0.00651738,-0.00306837,-0.00072970,0.00994491,-0.00997100,0
0.020,-0.00000012,0.78539813,2.35619445,-0.00001800,-0.00000519,-0.00000664,-0.00179691,-0.00051857,-0.00066329,0.00057019,0.77852643,2.35964686,0.00065643,-0.00913996,0.00968510,-0.01295089,-21.86638451,-0.00308995,-0.01295089,-21.86638451,-0.00308995,-0.00990514,0.21750617,-0.06912025,-0.02285602,-21.64887834,-0.07221020,0.00000000,-21.83413262,-0.00469991,-0.00057031,0.00687170,-0.00345241,-0.00067443,0.00913477,-0.00969174,0
0.030,-0.00000040,0.78539805,2.35619434,-0.00004043,-0.00001167,-0.00001492,-0.00268861,-0.00077591,-0.00099244,0.00057560,0.77844884,2.35972773,0.00062756,-0.00879464,0.00928556,-0.01855511,-21.86926842,-0.00384238,-0.01855511,-21.86926842,-0.00384238,-0.00997816,0.21769875,-0.06919837,-0.02853327,-21.65156966,-0.07304074,-0.01128177,-21.64401494,-0.07043341,-0.00057600,0.00694921,-0.00353339,-0.00066799,0.00878297,-0.00930048,0
0.040,-0.00000096,0.78539789,2.35619414,-0.00007176,-0.00002071,-0.00002649,-0.00357582,-0.00103195,-0.00131993,0.00058033,0.77837830,2.35979548,0.00058889,-0.00835951,0.00865808,-0.02413139,-21.87214661,-0.00459040,-0.02413139,-21.87214661,-0.00459040,-0.01004339,0.21725144,-0.06854563,-0.03417478,-21.65489517,-0.07313603,-0.01695256,-21.64727323,-0.07054406,-0.00058129,0.00701959,-0.00360134,-0.00066065,0.00833880,-0.00868457,0
0.050,-0.00000187,0.78539762,2.35619380,-0.00011193,-0.00003230,-0.00004132,-0.00445855,-0.00128670,-0.00164577,0.00058427,0.77831495,2.35984954,0.00054039,-0.00785342,0.00784488,-0.02967921,-21.87501144,-0.00533991,-0.02967921,-21.87501144,-0.00533991,-0.01010022,0.21625424,-0.06726046,-0.03977943,-21.65875721,-0.07260037,-0.02285602,-21.64571077,-0.07491284,-0.00058614,0.00708267,-0.00365574,-0.00065232,0.00782112,-0.00788620,0
0.060,-0.00000323,0.78539723,2.35619330,-0.00016091,-0.00004644,-0.00005940,-0.00533680,-0.00154015,-0.00196996,0.00058735,0.77825877,2.35988991,0.00048224,-0.00729453,0.00689295,-0.03519905,-21.87786293,-0.00608632,-0.03519905,-21.87786293,-0.00608632,-0.01014902,0.21479810,-0.06546085,-0.04534807,-21.66306483,-0.07154717,-0.02853327,-21.64876073,-0.07505931,-0.00059058,0.00713846,-0.00369661,-0.00064315,0.00724809,-0.00695235,0
0.070,-0.00000512,0.78539669,2.35619260,-0.00021865,-0.00006310,-0.00008071,-0.00621058,-0.00179231,-0.00229249,0.00058947,0.77820972,2.35991673,0.00041456,-0.00669715,0.00584025,-0.04069112,-21.88071442,-0.00683069,-0.04069112,-21.88071442,-0.00683069,-0.01018981,0.21295502,-0.06324388,-0.05088093,-21.66775940,-0.07007457,-0.03417478,-21.65244267,-0.07447710,-0.00059459,0.00718697,-0.00372413,-0.00063321,0.00663405,-0.00592096,0
0.080,-0.00000763,0.78539596,2.35619167,-0.00028511,-0.00008228,-0.00010524,-0.00707989,-0.00204319,-0.00261338,0.00059053,0.77816773,2.35993023,0.00033749,-0.00607259,0.00471760,-0.04615433,-21.88355064,-0.00757457,-0.04615433,-21.88355064,-0.00757457,-0.01022279,0.21078224,-0.06068987,-0.05637712,-21.67276840,-0.06826443,-0.03977943,-21.65665775,-0.07327520,-0.00059816,0.00722823,-0.00373856,-0.00062260,0.00599031,-0.00482284,0
0.090,-0.00001085,0.78539503,2.35619049,-0.00036024,-0.00010396,-0.00013297,-0.00794475,-0.00229278,-0.00293263,0.00059045,0.77813272,2.35993070,0.00025116,-0.00542983,0.00355005,-0.05158999,-21.88638496,-0.00831614,-0.05158999,-21.88638496,-0.00831614,-0.01024811,0.20832670,-0.05786555,-0.06183810,-21.67805826,-0.06618170,-0.04534807,-21.66131406,-0.07157087,-0.00060130,0.00726231,-0.00374021,-0.00061140,0.00532587,-0.00368302,0
0.100,-0.00001486,0.78539387,2.35618900,-0.00044399,-0.00012813,-0.00016389,-0.00880517,-0.00254109,-0.00325023,0.00058914,0.77810457,2.35991852,0.00015567,-0.00477602,0.00235797,-0.05699776,-21.88921165,-0.00905903,-0.05699776,-21.88921165,-0.00905903,-0.01026578,0.20562607,-0.05482739,-0.06726355,-21.68358559,-0.06388642,-0.05088093,-21.66635209,-0.06946544,-0.00060400,0.00728930,-0.00372952,-0.00059966,0.00464789,-0.00252186,0
0.110,-0.00001976,0.78539246,2.35618720,-0.00053632,-0.00015478,-0.00019797,-0.00966114,-0.00278811,-0.00356619,0.00058652,0.77808318,2.35989410,0.00005115,-0.00411689,0.00115794,-0.06237777,-21.89203262,-0.00980363,-0.06237777,-21.89203262,-0.00980363,-0.01027615,0.20271140,-0.05162216,-0.07265392,-21.68932122,-0.06142579,-0.05637712,-21.67169865,-0.06704337,-0.00060628,0.00730928,-0.00370690,-0.00058747,0.00396211,-0.00135591,0
0.120,-0.00002562,0.78539077,2.35618503,-0.00063720,-0.00018389,-0.00023521,-0.01051269,-0.00303386,-0.00388052,0.00058249,0.77806840,2.35985790,-0.00006230,-0.00345702,-0.00003653,-0.06772992,-21.89485359,-0.01054639,-0.06772992,-21.89485359,-0.01054639,-0.01027911,0.19960823,-0.04829035,-0.07800903,-21.69524536,-0.05883674,-0.06183810,-21.67731956,-0.06437171,-0.00060811,0.00732237,-0.00367287,-0.00057490,0.00327313,-0.00019868,0
0.130,-0.00003253,0.78538878,2.35618248,-0.00074656,-0.00021545,-0.00027558,-0.01135980,-0.00327833,-0.00419322,0.00057698,0.77806011,2.35981041,-0.00018459,-0.00280010,-0.00121449,-0.07305410,-21.89766884,-0.01128950,-0.07305410,-21.89766884,-0.01128950,-0.01027480,0.19633805,-0.04486587,-0.08332889,-21.70133079,-0.05615537,-0.06726355,-21.68317093,-0.06151224,-0.00060951,0.00732867,-0.00362793,-0.00056197,0.00258465,0.00093891,0
0.140,-0.00004058,0.78538645,2.35617951,-0.00086438,-0.00024945,-0.00031907,-0.01220250,-0.00352153,-0.00450428,0.00056989,0.77805815,2.35975217,-0.00031561,-0.00214910,-0.00236703,-0.07835049,-21.90048790,-0.01203499,-0.07835049,-21.90048790,-0.01203499,-0.01026344,0.19291852,-0.04137823,-0.08861393,-21.70756938,-0.05341322,-0.07265392,-21.68922316,-0.05851347,-0.00061047,0.00732830,-0.00357266,-0.00054877,0.00189965,0.00204796,0
0.150,-0.00004984,0.78538378,2.35617609,-0.00099060,-0.00028588,-0.00036566,-0.01304080,-0.00376345,-0.00481372,0.00056115,0.77806236,2.35968370,-0.00045529,-0.00150646,-0.00348692,-0.08361955,-21.90329933,-0.01278310,-0.08361955,-21.90329933,-0.01278310,-0.01024490,0.18936570,-0.03785289,-0.09386445,-21.71393363,-0.05063599,-0.07800903,-21.69545609,-0.05541344,-0.00061099,0.00732142,-0.00350761,-0.00053531,0.00122058,0.00312126,0
0.160,-0.00006042,0.78538073,2.35617219,-0.00112518,-0.00032472,-0.00041533,-0.01387469,-0.00400410,-0.00512153,0.00055067,0.77807259,2.35960557,-0.00060351,-0.00087415,-0.00456833,-0.08886086,-21.90611839,-0.01353472,-0.08886086,-21.90611839,-0.01353472,-0.01021969,0.18569259,-0.03431203,-0.09908056,-21.72042580,-0.04784674,-0.08332889,-21.70184219,-0.05224908,-0.00061109,0.00730814,-0.00343338,-0.00052167,0.00054943,0.00415300,0
0.170,-0.00007238,0.78537728,2.35616777,-0.00126808,-0.00036596,-0.00046808,-0.01470418,-0.00424349,-0.00542772,0.00053836,0.77808866,2.35951836,-0.00076020,-0.00025377,-0.00560661,-0.09407430,-21.90893173,-0.01428578,-0.09407430,-21.90893173,-0.01428578,-0.01018758,0.18191099,-0.03077524,-0.10426188,-21.72702075,-0.04506102,-0.08861393,-21.70837306,-0.04905251,-0.00061074,0.00728862,-0.00335059,-0.00050788,-0.00011219,0.00513853,0
0.180,-0.00008581,0.78537340,2.35616282,-0.00141925,-0.00040958,-0.00052388,-0.01552929,-0.00448161,-0.00573229,0.00052416,0.77811041,2.35942264,-0.00092527,0.00035336,-0.00659804,-0.09926052,-21.91174889,-0.01503922,-0.09926052,-21.91174889,-0.01503922,-0.01014877,0.17803111,-0.02725935,-0.10940929,-21.73371778,-0.04229858,-0.09386445,-21.71502099,-0.04584982,-0.00060997,0.00726299,-0.00325982,-0.00049398,-0.00076294,0.00607416,0
0.190,-0.00010079,0.78536908,2.35615729,-0.00157865,-0.00045558,-0.00058272,-0.01635002,-0.00471846,-0.00603524,0.00050797,0.77813766,2.35931899,-0.00109864,0.00094614,-0.00753975,-0.10441946,-21.91456604,-0.01579903,-0.10441946,-21.91456604,-0.01579903,-0.01010334,0.17406252,-0.02377981,-0.11452281,-21.74050352,-0.03957884,-0.09908056,-21.72178805,-0.04266431,-0.00060876,0.00723142,-0.00316170,-0.00048001,-0.00140172,0.00695703,0
0.200,-0.00011741,0.78536428,2.35615115,-0.00174623,-0.00050395,-0.00064458,-0.01716638,-0.00495406,-0.00633658,0.00048972,0.77817022,2.35920800,-0.00128021,0.00152370,-0.00842951,-0.10955079,-21.91739273,-0.01656019,-0.10955079,-21.91739273,-0.01656019,-0.01005153,0.17001317,-0.02035010,-0.11960232,-21.74737956,-0.03691029,-0.10426188,-21.72864893,-0.03951163,-0.00060713,0.00719406,-0.00305685,-0.00046602,-0.00202765,0.00778493,0
0.210,-0.00013574,0.78535899,2.35614438,-0.00192196,-0.00055466,-0.00070945,-0.01797837,-0.00518839,-0.00663631,0.00046933,0.77820792,2.35909026,-0.00146991,0.00208530,-0.00926568,-0.11465476,-21.92022705,-0.01732372,-0.11465476,-21.92022705,-0.01732372,-0.00999330,0.16589115,-0.01698216,-0.12464805,-21.75433590,-0.03430589,-0.10940929,-21.73560283,-0.03641148,-0.00060507,0.00715107,-0.00294588,-0.00045205,-0.00263996,0.00855623,0
0.220,-0.00015587,0.78535318,2.35613695,-0.00210579,-0.00060771,-0.00077730,-0.01878601,-0.00542146,-0.00693443,0.00044672,0.77825058,2.35896634,-0.00166765,0.00263035,-0.01004712,-0.11973185,-21.92305756,-0.01809419,-0.11973185,-21.92305756,-0.01809419,-0.00992890,0.16170326,-0.01368671,-0.12966075,-21.76135430,-0.03178090,-0.11452281,-21.74263626,-0.03338311,-0.00060259,0.00710260,-0.00282939,-0.00043814,-0.00323806,0.00926982,0
