t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.000,0.00000000,0.78539816,2.35619449,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00004944,0.78508214,2.36065909,-0.00247840,0.03099942,-0.01991631,0.03221531,-22.88234543,-0.47141951,0.03221531,-22.88234543,-0.47141951,0.00000000,-21.85438887,0.01050286,0.00004944,0.00031602,-0.00446460,0.00247840,-0.03099942,0.01991631
0.010,0.00000001,0.78539815,2.35619450,0.00000351,-0.00000290,0.00000236,0.00070122,-0.00058032,0.00047151,-0.00007497,0.78540236,2.36044760,-0.00249695,0.03125511,-0.02022435,0.03383077,-22.95550139,-0.43739478,0.03383077,-22.95550139,-0.43739478,0.00000000,-21.85437611,0.01057423,0.00007498,-0.00000421,-0.00425310,0.00250046,-0.03125801,0.02022671
0.020,0.00000009,0.78539809,2.35619455,0.00001401,-0.00001160,0.00000942,0.00139894,-0.00115774,0.00094066,-0.00009851,0.78571435,2.36019772,-0.00246121,0.03124113,-0.02141522,0.03478349,-23.01786377,-0.38867989,0.03478349,-23.01786377,-0.38867989,0.03221531,-22.89794503,-0.45892559,0.00009860,-0.00031626,-0.00400317,0.00247522,-0.03125273,0.02142464
0.030,0.00000032,0.78539790,2.35619470,0.00003148,-0.00002605,0.00002116,0.00209315,-0.00173226,0.00140746,-0.00011996,0.78601612,2.35991532,-0.00238217,0.03097506,-0.02312152,0.03520419,-23.06966080,-0.32981389,0.03520419,-23.06966080,-0.32981389,0.03383077,-22.97058981,-0.42327458,0.00012028,-0.00061822,-0.00372062,0.00241365,-0.03100111,0.02314268
0.040,0.00000075,0.78539755,2.35619499,0.00005586,-0.00004623,0.00003756,0.00278386,-0.00230389,0.00187191,-0.00013925,0.78630557,2.35960782,-0.00226888,0.03046764,-0.02502861,0.03519926,-23.11085210,-0.26504669,0.03519926,-23.11085210,-0.26504669,0.03478349,-23.03233645,-0.37330494,0.00014000,-0.00090802,-0.00341283,0.00232474,-0.03051387,0.02506617
0.050,0.00000146,0.78539696,2.35619547,0.00008714,-0.00007212,0.00005860,0.00347108,-0.00287262,0.00233401,-0.00015633,0.78658061,2.35928366,-0.00212874,0.02972662,-0.02687551,0.03485925,-23.14130043,-0.19824246,0.03485925,-23.14130043,-0.19824246,0.03520419,-23.08341257,-0.31360579,0.00015779,-0.00118365,-0.00308819,0.00221588,-0.02979874,0.02693411
0.060,0.00000251,0.78539608,2.35619618,0.00012527,-0.00010368,0.00008424,0.00415482,-0.00343847,0.00279376,-0.00017118,0.78683920,2.35895174,-0.00196788,0.02875964,-0.02845461,0.03425877,-23.16087185,-0.13280576,0.03425877,-23.16087185,-0.13280576,0.03519926,-23.12378147,-0.24845073,0.00017369,-0.00144312,-0.00275556,0.00209315,-0.02886332,0.02853885
0.070,0.00000398,0.78539487,2.35619717,0.00017023,-0.00014088,0.00011446,0.00483508,-0.00400144,0.00325117,-0.00018380,0.78707946,2.35862096,-0.00179139,0.02757623,-0.02961040,0.03346218,-23.16952579,-0.07161963,0.03346218,-23.16952579,-0.07161963,0.03485925,-23.15331343,-0.18170359,0.00018778,-0.00168459,-0.00242379,0.00196162,-0.02771711,0.02972486
0.080,0.00000594,0.78539325,2.35619848,0.00022196,-0.00018369,0.00014925,0.00551186,-0.00456154,0.00370625,-0.00019420,0.78729973,2.35829980,-0.00160346,0.02618900,-0.03023691,0.03252342,-23.16738231,-0.01701013,0.03252342,-23.16738231,-0.01701013,0.03425877,-23.17188550,-0.11674753,0.00020014,-0.00190648,-0.00210132,0.00182542,-0.02637269,0.03038616
0.090,0.00000845,0.78539117,2.35620017,0.00028045,-0.00023210,0.00018858,0.00618518,-0.00511877,0.00415900,-0.00020240,0.78749863,2.35799594,-0.00140764,0.02461433,-0.03027424,0.03148887,-23.15474228,0.02927543,0.03148887,-23.15474228,0.02927543,0.03346218,-23.17947094,-0.05642651,0.00021085,-0.00210746,-0.00179577,0.00168809,-0.02484643,0.03046282
0.100,0.00001157,0.78538859,2.35620227,0.00034566,-0.00028606,0.00023242,0.00685503,-0.00567313,0.00460942,-0.00020845,0.78767510,2.35771600,-0.00120686,0.02287246,-0.02970399,0.03039825,-23.13210253,0.06605847,0.03039825,-23.13210253,0.06605847,0.03252342,-23.17620574,-0.00301351,0.00022002,-0.00228651,-0.00151373,0.00155252,-0.02315852,0.02993641
0.110,0.00001538,0.78538543,2.35620483,0.00041754,-0.00034555,0.00028076,0.00752143,-0.00622463,0.00505751,-0.00021238,0.78782842,2.35746536,-0.00100358,0.02098728,-0.02854401,0.02928689,-23.10016465,0.09271485,0.02928689,-23.10016465,0.09271485,0.03148887,-23.16240814,0.04180746,0.00022776,-0.00244299,-0.00126053,0.00142112,-0.02133283,0.02882477
0.120,0.00001994,0.78538166,2.35620790,0.00049607,-0.00041054,0.00033357,0.00818437,-0.00677327,0.00550328,-0.00021427,0.78795823,2.35724798,-0.00079987,0.01898570,-0.02684256,0.02818511,-23.05979876,0.10913286,0.02818511,-23.05979876,0.10913286,0.03039825,-23.13859300,0.07692758,0.00023421,-0.00257657,-0.00104008,0.00129594,-0.01939624,0.02717613
0.130,0.00002532,0.78537721,2.35621152,0.00058122,-0.00048101,0.00039082,0.00884387,-0.00731907,0.00594674,-0.00021417,0.78806453,2.35706637,-0.00059745,0.01689690,-0.02467213,0.02711980,-23.01203476,0.11565867,0.02711980,-23.01203476,0.11565867,0.02928689,-23.10547991,0.10179526,0.00023949,-0.00268732,-0.00085485,0.00117867,-0.01737791,0.02506295
0.140,0.00003159,0.78537202,2.35621573,0.00067294,-0.00055692,0.00045249,0.00949994,-0.00786202,0.00638789,-0.00021216,0.78814768,2.35692161,-0.00039772,0.01475144,-0.02212309,0.02611433,-22.95801698,0.11303341,0.02611433,-22.95801698,0.11303341,0.02818511,-23.06395629,0.11637085,0.00024375,-0.00277566,-0.00070588,0.00107066,-0.01530836,0.02257558
0.150,0.00003880,0.78536605,2.35622058,0.00077120,-0.00063824,0.00051857,0.01015257,-0.00840212,0.00682673,-0.00020830,0.78820835,2.35681341,-0.00020186,0.01258027,-0.01929750,0.02518838,-22.89896428,0.10232219,0.02518838,-22.89896428,0.10232219,0.02711980,-23.01506814,0.12106903,0.00024710,-0.00284230,-0.00059283,0.00097306,-0.01321851,0.01981607
0.160,0.00004704,0.78535924,2.35622612,0.00087598,-0.00072495,0.00058902,0.01080177,-0.00893940,0.00726326,-0.00020268,0.78824749,2.35674020,-0.00001080,0.01041376,-0.01630314,0.02436118,-22.83613732,0.08483499,0.02436118,-22.83613732,0.08483499,0.02611433,-22.95997409,0.11669343,0.00024972,-0.00288825,-0.00051408,0.00088678,-0.01113871,0.01689216
0.170,0.00005635,0.78535153,2.35623238,0.00098723,-0.00081702,0.00066383,0.01144755,-0.00947384,0.00769749,-0.00019536,0.78826631,2.35669938,0.00017474,0.00828079,-0.01324805,0.02364670,-22.77079362,0.06204545,0.02364670,-22.77079362,0.06204545,0.02518838,-22.89990521,0.10436359,0.00025171,-0.00291478,-0.00046700,0.00081249,-0.00909781,0.01391188
0.180,0.00006680,0.78534288,2.35623941,0.00110492,-0.00091442,0.00074296,0.01208992,-0.01000545,0.00812943,-0.00018644,0.78826621,2.35668739,0.00035420,0.00620794,-0.01023569,0.02305852,-22.70414578,0.03551912,0.02305852,-22.70414578,0.03551912,0.02436118,-22.83613202,0.08543429,0.00025324,-0.00292333,-0.00044798,0.00075072,-0.00712236,0.01097865
0.190,0.00007847,0.78533323,2.35624725,0.00122902,-0.00101712,0.00082641,0.01272887,-0.01053424,0.00855907,-0.00017598,0.78824872,2.35670003,0.00052720,0.00421881,-0.00736077,0.02260875,-22.63733534,0.00683682,0.02260875,-22.63733534,0.00683682,0.02364670,-22.76991933,0.06141345,0.00025445,-0.00291549,-0.00045278,0.00070182,-0.00523593,0.00818718
0.200,0.00009140,0.78532252,2.35625595,0.00135948,-0.00112509,0.00091414,0.01336443,-0.01106022,0.00898643,-0.00016405,0.78821549,2.35673262,0.00069350,0.00233346,-0.00470595,0.02230542,-22.57139970,-0.02246939,0.02230542,-22.57139970,-0.02246939,0.02305852,-22.70248449,0.03388987,0.00025545,-0.00289297,-0.00047667,0.00066598,-0.00345855,0.00562009
