t,q_des_1,q_des_2,q_des_3,qd_des_1,qd_des_2,qd_des_3,qdd_des_1,qdd_des_2,qdd_des_3,q_act_1,q_act_2,q_act_3,qd_act_1,qd_act_2,qd_act_3,tau_fb_1,tau_fb_2,tau_fb_3,tau_total_1,tau_total_2,tau_total_3,tau_sensed_1,tau_sensed_2,tau_sensed_3,e_pos_1,e_pos_2,e_pos_3,e_vel_1,e_vel_2,e_vel_3
0.000,0.00000000,0.78539816,2.35619449,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00016982,0.78318160,2.35826442,-0.00031649,0.00372947,-0.00138382,-0.00470161,-21.54731419,-0.29706589,-0.00470161,-21.54731419,-0.29706589,0.00000000,-21.84040276,0.00081881,-0.00016982,0.00221656,-0.00206993,0.00031649,-0.00372947,0.00138382
0.010,0.00000000,0.78539816,2.35619449,0.00000041,-0.00000012,-0.00000018,0.00008171,-0.00002345,-0.00003632,0.00016633,0.78322314,2.35824729,-0.00032471,0.00383558,-0.00146623,-0.00442347,-21.55879859,-0.29408762,-0.00442347,-21.55879859,-0.29408762,0.00000000,-21.84044198,0.00085673,-0.00016633,0.00217502,-0.00205280,0.00032512,-0.00383570,0.00146605
0.020,0.00000001,0.78539816,2.35619449,0.00000163,-0.00000047,-0.00000073,0.00016322,-0.00004685,-0.00007254,0.00016251,0.78327592,2.35818771,-0.00033902,0.00419620,-0.00258907,-0.00404561,-21.58146058,-0.27433054,-0.00404561,-21.58146058,-0.27433054,-0.00470161,-21.54995323,-0.29408709,-0.00016250,0.00212224,-0.00199322,0.00034065,-0.00419667,0.00258834
0.030,0.00000004,0.78539815,2.35619447,0.00000367,-0.00000105,-0.00000163,0.00024452,-0.00007019,-0.00010867,0.00015838,0.78333963,2.35808658,-0.00035747,0.00473985,-0.00447024,-0.00359162,-21.61273995,-0.24074226,-0.00359162,-21.61273995,-0.24074226,-0.00442347,-21.56198399,-0.28903074,-0.00015834,0.00205852,-0.00189211,0.00036114,-0.00474090,0.00446861
0.040,0.00000009,0.78539814,2.35619445,0.00000652,-0.00000187,-0.00000290,0.00032561,-0.00009346,-0.00014472,0.00015397,0.78341344,2.35794703,-0.00037844,0.00540017,-0.00684133,-0.00308226,-21.65015030,-0.19646937,-0.00308226,-21.65015030,-0.19646937,-0.00404561,-21.58515115,-0.26735325,-0.00015388,0.00198470,-0.00175258,0.00038496,-0.00540204,0.00683843
0.050,0.00000017,0.78539811,2.35619441,0.00001018,-0.00000292,-0.00000453,0.00040651,-0.00011668,-0.00018067,0.00014929,0.78349612,2.35777408,-0.00040059,0.00611719,-0.00945478,-0.00253437,-21.69135218,-0.14473398,-0.00253437,-21.69135218,-0.14473398,-0.00359162,-21.61687408,-0.23209469,-0.00014912,0.00190199,-0.00157967,0.00041077,-0.00612011,0.00945025
0.060,0.00000029,0.78539808,2.35619436,0.00001465,-0.00000421,-0.00000651,0.00048720,-0.00013984,-0.00021653,0.00014440,0.78358614,2.35757413,-0.00042285,0.00683834,-0.01208981,-0.00196185,-21.73419610,-0.08869812,-0.00196185,-21.73419610,-0.08869812,-0.00308226,-21.65465118,-0.18647191,-0.00014411,0.00181194,-0.00137977,0.00043750,-0.00684255,0.01208330
0.070,0.00000047,0.78539803,2.35619428,0.00001993,-0.00000572,-0.00000886,0.00056768,-0.00016295,-0.00025230,0.00013931,0.78368175,2.35735455,-0.00044439,0.00751911,-0.01455694,-0.00137540,-21.77678236,-0.03136045,-0.00137540,-21.77678236,-0.03136045,-0.00253437,-21.69613290,-0.13375482,-0.00013884,0.00171628,-0.00116027,0.00046432,-0.00752483,0.01454808
0.080,0.00000069,0.78539796,2.35619418,0.00002601,-0.00000746,-0.00001156,0.00064797,-0.00018599,-0.00028799,0.00013406,0.78378112,2.35712321,-0.00046457,0.00812357,-0.01670106,-0.00078547,-21.81748537,0.02454943,-0.00078547,-21.81748537,0.02454943,-0.00196185,-21.73916458,-0.07713142,-0.00013337,0.00161684,-0.00092903,0.00049058,-0.00813103,0.01668950
0.090,0.00000099,0.78539788,2.35619405,0.00003289,-0.00000944,-0.00001462,0.00072805,-0.00020898,-0.00032358,0.00012868,0.78388239,2.35688812,-0.00048290,0.00862441,-0.01840305,-0.00019727,-21.85497708,0.07664042,-0.00019727,-21.85497708,0.07664042,-0.00137540,-21.78184581,-0.01960594,-0.00012769,0.00151549,-0.00069407,0.00051579,-0.00863385,0.01838843
