time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
0.005,0.000013,-0.000939,-0.785398,0.000015,0.001868,-0.000000,0.000005,-27.137956,4.762145
0.015,0.000013,-0.000921,-0.785398,0.000015,0.001881,-0.000000,0.000005,-27.137956,4.762065
0.025,0.000013,-0.000902,-0.785398,0.000015,0.001895,-0.000000,0.000005,-27.137956,4.761984
0.035,0.000014,-0.000883,-0.785398,0.000016,0.001909,-0.000000,0.000005,-27.137956,4.761902
0.045,0.000014,-0.000864,-0.785398,0.000016,0.001858,0.000047,0.000000,-27.178427,4.761363
0.055,0.000014,-0.000846,-0.785396,0.000016,0.001807,0.000150,-0.000438,-27.174001,4.766942
0.065,0.000014,-0.000828,-0.785393,0.000016,0.001756,0.000308,-0.000873,-27.169611,4.772477
0.075,0.000014,-0.000811,-0.785388,0.000016,0.001705,0.000522,-0.001305,-27.165259,4.777964
0.085,0.000014,-0.000795,-0.785380,0.000016,0.001654,0.000790,-0.001733,-27.160948,4.783402
0.095,0.000015,-0.000779,-0.785369,0.000017,0.001603,0.001112,-0.002158,-27.156681,4.788788
0.105,0.000015,-0.000763,-0.785354,0.000017,0.001552,0.001488,-0.002580,-27.152459,4.794120
0.115,0.000015,-0.000748,-0.785335,0.000017,0.001501,0.001918,-0.002999,-27.148285,4.799395
0.125,0.000015,-0.000734,-0.785311,0.000017,0.001450,0.002401,-0.003414,-27.144162,4.804611
0.135,0.000015,-0.000720,-0.785281,0.000017,0.001399,0.002936,-0.003827,-27.140091,4.809765
0.145,0.000015,-0.000706,-0.785246,0.000018,0.001348,0.003523,-0.004236,-27.136076,4.814855
0.155,0.000016,-0.000693,-0.785205,0.000018,0.001297,0.004163,-0.004642,-27.132118,4.819879
0.165,0.000016,-0.000681,-0.785156,0.000018,0.001246,0.004853,-0.005045,-27.128220,4.824835
0.175,0.000016,-0.000669,-0.785100,0.000018,0.001195,0.005595,-0.005445,-27.124384,4.829719
0.185,0.000016,-0.000657,-0.785036,0.000019,0.001144,0.006388,-0.005842,-27.120613,4.834530
0.195,0.000016,-0.000646,-0.784964,0.000019,0.001093,0.007230,-0.006236,-27.116908,4.839266
0.205,0.000017,-0.000636,-0.784883,0.000019,0.001042,0.008123,-0.006627,-27.113272,4.843924
0.215,0.000017,-0.000626,-0.784792,0.000019,0.000991,0.009064,-0.007015,-27.109706,4.848502
0.225,0.000017,-0.000617,-0.784692,0.000020,0.000940,0.010055,-0.007400,-27.106214,4.852998
0.235,0.000017,-0.000608,-0.784581,0.000020,0.000889,0.011095,-0.007783,-27.102797,4.857410
0.245,0.000017,-0.000599,-0.784459,0.000020,0.000839,0.012183,-0.008163,-27.099457,4.861735
0.255,0.000018,-0.000592,-0.784326,0.000021,0.000788,0.013318,-0.008540,-27.096196,4.865972
0.265,0.000018,-0.000584,-0.784181,0.000021,0.000737,0.014502,-0.008914,-27.093017,4.870117
0.275,0.000018,-0.000577,-0.784023,0.000021,0.000686,0.015732,-0.009286,-27.089922,4.874170
0.285,0.000018,-0.000571,-0.783853,0.000022,0.000635,0.017009,-0.009655,-27.086912,4.878128
0.295,0.000018,-0.000565,-0.783670,0.000022,0.000584,0.018332,-0.010021,-27.083989,4.881988
0.305,0.000019,-0.000560,-0.783473,0.000022,0.000534,0.019701,-0.010385,-27.081156,4.885749
0.315,0.000019,-0.000555,-0.783262,0.000023,0.000483,0.021116,-0.010747,-27.078415,4.889409
0.325,0.000019,-0.000551,-0.783036,0.000023,0.000432,0.022576,-0.011106,-27.075767,4.892965
0.335,0.000019,-0.000547,-0.782795,0.000024,0.000382,0.024081,-0.011463,-27.073215,4.896416
0.345,0.000020,-0.000544,-0.782539,0.000024,0.000331,0.025630,-0.011817,-27.070760,4.899759
0.355,0.000020,-0.000541,-0.782267,0.000025,0.000280,0.027224,-0.012170,-27.068404,4.902993
0.365,0.000020,-0.000538,-0.781978,0.000025,0.000230,0.028861,-0.012520,-27.066149,4.906115
0.375,0.000020,-0.000537,-0.781673,0.000025,0.000179,0.030541,-0.012868,-27.063998,4.909124
0.385,0.000021,-0.000535,-0.781350,0.000026,0.000129,0.032264,-0.013214,-27.061951,4.912017
0.395,0.000021,-0.000535,-0.781010,0.000026,0.000078,0.034030,-0.013558,-27.060011,4.914793
0.405,0.000021,-0.000534,-0.780651,0.000027,0.000028,0.035839,-0.013900,-27.058180,4.917450
0.415,0.000021,-0.000535,-0.780274,0.000027,-0.000023,0.037689,-0.014240,-27.056459,4.919985
0.425,0.000022,-0.000535,-0.779878,0.000028,-0.000073,0.039580,-0.014579,-27.054850,4.922397
0.435,0.000022,-0.000537,-0.779463,0.000028,-0.000124,0.041513,-0.014915,-27.053355,4.924684
0.445,0.000022,-0.000538,-0.779028,0.000029,-0.000174,0.043486,-0.015250,-27.051976,4.926844
0.455,0.000022,-0.000540,-0.778573,0.000030,-0.000224,0.045500,-0.015583,-27.050715,4.928875
0.465,0.000023,-0.000543,-0.778098,0.000030,-0.000275,0.047554,-0.015915,-27.049573,4.930775
0.475,0.000023,-0.000546,-0.777601,0.000031,-0.000325,0.049648,-0.016245,-27.048552,4.932542
0.485,0.000023,-0.000550,-0.777084,0.000031,-0.000375,0.051781,-0.016574,-27.047654,4.934175
0.495,0.000024,-0.000554,-0.776544,0.000032,-0.000425,0.053953,-0.016901,-27.046881,4.935671
0.505,0.000024,-0.000559,-0.775982,0.000033,-0.000475,0.056164,-0.017227,-27.046234,4.937029
0.516,0.000024,-0.000564,-0.775398,0.000033,-0.000525,0.058413,-0.017551,-27.045715,4.938246
0.525,0.000025,-0.000570,-0.774791,0.000034,-0.000575,0.060700,-0.017875,-27.045325,4.939322
0.535,0.000025,-0.000576,-0.774161,0.000035,-0.000625,0.063025,-0.018197,-27.045067,4.940254
0.545,0.000025,-0.000583,-0.773507,0.000035,-0.000675,0.065387,-0.018518,-27.044942,4.941040
0.555,0.000026,-0.000591,-0.772829,0.000036,-0.000725,0.067786,-0.018838,-27.044951,4.941679
0.565,0.000026,-0.000598,-0.772127,0.000037,-0.000775,0.070221,-0.019157,-27.045098,4.942168
0.575,0.000027,-0.000606,-0.771400,0.000038,-0.000825,0.072693,-0.019475,-27.045382,4.942507
0.585,0.000027,-0.000615,-0.770648,0.000039,-0.000875,0.075201,-0.019792,-27.045806,4.942692
0.595,0.000027,-0.000624,-0.769871,0.000039,-0.000924,0.077744,-0.020108,-27.046371,4.942723
0.605,0.000028,-0.000634,-0.769068,0.000040,-0.000974,0.080323,-0.020424,-27.047079,4.942598
0.615,0.000028,-0.000644,-0.768238,0.000041,-0.001023,0.082937,-0.020739,-27.047932,4.942314
0.625,0.000029,-0.000655,-0.767382,0.000042,-0.001073,0.085585,-0.021053,-27.048931,4.941870
0.636,0.000029,-0.000666,-0.766500,0.000043,-0.001122,0.088267,-0.021366,-27.050078,4.941265
0.646,0.000029,-0.000678,-0.765590,0.000044,-0.001172,0.090984,-0.021679,-27.051375,4.940496
0.656,0.000030,-0.000690,-0.764652,0.000045,-0.001221,0.093734,-0.021992,-27.052822,4.939562
0.666,0.000030,-0.000703,-0.763687,0.000046,-0.001270,0.096517,-0.022304,-27.054423,4.938460
0.675,0.000031,-0.000716,-0.762694,0.000047,-0.001320,0.099334,-0.022616,-27.056178,4.937190
0.686,0.000031,-0.000730,-0.761672,0.000048,-0.001369,0.102183,-0.022927,-27.058089,4.935749
0.695,0.000032,-0.000744,-0.760621,0.000049,-0.001418,0.105065,-0.023238,-27.060157,4.934136
0.705,0.000032,-0.000759,-0.759542,0.000050,-0.001467,0.107979,-0.023549,-27.062385,4.932349
0.715,0.000033,-0.000774,-0.758432,0.000051,-0.001516,0.110924,-0.023860,-27.064773,4.930386
0.725,0.000033,-0.000790,-0.757293,0.000052,-0.001565,0.113901,-0.024170,-27.067324,4.928245
0.735,0.000034,-0.000806,-0.756124,0.000053,-0.001614,0.116909,-0.024481,-27.070039,4.925925
0.745,0.000034,-0.000822,-0.754925,0.000054,-0.001662,0.119948,-0.024791,-27.072919,4.923424
0.755,0.000035,-0.000839,-0.753695,0.000056,-0.001711,0.123017,-0.025101,-27.075967,4.920740
0.765,0.000035,-0.000857,-0.752434,0.000057,-0.001760,0.126117,-0.025412,-27.079183,4.917871
0.775,0.000036,-0.000875,-0.751141,0.000058,-0.001808,0.129247,-0.025722,-27.082570,4.914816
0.785,0.000037,-0.000894,-0.749817,0.000059,-0.001857,0.132406,-0.026033,-27.086128,4.911573
0.795,0.000037,-0.000913,-0.748461,0.000061,-0.001905,0.135595,-0.026343,-27.089861,4.908140
0.805,0.000038,-0.000932,-0.747073,0.000062,-0.001954,0.138813,-0.026654,-27.093768,4.904516
0.816,0.000039,-0.000952,-0.745652,0.000064,-0.002002,0.142060,-0.026965,-27.097852,4.900698
0.825,0.000039,-0.000973,-0.744199,0.000065,-0.002050,0.145335,-0.027277,-27.102115,4.896685
0.835,0.000040,-0.000994,-0.742713,0.000067,-0.002098,0.148639,-0.027588,-27.106557,4.892475
