time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
0.001,-0.007207,0.781728,2.724950,0.000052,-0.000353,0.000292,-0.000027,-19.518237,2.401784
0.010,-0.007206,0.781725,2.724953,0.000052,-0.000347,0.000287,-0.000027,-19.518237,2.401784
0.020,-0.007206,0.781721,2.724955,0.000051,-0.000341,0.000282,-0.000027,-19.518237,2.401784
0.030,-0.007205,0.781718,2.724958,0.000051,-0.000335,0.000276,-0.000027,-19.518237,2.401784
0.040,-0.007163,0.782718,2.718800,0.004213,0.099967,-0.615780,1.534820,-14.143787,-48.657258
0.050,-0.007245,0.781689,2.726546,-0.008172,-0.102868,0.774528,-3.940396,-14.145700,120.203396
0.060,-0.007454,0.778885,2.746546,-0.020941,-0.280385,2.000000,-4.531870,-14.158504,106.437825
0.070,-0.007752,0.776327,2.766546,-0.029783,-0.255845,2.000000,-3.995582,-2.417622,5.217238
0.080,-0.008144,0.774213,2.786546,-0.039246,-0.211393,2.000000,-3.288936,12.386784,7.538678
0.090,-0.008631,0.772657,2.806546,-0.048623,-0.155566,2.000000,-2.639012,20.818297,8.891189
0.100,-0.009200,0.771721,2.826164,-0.056927,-0.093647,1.961819,-2.081773,21.109126,5.784151
0.110,-0.009839,0.771501,2.844688,-0.063882,-0.021974,1.852442,-1.481495,20.558705,-0.267902
0.120,-0.010534,0.772071,2.861513,-0.069499,0.057006,1.682462,-0.890316,19.495726,-5.525250
0.130,-0.011272,0.773445,2.876339,-0.073859,0.137399,1.482651,-0.334306,17.551555,-8.316051
0.140,-0.012043,0.775583,2.889157,-0.077044,0.213806,1.281787,0.179227,14.811835,-8.780170
0.150,-0.012834,0.778412,2.900137,-0.079131,0.282875,1.097945,0.648281,11.574274,-7.774057
0.160,-0.013636,0.781845,2.909520,-0.080190,0.343298,0.938373,1.072424,8.144521,-6.172446
0.170,-0.014409,0.785398,2.917970,-0.077318,0.355351,0.844954,1.451497,-19.908539,-4.592571
0.180,-0.014875,0.785398,2.929489,-0.046557,0.000000,1.151924,1.785065,-245.733627,-3.329596
0.190,-0.015294,0.785398,2.940403,-0.041951,0.000000,1.091371,2.072488,-24.842680,-2.448616
0.200,-0.015664,0.785398,2.950760,-0.037027,0.000000,1.035700,2.313239,-24.182930,-1.889595
0.210,-0.015983,0.785398,2.960587,-0.031826,0.000000,0.982751,2.507148,-23.768644,-1.553300
0.220,-0.016247,0.785398,2.969900,-0.026407,0.000000,0.931241,2.654558,-23.503587,-1.351266
0.230,-0.016455,0.785398,2.978705,-0.020837,0.000000,0.880491,2.756357,-23.321140,-1.221663
0.240,-0.016607,0.785398,2.987006,-0.015184,0.000000,0.830156,2.813947,-23.185358,-1.131031
0.250,-0.016702,0.785398,2.994807,-0.009517,0.000000,0.780026,2.829186,-23.080865,-1.065163
0.260,-0.016741,0.785398,3.002106,-0.003902,0.000000,0.729934,2.804319,-23.002737,-1.019726
0.270,-0.016725,0.785398,3.008903,0.001600,0.000000,0.679736,2.741907,-22.948396,-0.992588
0.280,-0.016655,0.785390,3.015205,0.006996,-0.000853,0.630175,2.644792,-23.444253,-0.982570
0.290,-0.016531,0.785345,3.021036,0.012381,-0.004493,0.583114,2.516056,-25.158450,-0.988757
0.300,-0.016355,0.785238,3.026418,0.017687,-0.010646,0.538189,2.358946,-26.718723,-1.005429
0.310,-0.016126,0.785048,3.031369,0.022851,-0.019044,0.495077,2.176858,-28.125912,-1.029485
0.320,-0.015848,0.784754,3.035904,0.027818,-0.029426,0.453494,1.973293,-29.381473,-1.057707
0.330,-0.015535,0.784488,3.039522,0.031260,-0.026592,0.361783,1.351811,-25.015300,-4.749365
0.340,-0.015215,0.784511,3.041282,0.032033,0.002377,0.176062,0.371726,-15.858020,-11.560178
0.350,-0.014892,0.784811,3.041267,0.032283,0.029990,-0.001518,0.071122,-15.986341,-10.873211
0.360,-0.014572,0.785334,3.039838,0.031977,0.052253,-0.142864,-0.221466,-16.119769,-7.759815
0.370,-0.014213,0.785398,3.038019,0.035888,0.006432,-0.181925,-0.494568,-54.909326,-4.462906
0.380,-0.013853,0.785398,3.035671,0.036029,0.000000,-0.234839,-0.722655,-27.824489,-1.797741
0.390,-0.013502,0.785398,3.032914,0.035104,0.000000,-0.275685,-0.900687,-21.946925,0.076575
0.400,-0.013164,0.785398,3.029869,0.033774,0.000000,-0.304476,-1.033828,-20.730996,1.281270
0.410,-0.012843,0.785398,3.026607,0.032178,0.000000,-0.326188,-1.129988,-20.027584,1.980754
0.420,-0.012538,0.785398,3.023165,0.030415,0.000000,-0.344200,-1.196596,-19.672084,2.337263
0.430,-0.012253,0.785398,3.019560,0.028555,0.000000,-0.360562,-1.239764,-19.527695,2.485573
0.440,-0.011986,0.785398,3.015795,0.026650,0.000000,-0.376457,-1.264073,-19.505490,2.513312
0.450,-0.011739,0.785398,3.011869,0.024735,0.000000,-0.392557,-1.272787,-19.552721,2.472484
0.460,-0.011511,0.785398,3.007779,0.022836,0.000000,-0.409081,-1.268361,-19.622967,2.408638
