time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
0.006,0.000307,-3.919306,0.009266,-0.000208,0.000960,0.000822,0.000124,18.773258,-4.678059
0.016,0.000305,-3.919296,0.009274,-0.000207,0.000958,0.000795,0.000124,18.773258,-4.678059
0.026,0.000303,-3.919287,0.009282,-0.000207,0.000956,0.000768,0.000124,18.773258,-4.678059
0.036,0.000300,-3.919277,0.009289,-0.000206,0.000954,0.000741,0.000124,18.773258,-4.678059
0.046,0.000299,-3.919270,0.009291,-0.000178,0.000721,0.000120,-0.000000,18.547673,-4.761363
0.056,0.000297,-3.919265,0.009286,-0.000150,0.000543,-0.000501,0.002716,18.587503,-4.755783
0.066,0.000296,-3.919260,0.009274,-0.000122,0.000419,-0.001122,0.005412,18.627048,-4.750242
0.076,0.000295,-3.919256,0.009257,-0.000093,0.000404,-0.001743,0.010742,18.705347,-4.739268
0.086,0.000294,-3.919252,0.009233,-0.000065,0.000441,-0.002363,0.013377,18.744130,-4.733829
0.096,0.000294,-3.919247,0.009203,-0.000037,0.000532,-0.002982,0.015991,18.782690,-4.728419
0.106,0.000294,-3.919240,0.009167,-0.000009,0.000676,-0.003600,0.018585,18.821040,-4.723035
0.116,0.000294,-3.919232,0.009126,0.000024,0.000810,-0.004154,0.021159,18.821040,-4.717674
0.126,0.000295,-3.919221,0.009078,0.000052,0.001058,-0.004768,0.023712,18.897173,-4.712334
0.136,0.000295,-3.919208,0.009024,0.000080,0.001358,-0.005380,0.026245,18.934984,-4.707013
0.146,0.000297,-3.919191,0.008965,0.000108,0.001709,-0.005989,0.028757,18.972644,-4.701707
0.156,0.000298,-3.919169,0.008899,0.000136,0.002112,-0.006595,0.031249,19.010167,-4.696415
0.166,0.000300,-3.919144,0.008827,0.000164,0.002565,-0.007198,0.033721,19.047569,-4.691134
0.176,0.000301,-3.919113,0.008749,0.000192,0.003069,-0.007797,0.036171,19.084862,-4.685861
0.186,0.000304,-3.919077,0.008665,0.000220,0.003623,-0.008393,0.038601,19.122061,-4.680594
0.196,0.000306,-3.919035,0.008575,0.000247,0.004227,-0.008984,0.041011,19.159179,-4.675331
0.206,0.000309,-3.918986,0.008479,0.000275,0.004881,-0.009570,0.043399,19.196231,-4.670070
0.216,0.000312,-3.918930,0.008378,0.000302,0.005584,-0.010152,0.045766,19.233230,-4.664807
0.226,0.000315,-3.918867,0.008270,0.000329,0.006336,-0.010729,0.048113,19.270189,-4.659541
0.236,0.000319,-3.918795,0.008157,0.000356,0.007136,-0.011301,0.050438,19.307122,-4.654269
0.246,0.000323,-3.918715,0.008039,0.000383,0.007985,-0.011867,0.052742,19.344042,-4.648990
0.256,0.000327,-3.918627,0.007914,0.000410,0.008882,-0.012427,0.055024,19.380962,-4.643700
0.266,0.000331,-3.918528,0.007785,0.000436,0.009826,-0.012980,0.057285,19.417896,-4.638397
0.276,0.000336,-3.918420,0.007649,0.000462,0.010818,-0.013527,0.059524,19.454856,-4.633080
0.286,0.000341,-3.918301,0.007509,0.000488,0.011857,-0.014068,0.061741,19.491856,-4.627746
0.296,0.000346,-3.918172,0.007363,0.000514,0.012943,-0.014601,0.063937,19.528907,-4.622393
0.306,0.000351,-3.918031,0.007211,0.000540,0.014076,-0.015127,0.066110,19.566023,-4.617018
0.316,0.000357,-3.917879,0.007055,0.000565,0.015254,-0.015645,0.068261,19.603216,-4.611620
0.326,0.000363,-3.917714,0.006893,0.000590,0.016479,-0.016156,0.070389,19.640498,-4.606196
0.336,0.000369,-3.917536,0.006727,0.000615,0.017749,-0.016658,0.072495,19.677881,-4.600744
0.346,0.000375,-3.917346,0.006555,0.000639,0.019064,-0.017152,0.074578,19.715379,-4.595263
0.356,0.000382,-3.917142,0.006379,0.000663,0.020424,-0.017637,0.076638,19.753002,-4.589749
0.366,0.000389,-3.916923,0.006198,0.000687,0.021829,-0.018114,0.078675,19.790762,-4.584202
0.376,0.000396,-3.916691,0.006012,0.000710,0.023278,-0.018581,0.080689,19.828672,-4.578618
0.386,0.000403,-3.916443,0.005822,0.000734,0.024772,-0.019039,0.082679,19.866743,-4.572996
0.396,0.000411,-3.916180,0.005627,0.000756,0.026309,-0.019488,0.084646,19.904986,-4.567333
0.406,0.000419,-3.915901,0.005427,0.000779,0.027890,-0.019926,0.086588,19.943414,-4.561629
0.416,0.000427,-3.915606,0.005224,0.000801,0.029513,-0.020355,0.088507,19.982036,-4.555880
0.426,0.000435,-3.915294,0.005016,0.000823,0.031180,-0.020773,0.090401,20.020864,-4.550085
0.436,0.000443,-3.914965,0.004804,0.000844,0.032889,-0.021181,0.092270,20.059910,-4.544241
0.446,0.000452,-3.914619,0.004589,0.000865,0.034640,-0.021578,0.094115,20.099183,-4.538347
0.456,0.000461,-3.914254,0.004369,0.000885,0.036434,-0.021964,0.095935,20.138696,-4.532401
0.466,0.000470,-3.913872,0.004146,0.000905,0.038269,-0.022339,0.097730,20.178457,-4.526400
0.476,0.000479,-3.913470,0.003919,0.000925,0.040145,-0.022703,0.099500,20.218479,-4.520343
0.486,0.000488,-3.913050,0.003688,0.000944,0.042062,-0.023055,0.101244,20.258771,-4.514229
0.496,0.000498,-3.912609,0.003454,0.000963,0.044020,-0.023396,0.102962,20.299343,-4.508054
0.506,0.000508,-3.912149,0.003217,0.000981,0.046019,-0.023725,0.104654,20.340205,-4.501817
0.516,0.000518,-3.911669,0.002976,0.000999,0.048057,-0.024042,0.106320,20.381368,-4.495516
0.526,0.000518,-3.911669,0.002976,0.000999,0.048057,-0.024042,0.106320,20.381368,-4.495516
0.536,0.000528,-3.911167,0.002733,0.001016,0.050136,-0.024346,0.107959,20.422841,-4.489149
0.546,0.000538,-3.910645,0.002486,0.001033,0.052254,-0.024639,0.109571,20.464634,-4.482715
0.556,0.000549,-3.910101,0.002237,0.001049,0.054411,-0.024918,0.111157,20.506756,-4.476211
0.566,0.000559,-3.909534,0.001985,0.001065,0.056607,-0.025185,0.112715,20.549217,-4.469635
0.576,0.000570,-3.908946,0.001731,0.001080,0.058841,-0.025439,0.114246,20.592025,-4.462987
0.586,0.000581,-3.908335,0.001474,0.001095,0.061114,-0.025681,0.115749,20.635191,-4.456262
0.596,0.000592,-3.907701,0.001215,0.001109,0.063425,-0.025909,0.117224,20.678722,-4.449461
