time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
0.004,0.001315,-3.919812,0.009487,-0.000166,0.000455,0.001617,0.000297,18.772974,-4.678148
0.014,0.001314,-3.919807,0.009503,-0.000166,0.000470,0.001586,0.000297,18.772974,-4.678148
0.024,0.001312,-3.919802,0.009518,-0.000167,0.000486,0.001554,0.000297,18.772974,-4.678148
0.034,0.001310,-3.919797,0.009534,-0.000167,0.000501,0.001521,0.000297,18.772974,-4.678148
0.044,0.001309,-3.919794,0.009542,-0.000140,0.000286,0.000896,-0.000000,18.547673,-4.761363
0.054,0.001308,-3.919793,0.009545,-0.000114,0.000127,0.000269,0.002716,18.587503,-4.755783
0.064,0.001307,-3.919793,0.009542,-0.000087,0.000022,-0.000358,0.005412,18.627048,-4.750242
0.074,0.001306,-3.919793,0.009532,-0.000060,-0.000029,-0.000984,0.008087,18.666325,-4.744738
0.084,0.001306,-3.919793,0.009516,-0.000034,-0.000026,-0.001610,0.010742,18.705347,-4.739268
0.094,0.001306,-3.919793,0.009493,-0.000007,0.000030,-0.002236,0.013377,18.744130,-4.733829
0.104,0.001306,-3.919791,0.009465,0.000020,0.000140,-0.002860,0.015991,18.782690,-4.728419
0.114,0.001307,-3.919788,0.009430,0.000047,0.000302,-0.003484,0.018585,18.821040,-4.723035
0.124,0.001307,-3.919783,0.009389,0.000073,0.000518,-0.004105,0.021159,18.859196,-4.717674
0.134,0.001308,-3.919775,0.009342,0.000100,0.000785,-0.004725,0.023712,18.897173,-4.712334
0.144,0.001310,-3.919764,0.009288,0.000126,0.001104,-0.005342,0.026245,18.934984,-4.707013
0.154,0.001311,-3.919750,0.009229,0.000153,0.001475,-0.005956,0.028757,18.972644,-4.701707
0.164,0.001313,-3.919731,0.009163,0.000179,0.001897,-0.006568,0.031249,19.010167,-4.696415
0.174,0.001315,-3.919707,0.009091,0.000206,0.002370,-0.007176,0.033721,19.047569,-4.691134
0.184,0.001317,-3.919678,0.009013,0.000232,0.002894,-0.007781,0.036171,19.084862,-4.685861
0.194,0.001320,-3.919643,0.008930,0.000258,0.003468,-0.008381,0.038601,19.122061,-4.680594
0.204,0.001323,-3.919602,0.008840,0.000284,0.004091,-0.008978,0.041011,19.159179,-4.675331
0.214,0.001326,-3.919555,0.008744,0.000310,0.004765,-0.009570,0.043399,19.196231,-4.670070
0.224,0.001329,-3.919500,0.008642,0.000336,0.005488,-0.010157,0.045766,19.233230,-4.664807
0.234,0.001333,-3.919437,0.008535,0.000361,0.006259,-0.010740,0.048113,19.270189,-4.659541
0.244,0.001337,-3.919367,0.008422,0.000387,0.007080,-0.011317,0.050438,19.307122,-4.654269
0.254,0.001341,-3.919287,0.008303,0.000412,0.007949,-0.011888,0.052742,19.344042,-4.648990
0.264,0.001345,-3.919198,0.008178,0.000437,0.008865,-0.012453,0.055024,19.380962,-4.643700
0.274,0.001350,-3.919100,0.008048,0.000462,0.009830,-0.013012,0.057285,19.417896,-4.638397
0.284,0.001355,-3.918992,0.007913,0.000486,0.010842,-0.013564,0.059524,19.454856,-4.633080
0.294,0.001360,-3.918873,0.007772,0.000511,0.011901,-0.014110,0.061741,19.491856,-4.627746
0.304,0.001365,-3.918743,0.007625,0.000535,0.013007,-0.014649,0.063937,19.528907,-4.622393
0.314,0.001371,-3.918601,0.007473,0.000559,0.014159,-0.015180,0.066110,19.566023,-4.617018
0.324,0.001377,-3.918447,0.007316,0.000582,0.015357,-0.015703,0.068261,19.603216,-4.611620
0.334,0.001383,-3.918281,0.007154,0.000606,0.016602,-0.016219,0.070389,19.640498,-4.606196
0.344,0.001389,-3.918102,0.006987,0.000629,0.017892,-0.016726,0.072495,19.677881,-4.600744
0.354,0.001395,-3.917910,0.006815,0.000651,0.019227,-0.017226,0.074578,19.715379,-4.595263
0.364,0.001402,-3.917704,0.006637,0.000674,0.020607,-0.017716,0.076638,19.753002,-4.589749
0.374,0.001409,-3.917484,0.006455,0.000696,0.022031,-0.018198,0.078675,19.790762,-4.584202
0.384,0.001416,-3.917249,0.006269,0.000718,0.023500,-0.018670,0.080689,19.828672,-4.578618
0.394,0.001424,-3.916999,0.006077,0.000739,0.025013,-0.019133,0.082679,19.866743,-4.572996
0.404,0.001431,-3.916733,0.005882,0.000761,0.026569,-0.019587,0.084646,19.904986,-4.567333
0.414,0.001439,-3.916451,0.005681,0.000781,0.028169,-0.020030,0.086588,19.943414,-4.561629
0.424,0.001447,-3.916153,0.005477,0.000802,0.029812,-0.020464,0.088507,19.982036,-4.555880
0.434,0.001455,-3.915838,0.005268,0.000822,0.031498,-0.020887,0.090401,20.020864,-4.550085
0.444,0.001464,-3.915506,0.005055,0.000842,0.033226,-0.021300,0.092270,20.059910,-4.544241
0.454,0.001472,-3.915156,0.004838,0.000861,0.034996,-0.021702,0.094115,20.099183,-4.538347
0.464,0.001481,-3.914788,0.004617,0.000880,0.036808,-0.022093,0.095935,20.138696,-4.532401
0.474,0.001490,-3.914401,0.004392,0.000898,0.038662,-0.022473,0.097730,20.178457,-4.526400
0.484,0.001499,-3.913996,0.004164,0.000917,0.040556,-0.022842,0.099500,20.218479,-4.520343
0.494,0.001509,-3.913571,0.003932,0.000934,0.042492,-0.023199,0.101244,20.258771,-4.514229
0.504,0.001518,-3.913126,0.003696,0.000951,0.044468,-0.023544,0.102962,20.299343,-4.508054
0.514,0.001528,-3.912661,0.003457,0.000968,0.046484,-0.023878,0.104654,20.340205,-4.501817
0.524,0.001538,-3.912176,0.003215,0.000985,0.048541,-0.024199,0.106320,20.381368,-4.495516
0.534,0.001548,-3.911670,0.002970,0.001000,0.050637,-0.024509,0.107959,20.422841,-4.489149
0.544,0.001558,-3.911142,0.002722,0.001016,0.052772,-0.024806,0.109571,20.464634,-4.482715
0.554,0.001568,-3.910592,0.002471,0.001031,0.054946,-0.025090,0.111157,20.506756,-4.476211
0.564,0.001579,-3.910021,0.002218,0.001045,0.057159,-0.025361,0.112715,20.549217,-4.469635
0.574,0.001589,-3.909426,0.001962,0.001057,0.059469,-0.025612,0.115749,20.635191,-4.456262
0.584,0.001600,-3.908808,0.001703,0.001070,0.061759,-0.025858,0.115749,20.635191,-4.456262
0.594,0.001611,-3.908168,0.001442,0.001083,0.064086,-0.026090,0.117224,20.678722,-4.449461
0.604,0.001622,-3.907503,0.001179,0.001098,0.066450,-0.026310,0.120090,20.722628,-4.442581
0.614,0.001633,-3.906814,0.000914,0.001107,0.068913,-0.026506,0.121480,20.811598,-4.428576
0.624,0.001644,-3.906100,0.000647,0.001116,0.071413,-0.026689,0.122840,20.856679,-4.421447
0.634,0.001655,-3.905360,0.000379,0.001124,0.073949,-0.026858,0.124172,20.902169,-4.414233
0.644,0.001666,-3.904595,0.000108,0.001131,0.076522,-0.027013,0.125474,20.948074,-4.406930
0.654,0.001678,-3.903804,-0.000163,0.001138,0.079132,-0.027153,0.126746,20.994404,-4.399537
0.664,0.001689,-3.902986,-0.000436,0.001144,0.081777,-0.027279,0.127989,21.041165,-4.392051
0.674,0.001701,-3.902141,-0.000710,0.001149,0.084459,-0.027391,0.129201,21.088366,-4.384473
0.684,0.001712,-3.901270,-0.000985,0.001154,0.087175,-0.027488,0.130382,21.136014,-4.376798
0.694,0.001724,-3.900370,-0.001260,0.001158,0.089926,-0.027570,0.131533,21.184115,-4.369026
0.704,0.001736,-3.899443,-0.001537,0.001162,0.092713,-0.027638,0.132652,21.232678,-4.361155
0.714,0.001747,-3.898488,-0.001814,0.001165,0.095533,-0.027691,0.133740,21.281709,-4.353183
0.724,0.001759,-3.897504,-0.002091,0.001167,0.098387,-0.027729,0.134797,21.331214,-4.345108
0.734,0.001771,-3.896491,-0.002368,0.001169,0.101275,-0.027752,0.135821,21.381201,-4.336928
0.744,0.001782,-3.895449,-0.002646,0.001170,0.104196,-0.027760,0.136813,21.431675,-4.328641
0.754,0.001794,-3.894378,-0.002924,0.001170,0.107151,-0.027753,0.137773,21.482644,-4.320246
0.764,0.001806,-3.893277,-0.003201,0.001170,0.110137,-0.027731,0.138700,21.534112,-4.311741
0.774,0.001817,-3.892145,-0.003478,0.001169,0.113156,-0.027694,0.139594,21.586086,-4.303123
0.784,0.001829,-3.890983,-0.003754,0.001167,0.116207,-0.027641,0.140455,21.638572,-4.294392
0.794,0.001841,-3.889790,-0.004030,0.001165,0.119290,-0.027574,0.141282,21.691576,-4.285545
0.804,0.001841,-3.889790,-0.004030,0.001165,0.119290,-0.027574,0.141282,21.691576,-4.285545
0.814,0.001852,-3.888566,-0.004305,0.001162,0.122404,-0.027491,0.142075,21.745101,-4.276580
0.824,0.001864,-3.887310,-0.004579,0.001159,0.125548,-0.027393,0.142833,21.799155,-4.267496
0.834,0.001887,-3.884704,-0.005123,0.001150,0.131928,-0.027151,0.144247,21.908865,-4.248961
0.844,0.001887,-3.884704,-0.005123,0.001150,0.131928,-0.027151,0.144247,21.908865,-4.248961
0.854,0.001898,-3.883352,-0.005393,0.001144,0.135164,-0.027007,0.144901,21.964532,-4.239508
0.864,0.001910,-3.881968,-0.005662,0.001138,0.138428,-0.026848,0.145520,22.020745,-4.229927
0.874,0.001921,-3.880551,-0.005928,0.001131,0.141722,-0.026673,0.146104,22.077509,-4.220217
0.884,0.001932,-3.879100,-0.006193,0.001124,0.145044,-0.026484,0.146651,22.134828,-4.210377
0.894,0.001943,-3.877616,-0.006456,0.001116,0.148395,-0.026279,0.147162,22.192706,-4.200405
0.904,0.001955,-3.876099,-0.006717,0.001107,0.151774,-0.026058,0.147636,22.251147,-4.190298
0.914,0.001965,-3.874547,-0.006975,0.001098,0.155180,-0.025823,0.148073,22.310154,-4.180055
0.924,0.001976,-3.872961,-0.007231,0.001088,0.158614,-0.025573,0.148474,22.369731,-4.169673
0.934,0.001987,-3.871340,-0.007484,0.001078,0.162075,-0.025307,0.148836,22.429881,-4.159152
0.944,0.001998,-3.869684,-0.007734,0.001066,0.165562,-0.025026,0.149161,22.490606,-4.148489
0.954,0.002008,-3.867994,-0.007981,0.001055,0.169076,-0.024731,0.149448,22.551910,-4.137682
0.964,0.002019,-3.866267,-0.008225,0.001042,0.172615,-0.024420,0.149696,22.613795,-4.126729
0.974,0.002029,-3.864506,-0.008466,0.001029,0.176180,-0.024095,0.149905,22.676263,-4.115629
0.984,0.002039,-3.862708,-0.008704,0.001016,0.179770,-0.023754,0.150076,22.739317,-4.104379
0.994,0.002049,-3.860874,-0.008938,0.001001,0.183385,-0.023399,0.150207,22.802958,-4.092978
1.004,0.002059,-3.859004,-0.009168,0.000987,0.187024,-0.023030,0.150298,22.867188,-4.081423
1.014,0.002069,-3.857097,-0.009395,0.000971,0.190687,-0.022646,0.150349,22.932009,-4.069713
1.024,0.002078,-3.855153,-0.009617,0.000955,0.194374,-0.022248,0.150360,22.997422,-4.057846
1.034,0.002088,-3.853172,-0.009836,0.000939,0.198085,-0.021835,0.150330,23.063429,-4.045820
1.044,0.002097,-3.851154,-0.010050,0.000922,0.201818,-0.021408,0.150260,23.130029,-4.033633
1.054,0.002106,-3.849099,-0.010259,0.000904,0.205573,-0.020967,0.150148,23.197224,-4.021282
1.064,0.002115,-3.847005,-0.010464,0.000886,0.209351,-0.020512,0.149994,23.265014,-4.008767
1.074,0.002124,-3.844874,-0.010665,0.000867,0.213150,-0.020044,0.149798,23.333399,-3.996085
1.084,0.002132,-3.842704,-0.010860,0.000848,0.216971,-0.019562,0.149561,23.402380,-3.983233
1.094,0.002140,-3.840496,-0.011051,0.000828,0.220813,-0.019066,0.149281,23.471956,-3.970211
1.104,0.002148,-3.838249,-0.011237,0.000808,0.224676,-0.018557,0.148957,23.542127,-3.957016
