time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
0.009,0.006050,-3.918113,0.009269,-0.000850,0.001111,0.000738,0.000483,18.803128,-4.672686
0.019,0.006041,-3.918102,0.009276,-0.000848,0.001107,0.000710,0.000483,18.803128,-4.672686
0.029,0.006033,-3.918091,0.009283,-0.000847,0.001103,0.000681,0.000483,18.803128,-4.672686
0.039,0.006025,-3.918083,0.009283,-0.000815,0.000829,0.000045,0.000000,18.547673,-4.761363
0.049,0.006017,-3.918077,0.009277,-0.000783,0.000609,-0.000591,0.002716,18.587503,-4.755783
0.059,0.006010,-3.918072,0.009265,-0.000751,0.000444,-0.001227,0.005412,18.627048,-4.750242
0.069,0.006002,-3.918069,0.009247,-0.000719,0.000333,-0.001863,0.008087,18.666325,-4.744738
0.079,0.005995,-3.918066,0.009222,-0.000688,0.000276,-0.002498,0.010742,18.705347,-4.739268
0.089,0.005989,-3.918063,0.009190,-0.000656,0.000272,-0.003131,0.013377,18.744130,-4.733829
0.099,0.005983,-3.918060,0.009153,-0.000624,0.000321,-0.003764,0.015991,18.782690,-4.728419
0.109,0.005977,-3.918056,0.009109,-0.000592,0.000423,-0.004394,0.018585,18.821040,-4.723035
0.119,0.005971,-3.918050,0.009058,-0.000560,0.000578,-0.005023,0.021159,18.859196,-4.717674
0.129,0.005966,-3.918042,0.009002,-0.000528,0.000784,-0.005649,0.023712,18.897173,-4.712334
0.139,0.005961,-3.918032,0.008939,-0.000496,0.001043,-0.006272,0.026245,18.934984,-4.707013
0.149,0.005956,-3.918018,0.008870,-0.000465,0.001353,-0.006892,0.028757,18.972644,-4.701707
0.159,0.005952,-3.918001,0.008795,-0.000433,0.001715,-0.007509,0.031249,19.010167,-4.696415
0.169,0.005948,-3.917980,0.008714,-0.000402,0.002127,-0.008122,0.033721,19.047569,-4.691134
0.179,0.005944,-3.917954,0.008627,-0.000370,0.002591,-0.008731,0.036171,19.084862,-4.685861
0.189,0.005941,-3.917923,0.008533,-0.000339,0.003104,-0.009335,0.038601,19.122061,-4.680594
0.199,0.005938,-3.917886,0.008434,-0.000308,0.003668,-0.009935,0.041011,19.159179,-4.675331
0.209,0.005935,-3.917843,0.008329,-0.000277,0.004281,-0.010530,0.043399,19.196231,-4.670070
0.219,0.005932,-3.917794,0.008218,-0.000246,0.004944,-0.011119,0.045766,19.233230,-4.664807
0.229,0.005930,-3.917737,0.008100,-0.000215,0.005657,-0.011703,0.048113,19.270189,-4.659541
0.239,0.005928,-3.917673,0.007978,-0.000185,0.006418,-0.012281,0.050438,19.307122,-4.654269
0.249,0.005927,-3.917601,0.007849,-0.000155,0.007227,-0.012853,0.052742,19.344042,-4.648990
0.259,0.005926,-3.917520,0.007715,-0.000125,0.008085,-0.013418,0.055024,19.380962,-4.643700
