tau1,pos1,tau2,pos2,tau3,pos3
80.0,-0.7423227523849492,150.0,-3.926990817831903,-40.0,2.4759500255146154
22.024784311884787,-0.742018752424482,150.0,-3.9262184986210493,-40.0,2.4818488247893384
21.46197700561557,-0.7410431952068688,150.0,-3.92274974667558,-40.0,2.476255320258811
21.30891072168938,-0.739914024570556,150.0,-3.916463525288595,-40.0,2.462729623266661
21.25872794817497,-0.7387607557918288,150.0,-3.9086099377336545,-40.0,2.4451220175183597
20.941336402724456,-0.7372623306350993,150.0,-3.898334313241066,-40.0,2.4251220175175625
20.70670590595295,-0.7355309471689656,150.0,-3.886506581460747,-40.0,2.405122017516761
20.638429808692706,-0.7337754631358537,150.0,-3.874539988846943,-40.0,2.3871220175160395
20.24593481779852,-0.7316061375357678,150.0,-3.8597815812941,-40.0,2.3671220175152348
19.993272630501167,-0.7292064162111326,150.0,-3.8434908329898647,-40.0,2.3471220175144287
19.735254192583255,-0.7265781892369492,150.0,-3.8256748416466966,-40.0,2.327122017513621
19.715873029931227,-0.7240172460704081,150.0,-3.808342418548866,-40.0,2.3091220175128915
19.19548362406478,-0.7209175490501134,150.0,-3.788342418548694,-40.0,2.289122017512287
18.853514757653205,-0.717513556218272,150.0,-3.7683424185485053,-40.0,2.269122017511703
18.827595559100992,-0.7141970689298743,150.0,-3.7503424185483354,-40.0,2.2511220175111775
18.196197928872596,-0.7102354561127333,150.0,-3.7303424185481497,-40.0,2.2311220175105935
17.84327418695495,-0.7059875718555167,150.0,-3.7103424185479654,-40.0,2.2111220175100095
17.875293830400825,-0.7019275749878031,150.0,-3.6923424185477995,-40.0,2.193122017509484
17.16725233325704,-0.6971570632087299,150.0,-3.6723424185476152,-40.0,2.1731220175089
16.804638008812898,-0.6921179254529107,150.0,-3.652342418547431,-40.0,2.153122017508316
16.44199670893513,-0.6868198705084702,150.0,-3.6323424185472466,-40.0,2.1331220175077297
16.546679884338154,-0.681835328391854,150.0,-3.6143424185470807,-40.0,2.1151220175072
15.743831021715494,-0.6760595900137026,150.0,-3.5943424185468964,-40.0,2.0951220175066116
15.878408323377997,-0.6706507145264361,150.0,-3.5763424185467305,-40.0,2.077122017506082
15.032069676126344,-0.6644136529537498,150.0,-3.556342418546546,-40.0,2.0571220175054936
14.653676491041889,-0.657942168430767,150.0,-3.536342418546362,-40.0,2.037122017504905
14.840007201075284,-0.6519251605582904,150.0,-3.518342418546196,-40.0,2.0191220175043756
