time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
0.004,0.000162,0.002426,-0.001417,0.000053,-0.000205,0.004190,0.000015,-31.900054,0.003744
0.014,0.000163,0.002424,-0.001374,0.000055,-0.000204,0.004293,0.000015,-31.900054,0.003744
0.024,0.000163,0.002422,-0.001330,0.000056,-0.000203,0.004398,0.000015,-31.900054,0.003744
0.034,0.000164,0.002420,-0.001285,0.000058,-0.000201,0.004506,0.000015,-31.900054,0.003744
0.044,0.000164,0.002417,-0.001239,0.000060,-0.000258,0.004638,0.000000,-31.939790,-0.000000
0.054,0.000165,0.002414,-0.001191,0.000029,-0.000314,0.004773,-0.021445,-31.939501,0.000367
0.064,0.000164,0.002410,-0.001142,-0.000035,-0.000371,0.004911,-0.042729,-31.939213,0.000732
0.074,0.000163,0.002406,-0.001091,-0.000130,-0.000427,0.005051,-0.063852,-31.938928,0.001093
0.084,0.000160,0.002401,-0.001039,-0.000257,-0.000483,0.005195,-0.084815,-31.938644,0.001452
0.094,0.000156,0.002396,-0.000986,-0.000416,-0.000540,0.005342,-0.105618,-31.938363,0.001809
0.104,0.000150,0.002390,-0.000931,-0.000637,-0.000596,0.005492,-0.146747,-31.937808,0.002513
0.114,0.000141,0.002383,-0.000874,-0.000890,-0.000652,0.005646,-0.167073,-31.937533,0.002861
0.124,0.000129,0.002376,-0.000816,-0.001172,-0.000709,0.005802,-0.187241,-31.937261,0.003206
0.134,0.000114,0.002368,-0.000757,-0.001485,-0.000765,0.005963,-0.207251,-31.936990,0.003548
0.144,0.000096,0.002360,-0.000696,-0.001829,-0.000821,0.006126,-0.227104,-31.936723,0.003888
0.154,0.000074,0.002351,-0.000633,-0.002202,-0.000878,0.006293,-0.246800,-31.936457,0.004225
0.164,0.000048,0.002342,-0.000568,-0.002604,-0.000934,0.006464,-0.266339,-31.936193,0.004559
0.174,0.000018,0.002332,-0.000502,-0.003037,-0.000990,0.006638,-0.285722,-31.935932,0.004890
0.184,-0.000017,0.002322,-0.000433,-0.003498,-0.001046,0.006816,-0.304949,-31.935673,0.005218
0.194,-0.000057,0.002311,-0.000363,-0.003988,-0.001102,0.006998,-0.324021,-31.935416,0.005544
0.204,-0.000102,0.002299,-0.000292,-0.004507,-0.001158,0.007184,-0.342937,-31.935162,0.005866
0.214,-0.000153,0.002287,-0.000218,-0.005054,-0.001215,0.007373,-0.361700,-31.934910,0.006186
0.224,-0.000209,0.002274,-0.000142,-0.005630,-0.001271,0.007567,-0.380308,-31.934660,0.006503
0.234,-0.000271,0.002261,-0.000065,-0.006233,-0.001327,0.007765,-0.398762,-31.934413,0.006817
0.244,-0.000340,0.002247,0.000015,-0.006865,-0.001383,0.007968,-0.417063,-31.934168,0.007128
0.254,-0.000415,0.002233,0.000097,-0.007523,-0.001439,0.008174,-0.435211,-31.933925,0.007436
0.264,-0.000497,0.002218,0.000181,-0.008210,-0.001495,0.008385,-0.453206,-31.933685,0.007741
0.274,-0.000587,0.002202,0.000267,-0.008923,-0.001551,0.008601,-0.471049,-31.933448,0.008043
0.284,-0.000683,0.002186,0.000355,-0.009662,-0.001607,0.008821,-0.488741,-31.933213,0.008342
0.294,-0.000788,0.002170,0.000445,-0.010429,-0.001663,0.009046,-0.506281,-31.932980,0.008638
0.304,-0.000900,0.002152,0.000538,-0.011222,-0.001718,0.009276,-0.523670,-31.932750,0.008931
0.314,-0.001020,0.002135,0.000633,-0.012041,-0.001774,0.009511,-0.540908,-31.932522,0.009220
0.324,-0.001149,0.002116,0.000731,-0.012885,-0.001830,0.009751,-0.557997,-31.932297,0.009507
0.335,-0.001287,0.002098,0.000831,-0.013756,-0.001886,0.009997,-0.574935,-31.932075,0.009790
0.345,-0.001433,0.002078,0.000933,-0.014652,-0.001942,0.010247,-0.591725,-31.931855,0.010070
0.354,-0.001589,0.002058,0.001038,-0.015573,-0.001997,0.010504,-0.608365,-31.931638,0.010347
0.365,-0.001754,0.002038,0.001146,-0.016519,-0.002053,0.010765,-0.624857,-31.931424,0.010621
0.374,-0.001929,0.002017,0.001256,-0.017489,-0.002109,0.011033,-0.641201,-31.931213,0.010891
0.384,-0.002114,0.001995,0.001369,-0.018485,-0.002164,0.011307,-0.657397,-31.931004,0.011158
0.394,-0.002309,0.001973,0.001485,-0.019504,-0.002220,0.011586,-0.673446,-31.930798,0.011421
0.404,-0.002514,0.001950,0.001604,-0.020548,-0.002275,0.011872,-0.689348,-31.930595,0.011681
0.414,-0.002730,0.001927,0.001726,-0.021615,-0.002331,0.012164,-0.705103,-31.930395,0.011938
0.424,-0.002957,0.001903,0.001850,-0.022706,-0.002386,0.012462,-0.720712,-31.930198,0.012191
0.435,-0.003196,0.001878,0.001978,-0.023820,-0.002442,0.012768,-0.736176,-31.930004,0.012441
0.444,-0.003445,0.001853,0.002109,-0.024958,-0.002497,0.013080,-0.751494,-31.929813,0.012687
0.454,-0.003706,0.001828,0.002243,-0.026118,-0.002552,0.013399,-0.766667,-31.929624,0.012930
0.464,-0.003979,0.001802,0.002380,-0.027301,-0.002608,0.013725,-0.781696,-31.929439,0.013168
0.474,-0.004265,0.001775,0.002520,-0.028507,-0.002663,0.014059,-0.796581,-31.929257,0.013404
0.484,-0.004265,0.001775,0.002520,-0.028507,-0.002663,0.014059,-0.796581,-31.929257,0.013404
0.494,-0.004872,0.001720,0.002812,-0.030984,-0.002773,0.014749,-0.825920,-31.928903,0.013863
0.504,-0.005194,0.001692,0.002963,-0.032256,-0.002828,0.015106,-0.840375,-31.928731,0.014087
0.514,-0.005194,0.001692,0.002963,-0.032256,-0.002828,0.015106,-0.840375,-31.928731,0.014087
0.525,-0.005878,0.001634,0.003276,-0.034864,-0.002938,0.015844,-0.868857,-31.928396,0.014523
