time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
0.007,-0.013022,0.784459,1.569348,0.000009,-0.000113,0.000363,-0.000005,-26.628081,-4.768386
0.017,-0.013022,0.784457,1.569352,0.000009,-0.000112,0.000357,-0.000005,-26.628081,-4.768386
0.027,-0.013022,0.784456,1.569355,0.000009,-0.000111,0.000350,-0.000005,-26.628081,-4.768386
0.037,-0.013036,0.784317,1.571141,-0.001349,-0.013903,0.178579,-0.187147,-14.143359,11.489196
0.047,-0.012691,0.785398,1.551141,0.034496,0.108089,-2.000000,12.184647,-214.707860,-209.429959
0.057,-0.012072,0.785398,1.531141,0.061857,0.000000,-2.000000,12.253538,-109.884367,-18.801007
0.067,-0.011332,0.785398,1.511141,0.074063,0.000000,-2.000000,8.241387,-26.091283,-4.847667
0.077,-0.010492,0.785398,1.491141,0.084012,0.000000,-2.000000,6.809867,-26.276123,-4.956491
0.087,-0.009570,0.785398,1.471141,0.092136,0.000000,-2.000000,5.649912,-26.436022,-5.059477
0.097,-0.008585,0.785398,1.451141,0.098539,0.000000,-2.000000,4.554240,-26.587917,-5.159095
0.107,-0.007552,0.785398,1.431141,0.103308,0.000000,-2.000000,3.509562,-26.732972,-5.255509
0.117,-0.006486,0.785398,1.411141,0.106533,0.000000,-2.000000,2.519642,-26.870967,-5.348687
0.127,-0.005403,0.785398,1.391141,0.108310,0.000000,-2.000000,1.588907,-27.001617,-5.438592
0.137,-0.004316,0.785398,1.371141,0.108742,0.000000,-2.000000,0.720994,-27.124691,-5.525201
0.147,-0.003236,0.785398,1.351141,0.107934,0.000000,-2.000000,-0.081312,-27.240019,-5.608498
0.157,-0.002177,0.785398,1.331141,0.105993,0.000000,-2.000000,-0.816210,-27.347504,-5.688485
0.167,-0.001146,0.785398,1.311141,0.103028,0.000000,-2.000000,-1.482504,-27.447090,-5.765170
0.177,-0.000155,0.785398,1.291141,0.099148,0.000000,-2.000000,-2.079842,-27.538786,-5.838570
0.187,0.000790,0.785398,1.271141,0.094461,0.000000,-2.000000,-2.608530,-27.622647,-5.908712
0.197,0.001681,0.785398,1.251141,0.089072,0.000000,-2.000000,-3.069469,-27.698774,-5.975630
0.207,0.002511,0.785398,1.231141,0.083085,0.000000,-2.000000,-3.464109,-27.767310,-6.039362
0.217,0.003277,0.785398,1.211141,0.076599,0.000000,-2.000000,-3.794387,-27.828434,-6.099952
0.227,0.003974,0.785398,1.191141,0.069709,0.000000,-2.000000,-4.062692,-27.882359,-6.157448
0.238,0.004600,0.785398,1.171141,0.062508,0.000000,-2.000000,-4.271726,-27.929323,-6.211899
0.247,0.005150,0.785398,1.151141,0.055080,0.000000,-2.000000,-4.424519,-27.969590,-6.263357
0.257,0.005625,0.785398,1.131141,0.047507,0.000000,-2.000000,-4.524430,-28.003445,-6.311873
0.267,0.006024,0.785398,1.111141,0.039864,0.000000,-2.000000,-4.574891,-28.031181,-6.357498
0.277,0.006346,0.785398,1.091141,0.032220,0.000000,-2.000000,-4.579557,-28.053106,-6.400283
0.287,0.006593,0.785398,1.071141,0.024638,0.000000,-2.000000,-4.542174,-28.069534,-6.440275
0.297,0.006764,0.785398,1.051141,0.017177,0.000000,-2.000000,-4.466549,-28.080780,-6.477519
0.307,0.006863,0.785398,1.031141,0.009887,0.000000,-2.000000,-4.356508,-28.087161,-6.512058
0.317,0.006891,0.785398,1.011141,0.002815,0.000000,-2.000000,-4.215855,-28.088986,-6.543929
0.327,0.006851,0.785398,0.991141,-0.003999,0.000000,-2.000000,-4.048360,-28.086562,-6.573168
0.337,0.006746,0.785398,0.971141,-0.010521,0.000000,-2.000000,-3.857682,-28.080182,-6.599803
0.347,0.006579,0.785398,0.951141,-0.016723,0.000000,-2.000000,-3.647417,-28.070132,-6.623863
0.357,0.006353,0.785398,0.931141,-0.022580,0.000000,-2.000000,-3.421000,-28.056683,-6.645368
0.367,0.006072,0.785398,0.911141,-0.028073,0.000000,-2.000000,-3.181718,-28.040089,-6.664336
0.377,0.005741,0.785398,0.891141,-0.033189,0.000000,-2.000000,-2.932708,-28.020591,-6.680781
0.388,0.005361,0.785398,0.871141,-0.037917,0.000000,-2.000000,-2.676907,-27.998411,-6.694713
0.397,0.004939,0.785398,0.851141,-0.042253,0.000000,-2.000000,-2.417072,-27.973755,-6.706137
0.407,0.004477,0.785398,0.831141,-0.046194,0.000000,-2.000000,-2.155788,-27.946814,-6.715058
0.417,0.003980,0.785398,0.811141,-0.049742,0.000000,-2.000000,-1.895344,-27.917752,-6.721474
0.427,0.003450,0.785398,0.791141,-0.052901,0.000000,-2.000000,-1.637996,-27.886729,-6.725384
0.437,0.002894,0.785398,0.771141,-0.055680,0.000000,-2.000000,-1.385572,-27.853873,-6.726783
0.447,0.002313,0.785398,0.751141,-0.058089,0.000000,-2.000000,-1.139856,-27.819306,-6.725665
0.457,0.001711,0.785398,0.731141,-0.060140,0.000000,-2.000000,-0.902369,-27.783129,-6.722020
0.467,0.001093,0.785398,0.711141,-0.061848,0.000000,-2.000000,-0.674437,-27.745430,-6.715842
0.477,0.000461,0.785398,0.691141,-0.063228,0.000000,-2.000000,-0.457197,-27.706280,-6.707121
0.487,-0.000182,0.785398,0.671141,-0.064298,0.000000,-2.000000,-0.251560,-27.665737,-6.695846
0.497,-0.000833,0.785398,0.651141,-0.065076,0.000000,-2.000000,-0.058312,-27.623847,-6.682009
0.507,-0.001489,0.785398,0.631141,-0.065582,0.000000,-2.000000,0.121956,-27.580645,-6.665600
0.517,-0.002147,0.785398,0.611141,-0.065835,0.000000,-2.000000,0.288844,-27.536154,-6.646612
0.527,-0.002806,0.785398,0.591141,-0.065857,0.000000,-2.000000,0.441986,-27.490392,-6.625036
0.537,-0.003462,0.785398,0.571141,-0.065666,0.000000,-2.000000,0.581355,-27.443359,-6.600867
0.547,-0.004115,0.785398,0.551141,-0.065285,0.000000,-2.000000,0.706889,-27.395056,-6.574101
0.557,-0.004763,0.785398,0.531141,-0.064733,0.000000,-2.000000,0.818681,-27.345477,-6.544734
0.567,-0.005403,0.785398,0.511141,-0.064029,0.000000,-2.000000,0.917036,-27.294603,-6.512765
0.577,-0.006035,0.785398,0.491141,-0.063195,0.000000,-2.000000,1.002136,-27.242425,-6.478194
0.587,-0.006657,0.785398,0.471141,-0.062248,0.000000,-2.000000,1.074503,-27.188913,-6.441025
0.597,-0.007269,0.785398,0.451141,-0.061206,0.000000,-2.000000,1.134574,-27.134046,-6.401263
0.607,-0.007870,0.785398,0.431141,-0.060087,0.000000,-2.000000,1.182841,-27.077799,-6.358915
0.617,-0.008459,0.785398,0.411141,-0.058908,0.000000,-2.000000,1.220024,-27.020138,-6.313989
