time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
0.007,-0.000211,-3.926991,-0.003713,0.000029,-0.000000,-0.000206,-0.000025,18.512091,-4.773176
0.017,-0.000210,-3.926991,-0.003715,0.000028,-0.000000,-0.000196,-0.000025,18.512091,-4.773176
0.027,-0.000210,-3.926991,-0.003717,0.000028,-0.000000,-0.000187,-0.000025,18.512091,-4.773176
0.037,-0.000210,-3.926991,-0.003719,0.000028,-0.000000,-0.000177,-0.000025,18.512091,-4.773176
0.047,-0.000209,-3.926990,-0.003720,0.000024,0.000038,-0.000089,0.000000,18.547673,-4.761363
0.057,-0.000209,-3.926989,-0.003720,0.000019,0.000132,-0.000001,0.002716,18.587503,-4.755783
0.067,-0.000209,-3.926986,-0.003719,0.000015,0.000280,0.000087,0.005412,18.627048,-4.750242
0.077,-0.000209,-3.926981,-0.003717,0.000011,0.000482,0.000176,0.008087,18.666325,-4.744738
0.087,-0.000209,-3.926974,-0.003715,0.000006,0.000738,0.000264,0.010742,18.705347,-4.739268
0.097,-0.000209,-3.926964,-0.003711,0.000002,0.001048,0.000352,0.013377,18.744130,-4.733829
0.107,-0.000209,-3.926950,-0.003707,-0.000003,0.001410,0.000440,0.015991,18.782690,-4.728419
0.117,-0.000209,-3.926931,-0.003701,-0.000007,0.001824,0.000528,0.018585,18.821040,-4.723035
0.127,-0.000209,-3.926908,-0.003695,-0.000011,0.002291,0.000615,0.021159,18.859196,-4.717674
0.137,-0.000209,-3.926880,-0.003688,-0.000015,0.002810,0.000703,0.023712,18.897173,-4.712334
0.147,-0.000209,-3.926846,-0.003680,-0.000020,0.003379,0.000790,0.026245,18.934984,-4.707013
0.157,-0.000210,-3.926806,-0.003671,-0.000024,0.003999,0.000876,0.028757,18.972644,-4.701707
0.167,-0.000210,-3.926760,-0.003662,-0.000028,0.004670,0.000962,0.031249,19.010167,-4.696415
0.177,-0.000210,-3.926706,-0.003651,-0.000032,0.005391,0.001048,0.033721,19.047569,-4.691134
0.187,-0.000211,-3.926644,-0.003640,-0.000036,0.006161,0.001133,0.036171,19.084862,-4.685861
0.197,-0.000211,-3.926574,-0.003628,-0.000040,0.006980,0.001218,0.038601,19.122061,-4.680594
0.207,-0.000212,-3.926496,-0.003615,-0.000044,0.007849,0.001302,0.041011,19.159179,-4.675331
0.217,-0.000212,-3.926408,-0.003601,-0.000048,0.008765,0.001386,0.043399,19.196231,-4.670070
0.227,-0.000213,-3.926311,-0.003586,-0.000052,0.009729,0.001469,0.045766,19.233230,-4.664807
0.237,-0.000213,-3.926204,-0.003571,-0.000056,0.010741,0.001551,0.048113,19.270189,-4.659541
0.247,-0.000214,-3.926086,-0.003554,-0.000060,0.011800,0.001632,0.050438,19.307122,-4.654269
0.257,-0.000214,-3.925957,-0.003537,-0.000064,0.012906,0.001713,0.052742,19.344042,-4.648990
0.267,-0.000215,-3.925816,-0.003519,-0.000068,0.014057,0.001792,0.055024,19.380962,-4.643700
0.277,-0.000216,-3.925663,-0.003501,-0.000071,0.015255,0.001871,0.057285,19.417896,-4.638397
0.287,-0.000216,-3.925498,-0.003481,-0.000075,0.016498,0.001949,0.059524,19.454856,-4.633080
0.297,-0.000217,-3.925321,-0.003461,-0.000079,0.017787,0.002026,0.061741,19.491856,-4.627746
0.307,-0.000218,-3.925129,-0.003440,-0.000082,0.019120,0.002102,0.063937,19.528907,-4.622393
0.317,-0.000219,-3.924924,-0.003418,-0.000086,0.020497,0.002177,0.066110,19.566023,-4.617018
0.327,-0.000220,-3.924705,-0.003396,-0.000089,0.021918,0.002251,0.068261,19.603216,-4.611620
0.337,-0.000221,-3.924471,-0.003372,-0.000093,0.023382,0.002324,0.070389,19.640498,-4.606196
0.347,-0.000222,-3.924223,-0.003348,-0.000096,0.024890,0.002395,0.072495,19.677881,-4.600744
0.357,-0.000223,-3.923958,-0.003324,-0.000099,0.026440,0.002466,0.074578,19.715379,-4.595263
0.367,-0.000224,-3.923678,-0.003298,-0.000102,0.028033,0.002535,0.076638,19.753002,-4.589749
0.377,-0.000225,-3.923381,-0.003272,-0.000105,0.029667,0.002603,0.078675,19.790762,-4.584202
0.387,-0.000226,-3.923068,-0.003246,-0.000109,0.031343,0.002669,0.080689,19.828672,-4.578618
0.397,-0.000227,-3.922737,-0.003218,-0.000112,0.033061,0.002735,0.082679,19.866743,-4.572996
0.407,-0.000228,-3.922389,-0.003190,-0.000115,0.034818,0.002799,0.084646,19.904986,-4.567333
0.417,-0.000229,-3.922023,-0.003162,-0.000117,0.036617,0.002861,0.086588,19.943414,-4.561629
0.427,-0.000231,-3.921638,-0.003133,-0.000120,0.038455,0.002923,0.088507,19.982036,-4.555880
0.437,-0.000232,-3.921235,-0.003103,-0.000123,0.040332,0.002982,0.090401,20.020864,-4.550085
0.447,-0.000233,-3.920812,-0.003072,-0.000126,0.042249,0.003041,0.092270,20.059910,-4.544241
0.457,-0.000234,-3.920370,-0.003041,-0.000128,0.044205,0.003097,0.094115,20.099183,-4.538347
0.467,-0.000236,-3.919908,-0.003010,-0.000131,0.046199,0.003152,0.095935,20.138696,-4.532401
0.477,-0.000237,-3.919426,-0.002978,-0.000133,0.048232,0.003206,0.097730,20.178457,-4.526400
0.487,-0.000238,-3.918923,-0.002945,-0.000136,0.050301,0.003258,0.099500,20.218479,-4.520343
0.498,-0.000240,-3.918399,-0.002912,-0.000138,0.052409,0.003308,0.101244,20.258771,-4.514229
0.507,-0.000241,-3.917853,-0.002879,-0.000140,0.054553,0.003357,0.102962,20.299343,-4.508054
0.517,-0.000242,-3.917286,-0.002845,-0.000142,0.056733,0.003404,0.104654,20.340205,-4.501817
0.527,-0.000244,-3.916697,-0.002810,-0.000144,0.058950,0.003449,0.106320,20.381368,-4.495516
0.537,-0.000245,-3.916085,-0.002775,-0.000146,0.061203,0.003493,0.107959,20.422841,-4.489149
0.547,-0.000247,-3.915450,-0.002740,-0.000148,0.063491,0.003534,0.109571,20.464634,-4.482715
0.557,-0.000248,-3.914791,-0.002704,-0.000150,0.065814,0.003574,0.111157,20.506756,-4.476211
0.567,-0.000250,-3.914110,-0.002668,-0.000152,0.068172,0.003612,0.112715,20.549217,-4.469635
0.577,-0.000251,-3.913404,-0.002631,-0.000153,0.070564,0.003649,0.114246,20.592025,-4.462987
0.587,-0.000253,-3.912674,-0.002595,-0.000155,0.072990,0.003683,0.115749,20.635191,-4.456262
0.597,-0.000255,-3.911920,-0.002557,-0.000156,0.075450,0.003716,0.117224,20.678722,-4.449461
0.607,-0.000256,-3.911140,-0.002520,-0.000158,0.077942,0.003746,0.118671,20.722628,-4.442581
0.617,-0.000258,-3.910336,-0.002482,-0.000159,0.080468,0.003775,0.120090,20.766917,-4.435620
0.627,-0.000259,-3.909505,-0.002444,-0.000160,0.083027,0.003802,0.121480,20.811598,-4.428576
0.637,-0.000261,-3.908649,-0.002406,-0.000161,0.085617,0.003826,0.122840,20.856679,-4.421447
0.647,-0.000263,-3.907767,-0.002367,-0.000163,0.088239,0.003849,0.124172,20.902169,-4.414233
0.657,-0.000264,-3.906858,-0.002329,-0.000163,0.090893,0.003870,0.125474,20.948074,-4.406930
0.667,-0.000266,-3.905922,-0.002290,-0.000164,0.093578,0.003889,0.126746,20.994404,-4.399537
0.677,-0.000267,-3.904959,-0.002251,-0.000165,0.096293,0.003905,0.127989,21.041165,-4.392051
0.687,-0.000269,-3.903969,-0.002212,-0.000166,0.099039,0.003920,0.129201,21.088366,-4.384473
0.697,-0.000271,-3.902951,-0.002172,-0.000166,0.101815,0.003932,0.130382,21.136014,-4.376798
0.707,-0.000272,-3.901904,-0.002133,-0.000167,0.104621,0.003943,0.131533,21.184115,-4.369026
0.717,-0.000274,-3.900830,-0.002093,-0.000167,0.107456,0.003951,0.132652,21.232678,-4.361155
0.727,-0.000276,-3.899727,-0.002054,-0.000168,0.110320,0.003957,0.133740,21.281709,-4.353183
0.737,-0.000278,-3.898595,-0.002014,-0.000168,0.113213,0.003961,0.134797,21.331214,-4.345108
0.747,-0.000279,-3.897433,-0.001975,-0.000168,0.116133,0.003963,0.135821,21.381201,-4.336928
0.757,-0.000281,-3.896242,-0.001935,-0.000168,0.119082,0.003963,0.136813,21.431675,-4.328641
0.767,-0.000283,-3.895022,-0.001895,-0.000168,0.122059,0.003961,0.137773,21.482644,-4.320246
0.777,-0.000284,-3.893771,-0.001856,-0.000168,0.125063,0.003956,0.138700,21.534112,-4.311741
0.787,-0.000286,-3.892490,-0.001816,-0.000168,0.128094,0.003950,0.139594,21.586086,-4.303123
0.797,-0.000288,-3.891179,-0.001777,-0.000167,0.131151,0.003941,0.140455,21.638572,-4.294392
0.807,-0.000289,-3.889836,-0.001737,-0.000167,0.134235,0.003930,0.141282,21.691576,-4.285545
0.817,-0.000291,-3.888463,-0.001698,-0.000166,0.137344,0.003916,0.142075,21.745101,-4.276580
0.827,-0.000293,-3.887058,-0.001659,-0.000166,0.140479,0.003901,0.142833,21.799155,-4.267496
0.837,-0.000294,-3.885622,-0.001620,-0.000165,0.143640,0.003883,0.143558,21.853741,-4.258290
0.847,-0.000296,-3.884153,-0.001582,-0.000164,0.146825,0.003863,0.144247,21.908865,-4.248961
0.857,-0.000297,-3.882653,-0.001543,-0.000163,0.150036,0.003841,0.144901,21.964532,-4.239508
0.867,-0.000299,-3.881120,-0.001505,-0.000162,0.153270,0.003817,0.145520,22.020745,-4.229927
0.877,-0.000301,-3.879555,-0.001467,-0.000161,0.156528,0.003790,0.146104,22.077509,-4.220217
0.887,-0.000302,-3.877957,-0.001430,-0.000160,0.159810,0.003762,0.146651,22.134828,-4.210377
0.897,-0.000304,-3.876326,-0.001392,-0.000159,0.163116,0.003731,0.147162,22.192706,-4.200405
0.907,-0.000305,-3.874661,-0.001355,-0.000158,0.166444,0.003697,0.147636,22.251147,-4.190298
0.917,-0.000307,-3.872963,-0.001319,-0.000156,0.169795,0.003662,0.148073,22.310154,-4.180055
0.927,-0.000309,-3.871232,-0.001283,-0.000155,0.173168,0.003624,0.148474,22.369731,-4.169673
0.937,-0.000310,-3.869466,-0.001247,-0.000153,0.176564,0.003585,0.148836,22.429881,-4.159152
0.947,-0.000312,-3.867666,-0.001211,-0.000151,0.179981,0.003543,0.149161,22.490606,-4.148489
0.957,-0.000313,-3.865832,-0.001176,-0.000150,0.183420,0.003498,0.149448,22.551910,-4.137682
0.967,-0.000315,-3.863963,-0.001142,-0.000148,0.186879,0.003452,0.149696,22.613795,-4.126729
0.977,-0.000316,-3.862060,-0.001108,-0.000146,0.190360,0.003403,0.149905,22.676263,-4.115629
0.987,-0.000318,-3.860121,-0.001074,-0.000144,0.193861,0.003353,0.150076,22.739317,-4.104379
0.997,-0.000319,-3.858147,-0.001041,-0.000142,0.197382,0.003300,0.150207,22.802958,-4.092978
1.007,-0.000320,-3.856138,-0.001009,-0.000140,0.200923,0.003245,0.150298,22.867188,-4.081423
1.017,-0.000322,-3.854093,-0.000977,-0.000138,0.204484,0.003188,0.150349,22.932009,-4.069713
1.027,-0.000323,-3.852013,-0.000946,-0.000135,0.208064,0.003128,0.150360,22.997422,-4.057846
1.037,-0.000324,-3.849896,-0.000915,-0.000133,0.211663,0.003067,0.150330,23.063429,-4.045820
1.047,-0.000326,-3.847743,-0.000885,-0.000130,0.215280,0.003004,0.150260,23.130029,-4.033633
1.057,-0.000327,-3.845554,-0.000856,-0.000128,0.218916,0.002938,0.150148,23.197224,-4.021282
1.067,-0.000328,-3.843328,-0.000827,-0.000125,0.222570,0.002870,0.149994,23.265014,-4.008767
1.077,-0.000329,-3.841066,-0.000799,-0.000123,0.226242,0.002801,0.149798,23.333399,-3.996085
1.087,-0.000331,-3.838766,-0.000771,-0.000128,0.230022,0.002767,0.149281,23.471956,-3.970211
1.097,-0.000332,-3.836427,-0.000744,-0.000133,0.233821,0.002732,0.148957,23.542127,-3.957016
1.107,-0.000333,-3.834052,-0.000717,-0.000130,0.237544,0.002657,0.148957,23.542127,-3.957016
1.117,-0.000335,-3.831638,-0.000691,-0.000136,0.241377,0.002620,0.148181,23.684251,-3.930100
1.128,-0.000336,-3.829186,-0.000665,-0.000141,0.245226,0.002583,0.147728,23.756201,-3.916374
1.137,-0.000338,-3.826695,-0.000640,-0.000147,0.249093,0.002545,0.147230,23.828743,-3.902468
1.147,-0.000339,-3.824165,-0.000615,-0.000152,0.252975,0.002506,0.146688,23.901874,-3.888379
1.157,-0.000341,-3.821597,-0.000590,-0.000158,0.256874,0.002467,0.146101,23.975592,-3.874105
1.167,-0.000342,-3.818989,-0.000566,-0.000163,0.260788,0.002426,0.145469,24.049896,-3.859644
1.177,-0.000344,-3.816342,-0.000542,-0.000169,0.264717,0.002385,0.144792,24.124784,-3.844994
1.187,-0.000346,-3.813655,-0.000519,-0.000174,0.268661,0.002344,0.144069,24.200252,-3.830154
1.197,-0.000348,-3.810929,-0.000496,-0.000180,0.272619,0.002302,0.143300,24.276298,-3.815121
1.207,-0.000349,-3.808163,-0.000473,-0.000185,0.276592,0.002259,0.142484,24.352919,-3.799892
1.217,-0.000351,-3.805357,-0.000451,-0.000190,0.280579,0.002215,0.141623,24.430112,-3.784467
1.227,-0.000353,-3.802511,-0.000429,-0.000196,0.284579,0.002171,0.140714,24.507874,-3.768843
1.237,-0.000355,-3.799625,-0.000408,-0.000201,0.288593,0.002126,0.139758,24.586200,-3.753018
1.247,-0.000357,-3.796699,-0.000387,-0.000207,0.292620,0.002080,0.138754,24.665087,-3.736990
1.257,-0.000359,-3.793732,-0.000367,-0.000212,0.296659,0.002034,0.137703,24.744530,-3.720757
1.267,-0.000362,-3.790725,-0.000347,-0.000217,0.300711,0.001988,0.136603,24.824526,-3.704317
1.277,-0.000364,-3.787678,-0.000327,-0.000223,0.304775,0.001941,0.135455,24.905068,-3.687668
1.287,-0.000366,-3.784589,-0.000308,-0.000228,0.308851,0.001893,0.134259,24.986154,-3.670808
1.300,-0.000366,-3.784589,-0.000308,-0.000228,0.308851,0.001893,0.134259,24.986154,-3.670808
1.307,-0.000371,-3.778289,-0.000272,-0.000239,0.317036,0.001796,0.131719,25.149930,-3.636446
1.317,-0.000373,-3.775078,-0.000255,-0.000244,0.321145,0.001747,0.130374,25.232610,-3.618940
1.327,-0.000373,-3.775078,-0.000255,-0.000244,0.321145,0.001747,0.130374,25.232610,-3.618940
1.337,-0.000378,-3.768531,-0.000221,-0.000254,0.329394,0.001647,0.127536,25.399524,-3.583269
1.347,-0.000381,-3.765196,-0.000205,-0.000259,0.333534,0.001596,0.126041,25.483745,-3.565099
1.357,-0.000384,-3.761819,-0.000190,-0.000264,0.337683,0.001545,0.124496,25.568467,-3.546704
1.367,-0.000386,-3.758401,-0.000175,-0.000269,0.341842,0.001493,0.122900,25.653682,-3.528082
1.377,-0.000389,-3.754941,-0.000160,-0.000274,0.346009,0.001441,0.121253,25.739383,-3.509231
1.387,-0.000392,-3.751439,-0.000146,-0.000279,0.350186,0.001389,0.119554,25.825562,-3.490148
1.397,-0.000395,-3.747895,-0.000133,-0.000283,0.354371,0.001336,0.117804,25.912212,-3.470831
1.407,-0.000397,-3.744309,-0.000120,-0.000288,0.358564,0.001283,0.116002,25.999325,-3.451279
1.417,-0.000400,-3.740682,-0.000108,-0.000293,0.362765,0.001230,0.114148,26.086891,-3.431490
1.427,-0.000400,-3.740682,-0.000108,-0.000293,0.362765,0.001230,0.114148,26.086891,-3.431490
1.437,-0.000406,-3.733300,-0.000085,-0.000302,0.371189,0.001121,0.110283,26.263352,-3.391191
1.447,-0.000409,-3.729546,-0.000074,-0.000306,0.375411,0.001067,0.108271,26.352227,-3.370678
1.457,-0.000413,-3.725750,-0.000064,-0.000310,0.379641,0.001012,0.106206,26.441521,-3.349920
1.467,-0.000416,-3.721911,-0.000055,-0.000314,0.383876,0.000957,0.104088,26.531222,-3.328914
1.477,-0.000419,-3.718030,-0.000046,-0.000319,0.388118,0.000901,0.101917,26.621321,-3.307659
1.487,-0.000422,-3.714106,-0.000037,-0.000323,0.392366,0.000845,0.099693,26.711808,-3.286153
1.497,-0.000425,-3.710140,-0.000029,-0.000327,0.396619,0.000789,0.097414,26.802672,-3.264393
1.507,-0.000429,-3.706131,-0.000022,-0.000331,0.400878,0.000733,0.095082,26.893902,-3.242379
1.517,-0.000432,-3.702080,-0.000015,-0.000334,0.405142,0.000676,0.092696,26.985486,-3.220108
1.527,-0.000432,-3.702080,-0.000015,-0.000334,0.405142,0.000676,0.092696,26.985486,-3.220108
1.537,-0.000435,-3.697986,-0.000009,-0.000338,0.409410,0.000619,0.090255,27.077414,-3.197578
1.547,-0.000439,-3.693849,-0.000003,-0.000342,0.413683,0.000562,0.087760,27.169673,-3.174788
1.557,-0.000446,-3.685447,0.000006,-0.000348,0.422241,0.000447,0.082607,27.355138,-3.128417
1.567,-0.000446,-3.685447,0.000006,-0.000348,0.422241,0.000447,0.082607,27.355138,-3.128417
1.577,-0.000449,-3.681182,0.000010,-0.000352,0.426526,0.000389,0.079949,27.448318,-3.104834
1.587,-0.000456,-3.672522,0.000016,-0.000358,0.435105,0.000273,0.074467,27.635510,-3.056861
1.597,-0.000456,-3.672522,0.000016,-0.000358,0.435105,0.000273,0.074467,27.635510,-3.056861
1.607,-0.000460,-3.668128,0.000018,-0.000361,0.439399,0.000215,0.071644,27.729495,-3.032469
1.617,-0.000464,-3.663691,0.000020,-0.000364,0.443696,0.000156,0.068766,27.823721,-3.007803
1.628,-0.000467,-3.659211,0.000021,-0.000367,0.447994,0.000097,0.065833,27.918174,-2.982862
1.637,-0.000471,-3.654688,0.000021,-0.000369,0.452295,0.000038,0.062845,28.012839,-2.957644
1.647,-0.000475,-3.650122,0.000021,-0.000372,0.456598,-0.000021,0.059802,28.107703,-2.932148
1.657,-0.000478,-3.645513,0.000020,-0.000374,0.460903,-0.000080,0.056703,28.202749,-2.906372
1.667,-0.000482,-3.640861,0.000019,-0.000377,0.465208,-0.000140,0.053550,28.297963,-2.880315
1.677,-0.000486,-3.636166,0.000017,-0.000379,0.469515,-0.000200,0.050341,28.393329,-2.853974
1.687,-0.000490,-3.631428,0.000014,-0.000381,0.473823,-0.000260,0.047077,28.488831,-2.827348
1.697,-0.000494,-3.626647,0.000011,-0.000383,0.478131,-0.000319,0.043758,28.584454,-2.800436
1.707,-0.000498,-3.621822,0.000007,-0.000385,0.482439,-0.000380,0.040384,28.680180,-2.773237
1.717,-0.000501,-3.616955,0.000003,-0.000386,0.486748,-0.000440,0.036955,28.775993,-2.745747
1.727,-0.000505,-3.612044,-0.000002,-0.000388,0.491056,-0.000500,0.033471,28.871876,-2.717967
1.737,-0.000509,-3.607091,-0.000008,-0.000390,0.495364,-0.000561,0.029932,28.967811,-2.689895
1.747,-0.000513,-3.602094,-0.000014,-0.000391,0.499672,-0.000621,0.026339,29.063781,-2.661529
1.757,-0.000517,-3.597054,-0.000021,-0.000392,0.503978,-0.000682,0.022691,29.159769,-2.632868
1.767,-0.000521,-3.591971,-0.000028,-0.000393,0.508283,-0.000743,0.018989,29.255755,-2.603911
1.777,-0.000525,-3.586845,-0.000036,-0.000394,0.512587,-0.000804,0.015232,29.351722,-2.574656
1.787,-0.000529,-3.581677,-0.000045,-0.000395,0.516889,-0.000865,0.011421,29.447650,-2.545102
1.797,-0.000533,-3.576465,-0.000054,-0.000396,0.521190,-0.000927,0.007557,29.543521,-2.515249
1.807,-0.000537,-3.571210,-0.000064,-0.000397,0.525488,-0.000988,0.003639,29.639315,-2.485094
1.817,-0.000541,-3.565912,-0.000075,-0.000397,0.529784,-0.001050,-0.000332,29.735013,-2.454636
1.827,-0.000545,-3.560571,-0.000086,-0.000398,0.534078,-0.001111,-0.004357,29.830594,-2.423876
1.837,-0.000549,-3.555187,-0.000098,-0.000398,0.538368,-0.001173,-0.008435,29.926038,-2.392810
