time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
0.003,-0.030158,-3.926991,0.008880,-0.084389,-0.000000,0.005495,-0.240607,18.549164,-4.716730
0.013,-0.031006,-3.926991,0.008935,-0.084800,-0.000000,0.005509,-0.240607,18.549141,-4.716730
0.023,-0.031858,-3.926991,0.008990,-0.085212,-0.000000,0.005520,-0.240607,18.549118,-4.716730
0.034,-0.032714,-3.926991,0.009045,-0.085623,-0.000000,0.005528,-0.240607,18.549095,-4.716730
0.043,-0.033571,-3.926990,0.009095,-0.085619,0.000042,0.005019,0.000000,18.547673,-4.761363
0.053,-0.034427,-3.926989,0.009140,-0.085616,0.000139,0.004507,0.002716,18.587503,-4.755783
0.063,-0.035283,-3.926986,0.009180,-0.085612,0.000291,0.003993,0.005412,18.627048,-4.750242
0.073,-0.036139,-3.926981,0.009215,-0.085608,0.000497,0.003477,0.008087,18.666325,-4.744738
0.083,-0.036995,-3.926974,0.009245,-0.085605,0.000756,0.002959,0.010742,18.705347,-4.739268
0.093,-0.037851,-3.926963,0.009269,-0.085601,0.001069,0.002440,0.013377,18.744130,-4.733829
0.103,-0.038707,-3.926949,0.009288,-0.085597,0.001435,0.001919,0.015991,18.782690,-4.728419
0.113,-0.039563,-3.926930,0.009302,-0.085593,0.001853,0.001397,0.018585,18.821040,-4.723035
0.123,-0.040419,-3.926907,0.009311,-0.085589,0.002323,0.000875,0.021159,18.859196,-4.717674
0.133,-0.041275,-3.926878,0.009315,-0.085585,0.002844,0.000351,0.023712,18.897173,-4.712334
0.143,-0.042130,-3.926844,0.009313,-0.085581,0.003417,-0.000172,0.026245,18.934984,-4.707013
0.153,-0.042986,-3.926804,0.009306,-0.085577,0.004041,-0.000696,0.028757,18.972644,-4.701707
0.163,-0.043842,-3.926757,0.009294,-0.085572,0.004715,-0.001219,0.031249,19.010167,-4.696415
0.173,-0.044698,-3.926702,0.009276,-0.085568,0.005438,-0.001743,0.033721,19.047569,-4.691134
0.183,-0.045553,-3.926640,0.009254,-0.085563,0.006212,-0.002265,0.036171,19.084862,-4.685861
0.193,-0.046409,-3.926570,0.009226,-0.085559,0.007034,-0.002787,0.038601,19.122061,-4.680594
0.203,-0.047264,-3.926491,0.009193,-0.085554,0.007905,-0.003307,0.041011,19.159179,-4.675331
0.213,-0.048120,-3.926402,0.009154,-0.085549,0.008824,-0.003826,0.043399,19.196231,-4.670070
0.223,-0.048975,-3.926305,0.009111,-0.085545,0.009792,-0.004344,0.045766,19.233230,-4.664807
0.233,-0.049831,-3.926196,0.009062,-0.085540,0.010806,-0.004860,0.048113,19.270189,-4.659541
0.243,-0.050686,-3.926078,0.009009,-0.085534,0.011868,-0.005374,0.050438,19.307122,-4.654269
0.253,-0.051541,-3.925948,0.008950,-0.085529,0.012976,-0.005885,0.052742,19.344042,-4.648990
0.263,-0.052397,-3.925807,0.008886,-0.085524,0.014131,-0.006394,0.055024,19.380962,-4.643700
0.273,-0.053252,-3.925653,0.008817,-0.085518,0.015331,-0.006900,0.057285,19.417896,-4.638397
0.283,-0.054107,-3.925488,0.008743,-0.085513,0.016577,-0.007403,0.059524,19.454856,-4.633080
0.293,-0.054962,-3.925309,0.008664,-0.085507,0.017868,-0.007903,0.061741,19.491856,-4.627746
0.303,-0.055817,-3.925117,0.008580,-0.085501,0.019203,-0.008399,0.063937,19.528907,-4.622393
0.313,-0.056672,-3.924911,0.008491,-0.085495,0.020583,-0.008892,0.066110,19.566023,-4.617018
0.323,-0.057527,-3.924691,0.008397,-0.085489,0.022007,-0.009381,0.068261,19.603216,-4.611620
0.333,-0.058382,-3.924456,0.008298,-0.085482,0.023473,-0.009865,0.070389,19.640498,-4.606196
0.343,-0.059236,-3.924206,0.008195,-0.085476,0.024983,-0.010346,0.072495,19.677881,-4.600744
0.353,-0.060091,-3.923941,0.008087,-0.085469,0.026536,-0.010821,0.074578,19.715379,-4.595263
0.363,-0.060946,-3.923660,0.007974,-0.085462,0.028131,-0.011292,0.076638,19.753002,-4.589749
