time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
0.004,-0.002083,-3.923530,0.003415,0.000165,0.000154,-0.001036,-0.000155,18.631842,-4.724262
0.014,-0.002081,-3.923529,0.003404,0.000165,0.000147,-0.001034,-0.000155,18.631842,-4.724262
0.024,-0.002080,-3.923527,0.003394,0.000165,0.000139,-0.001032,-0.000155,18.631842,-4.724262
0.034,-0.002078,-3.923526,0.003384,0.000166,0.000132,-0.001029,-0.000155,18.631842,-4.724262
0.044,-0.002076,-3.923526,0.003371,0.000177,0.000048,-0.001316,0.000000,18.547673,-4.761363
0.054,-0.002074,-3.923525,0.003355,0.000188,0.000019,-0.001603,0.002716,18.587503,-4.755783
0.064,-0.002072,-3.923525,0.003336,0.000199,0.000045,-0.001888,0.005412,18.627048,-4.750242
0.074,-0.002070,-3.923524,0.003314,0.000210,0.000125,-0.002173,0.008087,18.666325,-4.744738
0.084,-0.002068,-3.923521,0.003289,0.000221,0.000259,-0.002457,0.010742,18.705347,-4.739268
0.094,-0.002066,-3.923517,0.003262,0.000232,0.000446,-0.002740,0.013377,18.744130,-4.733829
0.104,-0.002063,-3.923510,0.003232,0.000242,0.000686,-0.003022,0.015991,18.782690,-4.728419
0.114,-0.002061,-3.923500,0.003199,0.000253,0.000979,-0.003302,0.018585,18.821040,-4.723035
0.124,-0.002058,-3.923487,0.003163,0.000264,0.001325,-0.003580,0.021159,18.859196,-4.717674
0.134,-0.002056,-3.923470,0.003124,0.000275,0.001722,-0.003857,0.023712,18.897173,-4.712334
0.144,-0.002053,-3.923448,0.003083,0.000286,0.002171,-0.004132,0.026245,18.934984,-4.707013
0.154,-0.002050,-3.923421,0.003039,0.000297,0.002672,-0.004405,0.028757,18.972644,-4.701707
0.164,-0.002047,-3.923389,0.002992,0.000308,0.003223,-0.004676,0.031249,19.010167,-4.696415
0.174,-0.002043,-3.923351,0.002943,0.000319,0.003824,-0.004944,0.033721,19.047569,-4.691134
0.184,-0.002040,-3.923306,0.002891,0.000329,0.004476,-0.005210,0.036171,19.084862,-4.685861
0.194,-0.002037,-3.923254,0.002836,0.000340,0.005177,-0.005474,0.038601,19.122061,-4.680594
0.204,-0.002033,-3.923195,0.002779,0.000351,0.005928,-0.005735,0.041011,19.159179,-4.675331
0.214,-0.002030,-3.923128,0.002719,0.000361,0.006727,-0.005993,0.043399,19.196231,-4.670070
0.224,-0.002026,-3.923052,0.002656,0.000372,0.007576,-0.006248,0.045766,19.233230,-4.664807
0.234,-0.002022,-3.922967,0.002591,0.000382,0.008472,-0.006500,0.048113,19.270189,-4.659541
0.244,-0.002018,-3.922873,0.002524,0.000393,0.009417,-0.006749,0.050438,19.307122,-4.654269
0.255,-0.002014,-3.922769,0.002454,0.000403,0.010409,-0.006995,0.052742,19.344042,-4.648990
0.264,-0.002010,-3.922654,0.002381,0.000413,0.011448,-0.007237,0.055024,19.380962,-4.643700
0.274,-0.002006,-3.922529,0.002307,0.000423,0.012534,-0.007476,0.057285,19.417896,-4.638397
0.284,-0.002001,-3.922392,0.002230,0.000433,0.013667,-0.007711,0.059524,19.454856,-4.633080
0.294,-0.001997,-3.922244,0.002150,0.000443,0.014845,-0.007942,0.061741,19.491856,-4.627746
0.304,-0.001992,-3.922083,0.002068,0.000453,0.016070,-0.008169,0.063937,19.528907,-4.622393
0.314,-0.001988,-3.921910,0.001985,0.000462,0.017339,-0.008393,0.066110,19.566023,-4.617018
0.324,-0.001983,-3.921723,0.001898,0.000472,0.018654,-0.008612,0.068261,19.603216,-4.611620
0.334,-0.001978,-3.921523,0.001810,0.000482,0.020013,-0.008827,0.070389,19.640498,-4.606196
