time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
0.005,-0.000029,-0.002587,-0.785398,0.000007,0.000752,-0.000000,0.000002,-27.137871,4.769198
0.015,-0.000029,-0.002580,-0.785398,0.000007,0.000757,-0.000000,0.000002,-27.137871,4.769165
0.025,-0.000029,-0.002572,-0.785398,0.000007,0.000761,-0.000000,0.000002,-27.137871,4.769133
0.035,-0.000029,-0.002564,-0.785398,0.000007,0.000766,-0.000000,0.000002,-27.137871,4.769100
0.045,-0.000028,-0.002557,-0.785398,0.000007,0.000711,-0.000000,0.000000,-27.178427,4.764287
0.055,-0.000028,-0.002551,-0.785398,0.000006,0.000660,0.000024,-0.000438,-27.174001,4.766942
0.065,-0.000028,-0.002545,-0.785397,0.000005,0.000609,0.000102,-0.000873,-27.169611,4.772477
0.075,-0.000028,-0.002539,-0.785395,0.000004,0.000558,0.000235,-0.001305,-27.165259,4.777964
0.085,-0.000028,-0.002534,-0.785390,0.000003,0.000507,0.000422,-0.001733,-27.160948,4.783402
0.095,-0.000028,-0.002529,-0.785384,0.000002,0.000456,0.000662,-0.002158,-27.156681,4.788788
0.105,-0.000028,-0.002525,-0.785374,0.000001,0.000405,0.000955,-0.002580,-27.152459,4.794120
0.115,-0.000028,-0.002522,-0.785361,0.000001,0.000354,0.001302,-0.002999,-27.148285,4.799395
0.125,-0.000028,-0.002519,-0.785344,-0.000000,0.000303,0.001700,-0.003414,-27.144162,4.804611
0.135,-0.000028,-0.002516,-0.785323,-0.000001,0.000252,0.002150,-0.003827,-27.140091,4.809765
0.145,-0.000028,-0.002514,-0.785296,-0.000002,0.000201,0.002651,-0.004236,-27.136076,4.814855
0.155,-0.000028,-0.002513,-0.785264,-0.000003,0.000150,0.003204,-0.004642,-27.132118,4.819879
0.165,-0.000028,-0.002512,-0.785226,-0.000004,0.000099,0.003806,-0.005045,-27.128220,4.824835
0.175,-0.000028,-0.002511,-0.785181,-0.000005,0.000048,0.004459,-0.005445,-27.124384,4.829719
0.185,-0.000028,-0.002511,-0.785130,-0.000006,-0.000004,0.005161,-0.005842,-27.120613,4.834530
0.195,-0.000029,-0.002512,-0.785071,-0.000007,-0.000055,0.005913,-0.006236,-27.116908,4.839266
0.205,-0.000029,-0.002513,-0.785004,-0.000008,-0.000106,0.006713,-0.006627,-27.113272,4.843924
0.215,-0.000029,-0.002515,-0.784928,-0.000009,-0.000157,0.007561,-0.007015,-27.109706,4.848502
0.225,-0.000029,-0.002517,-0.784843,-0.000010,-0.000208,0.008457,-0.007400,-27.106214,4.852998
0.235,-0.000029,-0.002519,-0.784749,-0.000011,-0.000259,0.009401,-0.007783,-27.102797,4.857410
0.245,-0.000029,-0.002522,-0.784645,-0.000011,-0.000310,0.010391,-0.008163,-27.099457,4.861735
0.255,-0.000029,-0.002526,-0.784531,-0.000012,-0.000361,0.011428,-0.008540,-27.096196,4.865972
0.265,-0.000029,-0.002530,-0.784406,-0.000013,-0.000412,0.012511,-0.008914,-27.093017,4.870117
0.275,-0.000029,-0.002535,-0.784270,-0.000014,-0.000464,0.013640,-0.009286,-27.089922,4.874170
0.285,-0.000030,-0.002540,-0.784122,-0.000015,-0.000515,0.014814,-0.009655,-27.086912,4.878128
